Time,Chi_r
0.500, 0.220
1.002, 0.300
1.502, 0.299
2.001, 0.300
2.502, 0.301
3.001, 0.298
3.502, 0.300
4.001, 0.300
4.502, 0.300
5.000, 0.300
5.501, 0.300
6.001, 0.299
6.501, 0.300
7.000, 0.300
7.500, 0.300
8.000, 0.300
8.502, 0.300
9.001, 0.299
9.502, 0.301
10.000, 0.301
10.501, 0.298
11.000, 0.300
11.500, 0.300
12.000, 0.300
12.501, 0.299
13.001, 0.300
13.502, 0.300
14.000, 0.299
14.501, 0.301
15.000, 0.299
15.500, 0.300
16.001, 0.299
16.501, 0.301
17.001, 0.300
17.501, 0.299
18.001, 0.300
18.500, 0.300
19.001, 0.300
19.500, 0.299
20.001, 0.300
20.501, 0.299
21.001, 0.300
21.501, 0.299
22.002, 0.301
22.501, 0.300
23.000, 0.299
23.501, 0.300
24.002, 0.300
24.500, 0.300
25.001, 0.299
25.502, 0.301
26.001, 0.299
26.501, 0.301
27.001, 0.299
27.501, 0.300
28.002, 0.300
28.501, 0.301
29.000, 0.300
29.501, 0.298
30.001, 0.300
30.502, 0.300
31.001, 0.300
31.501, 0.300
32.001, 0.299
32.501, 0.299
33.001, 0.301
33.500, 0.299
34.000, 0.300
34.501, 0.299
35.000, 0.300
35.500, 0.300
36.001, 0.299
36.501, 0.299
37.000, 0.301
37.501, 0.300
38.000, 0.299
38.501, 0.302
39.002, 0.298
39.501, 0.300
40.000, 0.299
