Time,Chi_r
0.500, 0.219
1.000, 0.255
1.500, 0.268
2.000, 0.300
2.500, 0.280
3.000, 0.303
3.500, 0.296
4.000, 0.312
4.500, 0.297
5.000, 0.285
5.500, 0.278
6.000, 0.275
6.500, 0.276
7.000, 0.278
7.500, 0.290
8.000, 0.286
8.500, 0.272
9.000, 0.284
9.500, 0.292
10.000, 0.280
10.500, 0.285
11.000, 0.262
11.500, 0.265
12.000, 0.289
12.500, 0.289
13.000, 0.281
13.500, 0.273
14.001, 0.284
14.500, 0.269
15.000, 0.275
15.500, 0.290
16.000, 0.278
16.500, 0.266
17.000, 0.277
17.500, 0.256
18.000, 0.275
18.500, 0.281
19.000, 0.289
19.500, 0.277
20.000, 0.279
