s,mol/mol,C
Time,XO2,TBURNER
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0001372E+000, 2.0755882E-001, 3.1720085E+001
 2.0002355E+000, 2.0755882E-001, 4.5766714E+001
 3.0000228E+000, 2.0755882E-001, 5.2714004E+001
 4.0000753E+000, 2.0755882E-001, 5.8270026E+001
 5.0002081E+000, 2.0755882E-001, 6.3187914E+001
 6.0001736E+000, 2.0745137E-001, 6.7327130E+001
 7.0002057E+000, 2.0253229E-001, 7.1070831E+001
 8.0001861E+000, 1.9706822E-001, 7.3989143E+001
 9.0000785E+000, 1.9190778E-001, 7.6208860E+001
 1.0000335E+001, 1.8700383E-001, 7.7730764E+001
 1.1000083E+001, 1.8235790E-001, 7.8311218E+001
 1.2000108E+001, 1.7793291E-001, 7.8728534E+001
 1.3000278E+001, 1.7372761E-001, 7.8943107E+001
 1.4000023E+001, 1.6972780E-001, 7.8887232E+001
 1.5000079E+001, 1.6590153E-001, 7.8332259E+001
 1.6000296E+001, 1.6224740E-001, 7.7618309E+001
 1.7000168E+001, 1.5875947E-001, 7.6834476E+001
 1.8000072E+001, 1.5541869E-001, 7.5918173E+001
 1.9000011E+001, 1.5221395E-001, 7.5111730E+001
 2.0000074E+001, 1.4914465E-001, 7.3759792E+001
 2.1000132E+001, 1.4619173E-001, 7.2319687E+001
 2.2000066E+001, 1.4336709E-001, 7.1016521E+001
 2.3000084E+001, 1.4064877E-001, 6.9780285E+001
 2.4000115E+001, 1.3802735E-001, 6.8495867E+001
 2.5000046E+001, 1.3550140E-001, 6.7321062E+001
 2.6000225E+001, 1.3307563E-001, 6.6311557E+001
 2.7000194E+001, 1.3073268E-001, 6.4958687E+001
 2.8000095E+001, 1.2846471E-001, 6.3475407E+001
 2.9000062E+001, 1.2628379E-001, 6.1766705E+001
 3.0000264E+001, 1.2417344E-001, 6.0012658E+001
 3.1000536E+001, 1.2213344E-001, 5.8488681E+001
 3.2000611E+001, 1.2015954E-001, 5.7089225E+001
 3.3000385E+001, 1.1824947E-001, 5.5742875E+001
 3.4000579E+001, 1.1639925E-001, 5.4544164E+001
 3.5000167E+001, 1.1460200E-001, 5.3492718E+001
 3.6000957E+001, 1.1286973E-001, 5.2552271E+001
 3.7000863E+001, 1.1118261E-001, 5.1703771E+001
 3.8000163E+001, 1.0955078E-001, 5.0937657E+001
 3.9000381E+001, 1.0796127E-001, 5.0206994E+001
 4.0000743E+001, 1.0641834E-001, 4.9527548E+001
 4.1001080E+001, 1.0492168E-001, 4.8891518E+001
 4.2000657E+001, 1.0347234E-001, 4.8280963E+001
 4.3002315E+001, 1.0204999E-001, 4.7712854E+001
 4.4000267E+001, 1.0067465E-001, 4.7170728E+001
 4.5000080E+001, 9.9333687E-002, 4.6659806E+001
 4.6001720E+001, 9.8028394E-002, 4.6173143E+001
 4.7003360E+001, 9.6753789E-002, 4.5715614E+001
 4.8001605E+001, 9.5518871E-002, 4.5282757E+001
 4.9003245E+001, 9.4310869E-002, 4.4871168E+001
 5.0001489E+001, 9.3135179E-002, 4.4467978E+001
 5.1003129E+001, 9.1988151E-002, 4.4087692E+001
 5.2001374E+001, 9.0869203E-002, 4.3720977E+001
 5.3003014E+001, 8.9778818E-002, 4.3372194E+001
 5.4001258E+001, 8.8710717E-002, 4.3044816E+001
 5.5002817E+001, 8.7669245E-002, 4.2732999E+001
 5.6003048E+001, 8.6655421E-002, 4.2421338E+001
 5.7000229E+001, 8.5663336E-002, 4.2117181E+001
 5.8000460E+001, 8.4691655E-002, 4.1819900E+001
 5.9002835E+001, 8.3742105E-002, 4.1544472E+001
 6.0002938E+001, 8.2814745E-002, 4.1272221E+001
 6.1000082E+001, 8.1909615E-002, 4.1015665E+001
 6.2000186E+001, 8.1022643E-002, 4.0771852E+001
 6.3000289E+001, 8.0154475E-002, 4.0528110E+001
 6.4000392E+001, 7.9307316E-002, 4.0283127E+001
 6.5000000E+001, 7.8473121E-002, 4.0056811E+001
