XO2,eta,Chi_R
0.208,  0.00,  2.80
0.208,  0.39,  0.17
0.208,  0.86,  0.22
0.208,  0.98,  0.24
0.208,  1.00,  0.24
0.208,  1.00,  0.25
0.207,  1.00,  0.24
0.202,  1.00,  0.24
0.197,  1.00,  0.24
0.192,  1.00,  0.24
0.187,  1.00,  0.23
0.182,  1.00,  0.22
0.178,  1.00,  0.22
0.174,  1.00,  0.21
0.170,  1.00,  0.21
0.166,  1.00,  0.20
0.162,  1.00,  0.19
0.159,  1.00,  0.19
0.155,  0.99,  0.18
0.152,  0.99,  0.17
0.149,  0.99,  0.16
0.146,  1.00,  0.15
0.143,  1.00,  0.15
0.141,  1.00,  0.14
0.138,  0.99,  0.13
0.135,  0.98,  0.11
0.133,  0.98,  0.10
0.131,  1.00,  0.09
0.128,  1.00,  0.08
0.126,  0.99,  0.08
0.124,  1.00,  0.07
0.122,  0.97,  0.07
0.120,  0.98,  0.06
0.118,  0.97,  0.05
0.116,  0.94,  0.05
0.115,  0.94,  0.04
0.113,  0.91,  0.03
0.111,  0.85,  0.03
0.110,  0.90,  0.02
0.108,  0.94,  0.01
0.106,  0.88,  0.01
0.105,  0.69,  0.01
0.103,  0.39,  0.00
0.102,  0.11,  0.00
0.101,  0.02,  0.00
0.099,  0.00,  0.03
0.098,  0.00,  0.11
0.097,  0.00,  0.06
0.096,  0.00,  0.00
0.094,  0.00,  0.01
0.093,  0.00,  0.03
0.092,  0.00,  0.04
0.091,  0.00,  0.03
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.01
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
