s,mol/mol,C
Time,XO2,TBURNER
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0007050E+000, 2.0755882E-001, 2.5271225E+001
 2.0018436E+000, 2.0755882E-001, 3.3350673E+001
 3.0017062E+000, 2.0755882E-001, 3.7556898E+001
 4.0011596E+000, 2.0755882E-001, 4.0889267E+001
 5.0000878E+000, 2.0755882E-001, 4.3788448E+001
 6.0010111E+000, 2.0745484E-001, 4.6339169E+001
 7.0008799E+000, 2.0244814E-001, 4.8661149E+001
 8.0012383E+000, 1.9700593E-001, 5.0599155E+001
 9.0003653E+000, 1.9186441E-001, 5.2107728E+001
 1.0001392E+001, 1.8698144E-001, 5.1844820E+001
 1.1000020E+001, 1.8234803E-001, 5.0381682E+001
 1.2001914E+001, 1.7791204E-001, 4.9706465E+001
 1.3002123E+001, 1.7376452E-001, 4.9391586E+001
 1.4001405E+001, 1.6972885E-001, 4.9143670E+001
 1.5000016E+001, 1.6594559E-001, 4.8768712E+001
 1.6000870E+001, 1.6222985E-001, 4.7170536E+001
 1.7000829E+001, 1.5879914E-001, 4.5960051E+001
 1.8001732E+001, 1.5542814E-001, 4.5163792E+001
 1.9000428E+001, 1.5224456E-001, 4.4507327E+001
 2.0000908E+001, 1.4911637E-001, 4.3968501E+001
 2.1001809E+001, 1.4618076E-001, 4.3484784E+001
 2.2001617E+001, 1.4338343E-001, 4.3000017E+001
 2.3000640E+001, 1.4062142E-001, 4.2493497E+001
 2.4001455E+001, 1.3801667E-001, 4.1966769E+001
 2.5001870E+001, 1.3548685E-001, 4.1498616E+001
 2.6001099E+001, 1.3308684E-001, 4.0823465E+001
 2.7001677E+001, 1.3072359E-001, 3.9996120E+001
 2.8000208E+001, 1.2845866E-001, 3.9287115E+001
 2.9000604E+001, 1.2628311E-001, 3.8557021E+001
 3.0000494E+001, 1.2417643E-001, 3.7834069E+001
 3.1000273E+001, 1.2214784E-001, 3.7193097E+001
 3.2001763E+001, 1.2016316E-001, 3.6634649E+001
 3.3003314E+001, 1.1824049E-001, 3.6138837E+001
 3.4002710E+001, 1.1639423E-001, 3.5694576E+001
 3.5000666E+001, 1.1462795E-001, 3.5297152E+001
 3.6005596E+001, 1.1285430E-001, 3.4931649E+001
 3.7004522E+001, 1.1117506E-001, 3.4591420E+001
 3.8001563E+001, 1.0956846E-001, 3.4276183E+001
 3.9006197E+001, 1.0796576E-001, 3.3977608E+001
 4.0003325E+001, 1.0641148E-001, 3.3690688E+001
 4.1006083E+001, 1.0491403E-001, 3.3419709E+001
 4.2009359E+001, 1.0344422E-001, 3.3165215E+001
 4.3002400E+001, 1.0204020E-001, 3.2925415E+001
 4.4013795E+001, 1.0067891E-001, 3.2696851E+001
 4.5005841E+001, 9.9349546E-002, 3.2480185E+001
 4.6004171E+001, 9.8004091E-002, 3.2275436E+001
 4.7000585E+001, 9.6746705E-002, 3.2079517E+001
 4.8015375E+001, 9.5508106E-002, 3.1890507E+001
 4.9007225E+001, 9.4329274E-002, 3.1709958E+001
 5.0012054E+001, 9.3121392E-002, 3.1537832E+001
 5.1003119E+001, 9.1995222E-002, 3.1372742E+001
 5.2007948E+001, 9.0872504E-002, 3.1214478E+001
 5.3005306E+001, 8.9770308E-002, 3.1060964E+001
 5.4008615E+001, 8.8702019E-002, 3.0914024E+001
 5.5010565E+001, 8.7668524E-002, 3.0771831E+001
 5.6012515E+001, 8.6661293E-002, 3.0634752E+001
 5.7014465E+001, 8.5642227E-002, 3.0502348E+001
 5.8008034E+001, 8.4691367E-002, 3.0374461E+001
 5.9003455E+001, 8.3754893E-002, 3.0251921E+001
 6.0008495E+001, 8.2815945E-002, 3.0132214E+001
 6.1011300E+001, 8.1904524E-002, 3.0016161E+001
 6.2002587E+001, 8.1025136E-002, 2.9904971E+001
 6.3004521E+001, 8.0157315E-002, 2.9797006E+001
 6.4004086E+001, 7.9309345E-002, 2.9691652E+001
 6.5000000E+001, 7.8477409E-002, 2.9589946E+001
