s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.9000467E+001, 1.4887165E+001, 0.0000000E+000,-5.0443244E+000,-7.8798368E+000,-6.1252669E-001, 1.7093912E-003, 0.0000000E+000, 0.0000000E+000, 1.2269343E+000, 1.3521863E+000, 7.0570696E-002, 3.1603143E-004,-4.8701043E-017,-2.1687984E-008
 1.9500353E+001, 1.4328820E+001, 0.0000000E+000,-4.8658988E+000,-7.7016615E+000,-6.0500729E-001, 1.7549146E-003, 0.0000000E+000, 0.0000000E+000, 9.9955827E-001, 1.1580077E+000, 7.0570679E-002, 3.1603143E-004,-1.0123842E-017,-4.4511224E-009
 2.0000515E+001, 1.4666747E+001, 0.0000000E+000,-4.9844282E+000,-8.5413557E+000,-6.0821965E-001, 1.7500309E-003, 0.0000000E+000, 0.0000000E+000, 3.6442092E-001, 5.3449329E-001, 7.0570675E-002, 3.1603143E-004,-1.3200131E-018,-5.6895026E-010
 2.0500074E+001, 1.4523355E+001, 0.0000000E+000,-4.9292872E+000,-7.7125842E+000,-6.0440446E-001, 1.7271549E-003, 0.0000000E+000, 0.0000000E+000, 1.1587803E+000, 1.2788061E+000, 7.0570674E-002, 3.1603143E-004,-1.6162692E-019,-6.4388010E-011
 2.1000320E+001, 1.4127661E+001, 0.0000000E+000,-4.7781254E+000,-7.8761089E+000,-5.8398149E-001, 1.7115905E-003, 0.0000000E+000, 0.0000000E+000, 7.2982063E-001, 8.9115709E-001, 7.0570674E-002, 3.1603143E-004,-2.2269631E-020,-7.0194518E-012
 2.1500378E+001, 1.4859997E+001, 0.0000000E+000,-5.0463291E+000,-8.1441813E+000,-6.0183713E-001, 1.7513230E-003, 0.0000000E+000, 0.0000000E+000, 9.4516401E-001, 1.0694013E+000, 7.0570674E-002, 3.1603143E-004,-3.7365730E-021,-8.0384351E-013
 2.2000357E+001, 1.4294811E+001, 0.0000000E+000,-4.8482255E+000,-8.0983551E+000,-5.8334503E-001, 1.7178979E-003, 0.0000000E+000, 0.0000000E+000, 6.3587131E-001, 7.6660377E-001, 7.0570674E-002, 3.1603143E-004,-7.2417349E-022,-9.5580046E-014
 2.2500065E+001, 1.4370017E+001, 0.0000000E+000,-4.8730065E+000,-7.8640278E+000,-6.0327082E-001, 1.7155352E-003, 0.0000000E+000, 0.0000000E+000, 9.1024064E-001, 1.0314279E+000, 7.0570674E-002, 3.1603143E-004,-1.4714492E-022,-1.1236349E-014
 2.3000267E+001, 1.4646895E+001, 0.0000000E+000,-4.9723147E+000,-8.2722212E+000,-6.1214288E-001, 1.7233631E-003, 0.0000000E+000, 0.0000000E+000, 5.9532722E-001, 7.9193912E-001, 7.0570674E-002, 3.1603143E-004,-3.1510761E-023,-1.3406816E-015
 2.3500252E+001, 1.4296431E+001, 0.0000000E+000,-4.8560978E+000,-7.7281567E+000,-6.3455771E-001, 1.7141210E-003, 0.0000000E+000, 0.0000000E+000, 9.8217509E-001, 1.0793332E+000, 7.0570674E-002, 3.1603143E-004,-6.9919414E-024,-1.5933058E-016
 2.4000345E+001, 1.4177546E+001, 0.0000000E+000,-4.8010949E+000,-8.2989879E+000,-6.6984721E-001, 1.6858951E-003, 0.0000000E+000, 0.0000000E+000, 3.2910240E-001, 4.0930217E-001, 7.0570674E-002, 3.1603143E-004,-1.5844811E-024,-1.9066353E-017
 2.4500454E+001, 1.4611357E+001, 0.0000000E+000,-4.9681759E+000,-8.1442018E+000,-6.6580374E-001, 1.6906056E-003, 0.0000000E+000, 0.0000000E+000, 7.4300819E-001, 8.3486571E-001, 7.0570674E-002, 3.1603143E-004,-3.7120681E-025,-2.3329474E-018
 2.5000088E+001, 1.4494373E+001, 0.0000000E+000,-4.9168691E+000,-7.7914471E+000,-6.7500732E-001, 1.6726611E-003, 0.0000000E+000, 0.0000000E+000, 1.0170659E+000, 1.1127218E+000, 7.0570674E-002, 3.1603143E-004,-8.8102980E-026,-2.9275977E-019
 2.5500240E+001, 1.4410991E+001, 0.0000000E+000,-4.8814809E+000,-7.7848420E+000,-6.6639376E-001, 1.6719138E-003, 0.0000000E+000, 0.0000000E+000, 1.0025006E+000, 1.0799462E+000, 7.0570674E-002, 3.1603143E-004,-2.0898210E-026,-4.0795001E-020
 2.6000067E+001, 1.4278333E+001, 0.0000000E+000,-4.8424990E+000,-8.6672062E+000,-7.0693526E-001, 1.6879832E-003, 0.0000000E+000, 0.0000000E+000,-4.1470998E-002, 6.3380666E-002, 7.0570674E-002, 3.1603143E-004,-4.9727955E-027,-6.9298600E-021
 2.6500320E+001, 1.4610573E+001, 0.0000000E+000,-4.9653400E+000,-8.0883799E+000,-6.7082405E-001, 1.7471021E-003, 0.0000000E+000, 0.0000000E+000, 8.0071762E-001, 8.8777564E-001, 7.0570674E-002, 3.1603143E-004,-1.2332282E-027,-1.6850163E-021
 2.7000246E+001, 1.4551277E+001, 0.0000000E+000,-4.9394169E+000,-7.7659128E+000,-6.9573124E-001, 1.7533556E-003, 0.0000000E+000, 0.0000000E+000, 1.0224889E+000, 1.1519695E+000, 7.0570674E-002, 3.1603143E-004,-3.5876070E-028,-6.7249194E-022
