s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4837782E-003, 3.7668923E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4837779E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0016004E+000, 3.6270265E+000, 0.0000000E+000,-3.5825311E-001,-4.9219324E-002,-3.0593594E-003, 9.2312319E-005, 0.0000000E+000,-1.4452139E-002, 3.2237805E+000, 3.2021349E+000, 3.2112000E-001, 0.0000000E+000, 7.8284673E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6299359E-006
 2.0021064E+000, 8.0124955E+000, 0.0000000E+000,-1.3339872E+000,-4.9735706E+000,-5.9935365E-003, 1.3701792E-003, 0.0000000E+000,-3.9007276E-002, 1.6581387E+000, 1.6613071E+000, 3.2112000E-001, 0.0000000E+000, 1.5915016E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9577343E-005
 3.0020862E+000, 8.9890370E+000, 0.0000000E+000,-1.5452931E+000,-6.8945505E+000,-4.0662329E-003, 2.5302052E-003, 0.0000000E+000,-4.2313367E-002, 4.9402442E-001, 5.0534393E-001, 3.2112000E-001, 0.0000000E+000, 1.7567434E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1610011E-005
 4.0016036E+000, 9.1459284E+000, 0.0000000E+000,-1.5827640E+000,-7.5220868E+000,-4.3899818E-003, 3.3930315E-003, 0.0000000E+000,-4.2887541E-002,-7.4551549E-003,-2.8069090E-003, 3.2112000E-001, 0.0000000E+000, 1.7807381E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1905174E-005
 5.0001426E+000, 9.1659282E+000, 0.0000000E+000,-1.6148863E+000,-7.3746357E+000,-3.9264911E-003, 4.1138195E-003, 0.0000000E+000,-4.3139605E-002, 1.2355961E-001, 1.3345389E-001, 3.2112000E-001, 0.0000000E+000, 1.7840191E-004, 0.0000000E+000, 0.0000000E+000, 9.4657618E-008, 0.0000000E+000, 2.1945534E-005
 6.0003967E+000, 9.1575502E+000, 0.0000000E+000,-1.5921223E+000,-7.5875736E+000,-6.1840004E-003, 4.7385854E-003, 0.0000000E+000,-4.3174689E-002,-7.1299324E-002,-6.6765862E-002, 3.2112000E-001, 0.0000000E+000, 1.7844644E-004, 0.0000000E+000, 0.0000000E+000, 4.3315956E-003, 0.0000000E+000, 2.1951012E-005
 7.0002999E+000, 9.1656132E+000, 0.0000000E+000,-1.5820393E+000,-7.0385824E+000,-4.3817077E-003, 5.3335859E-003, 0.0000000E+000,-4.2968904E-002, 4.8176973E-001, 5.0297445E-001, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2972979E-002, 0.0000000E+000, 2.1951755E-005
 8.0012484E+000, 9.1616139E+000, 0.0000000E+000,-1.5916034E+000,-7.7606381E+000,-8.0995855E-003, 5.8296801E-003, 0.0000000E+000,-4.2688068E-002,-2.4936703E-001,-2.3558555E-001, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1616131E-002, 0.0000000E+000, 2.1951856E-005
 9.0006800E+000, 9.1551380E+000, 0.0000000E+000,-1.5565116E+000,-7.5515803E+000,-1.0401249E-002, 6.2194622E-003, 0.0000000E+000,-4.1851530E-002,-4.7826416E-003, 1.0127804E-003, 3.2112000E-001, 0.0000000E+000, 1.7845341E-004, 0.0000000E+000, 0.0000000E+000, 3.0258020E-002, 0.0000000E+000, 2.1951869E-005
