Time,Chi_r
0.500, 0.268
1.000, 0.298
1.501, 0.298
2.000, 0.299
2.501, 0.300
3.001, 0.299
3.501, 0.300
4.001, 0.299
4.500, 0.300
5.000, 0.299
5.500, 0.299
6.000, 0.299
6.500, 0.299
7.000, 0.299
7.500, 0.300
8.001, 0.299
8.500, 0.299
9.001, 0.300
9.501, 0.298
10.000, 0.301
10.500, 0.298
11.000, 0.299
11.500, 0.299
12.000, 0.298
12.501, 0.300
13.000, 0.298
13.501, 0.300
14.001, 0.299
14.501, 0.299
15.000, 0.300
15.501, 0.299
16.001, 0.299
16.500, 0.299
17.000, 0.299
17.501, 0.299
18.001, 0.299
18.501, 0.299
19.000, 0.299
19.500, 0.300
20.000, 0.299
20.500, 0.300
21.000, 0.298
21.501, 0.300
22.001, 0.299
22.500, 0.300
23.000, 0.300
23.500, 0.299
24.001, 0.300
24.501, 0.298
25.000, 0.300
25.501, 0.299
26.000, 0.300
26.501, 0.299
27.000, 0.299
27.501, 0.299
28.001, 0.299
28.500, 0.300
29.000, 0.299
29.500, 0.300
30.000, 0.298
30.500, 0.300
31.000, 0.299
31.500, 0.299
32.000, 0.299
32.501, 0.299
33.000, 0.299
33.500, 0.299
34.000, 0.300
34.500, 0.300
35.001, 0.299
35.501, 0.299
36.000, 0.299
36.501, 0.298
37.000, 0.299
37.501, 0.300
38.000, 0.299
38.501, 0.299
39.000, 0.299
39.501, 0.299
40.000, 0.299
