XO2,eta,Chi_R
0.208,  0.00,  3.18
0.208,  0.38,  0.09
0.208,  0.85,  0.13
0.208,  0.98,  0.13
0.208,  1.00,  0.13
0.208,  1.00,  0.13
0.207,  1.00,  0.13
0.203,  1.00,  0.13
0.197,  1.00,  0.13
0.192,  1.00,  0.13
0.187,  1.00,  0.12
0.182,  0.99,  0.12
0.178,  0.99,  0.11
0.174,  0.99,  0.11
0.170,  0.99,  0.10
0.166,  0.98,  0.10
0.162,  0.99,  0.09
0.159,  0.98,  0.09
0.156,  0.99,  0.09
0.152,  1.00,  0.08
0.149,  0.99,  0.07
0.146,  0.99,  0.07
0.143,  1.00,  0.07
0.141,  0.98,  0.06
0.138,  0.98,  0.06
0.136,  0.98,  0.05
0.133,  0.99,  0.05
0.131,  0.96,  0.04
0.129,  0.90,  0.04
0.126,  0.92,  0.03
0.124,  0.92,  0.02
0.122,  0.90,  0.01
0.120,  0.89,  0.01
0.118,  0.84,  0.01
0.116,  0.68,  0.00
0.115,  0.35,  0.00
0.113,  0.18,  0.00
0.111,  0.09,  0.01
0.110,  0.07,  0.01
0.108,  0.06,  0.01
0.106,  0.04,  0.01
0.105,  0.02,  0.01
0.103,  0.01,  0.01
0.102,  0.00,  0.03
0.101,  0.00,  0.01
0.099,  0.00,  0.00
0.098,  0.00,  0.00
0.097,  0.00,  0.00
0.096,  0.00,  0.00
0.094,  0.00,  0.00
0.093,  0.00,  0.00
0.092,  0.00,  0.00
0.091,  0.00,  0.00
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.00
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
