s,mol/mol
Time,XO2
 0.0000000E+000, 2.0755882E-001
 1.0003387E+000, 2.0755882E-001
 2.0002167E+000, 2.0755882E-001
 3.0002326E+000, 2.0755882E-001
 4.0003032E+000, 2.0755882E-001
 5.0000713E+000, 2.0755882E-001
 6.0000456E+000, 2.0755302E-001
 7.0001115E+000, 2.0247096E-001
 8.0001354E+000, 1.9699502E-001
 9.0000241E+000, 1.9185349E-001
 1.0000278E+001, 1.8694152E-001
 1.1000135E+001, 1.8230727E-001
 1.2000362E+001, 1.7788063E-001
 1.3000386E+001, 1.7368297E-001
 1.4000096E+001, 1.6966825E-001
 1.5000102E+001, 1.6585333E-001
 1.6000007E+001, 1.6220329E-001
 1.7000121E+001, 1.5871004E-001
 1.8000007E+001, 1.5538573E-001
 1.9000099E+001, 1.5218595E-001
 2.0000249E+001, 1.4911602E-001
 2.1000245E+001, 1.4616237E-001
 2.2000096E+001, 1.4334098E-001
 2.3000311E+001, 1.4061143E-001
 2.4000094E+001, 1.3799137E-001
 2.5000323E+001, 1.3547721E-001
 2.6000394E+001, 1.3305232E-001
 2.7000184E+001, 1.3071008E-001
 2.8000095E+001, 1.2845113E-001
 2.9000368E+001, 1.2626267E-001
 3.0000034E+001, 1.2416168E-001
 3.1000477E+001, 1.2210971E-001
 3.2000362E+001, 1.2014905E-001
 3.3000529E+001, 1.1822876E-001
 3.4000268E+001, 1.1638022E-001
 3.5000078E+001, 1.1459339E-001
 3.6000406E+001, 1.1285614E-001
 3.7000238E+001, 1.1116847E-001
 3.8000221E+001, 1.0953486E-001
 3.9000625E+001, 1.0794878E-001
 4.0000769E+001, 1.0640772E-001
 4.1001099E+001, 1.0491418E-001
 4.2000175E+001, 1.0345895E-001
 4.3002408E+001, 1.0203727E-001
 4.4000439E+001, 1.0066512E-001
 4.5002751E+001, 9.9323389E-002
 4.6001445E+001, 9.8017440E-002
 4.7000139E+001, 9.6749439E-002
 4.8002452E+001, 9.5511135E-002
 4.9001092E+001, 9.4304113E-002
 5.0001850E+001, 9.3128001E-002
 5.1002609E+001, 9.1979146E-002
 5.2000160E+001, 9.0864609E-002
 5.3000919E+001, 8.9769469E-002
 5.4001677E+001, 8.8706471E-002
 5.5001977E+001, 8.7665589E-002
 5.6002344E+001, 8.6649256E-002
 5.7000825E+001, 8.5656892E-002
 5.8000252E+001, 8.4686129E-002
 5.9001156E+001, 8.3737653E-002
 6.0002060E+001, 8.2809705E-002
 6.1002964E+001, 8.1903205E-002
 6.2001251E+001, 8.1017335E-002
 6.3000878E+001, 8.0165021E-002
 6.4000506E+001, 7.9299250E-002
 6.5000000E+001, 7.8467913E-002
