s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 1.6000544E+001, 9.1108563E+000, 0.0000000E+000,-9.3450102E-001,-7.9330510E+000,-2.0660084E-003, 3.1490031E-003, 0.0000000E+000,-2.1423276E-002, 1.9904924E-001, 2.2296399E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0736750E-002, 1.7893443E-004, 2.1951872E-005
 1.7001621E+001, 9.1283392E+000, 0.0000000E+000,-8.8619284E-001,-8.3730583E+000,-1.8851904E-003, 3.0843016E-003, 0.0000000E+000,-2.0962848E-002,-1.7807134E-001,-1.5067566E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9379373E-002, 1.7893443E-004, 2.1951872E-005
 1.8002012E+001, 9.0558942E+000, 0.0000000E+000,-8.1648749E-001,-8.1536805E+000,-1.8536732E-003, 2.9881123E-003, 0.0000000E+000,-2.0248153E-002, 5.0996539E-002, 6.6612568E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0802542E-001, 1.7893443E-004, 2.1951872E-005
 1.9000957E+001, 8.9708984E+000, 0.0000000E+000,-7.3757564E-001,-8.5107665E+000,-2.6855378E-003, 2.7592937E-003, 0.0000000E+000,-1.9032616E-002,-3.4009525E-001,-2.9640263E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1666250E-001, 1.7893443E-004, 2.1951872E-005
 2.0002081E+001, 9.0304991E+000, 0.0000000E+000,-6.0389923E-001,-7.9532188E+000,-3.4398298E-003, 2.4441075E-003, 0.0000000E+000,-1.7632897E-002, 4.1237328E-001, 4.5475242E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2530346E-001, 1.7893443E-004, 2.1951872E-005
 2.1000654E+001, 9.1077056E+000, 0.0000000E+000,-5.6454071E-001,-8.6689692E+000,-2.9584725E-003, 2.3377012E-003, 0.0000000E+000,-1.7457519E-002,-1.7817561E-001,-1.4388258E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3394068E-001, 1.7893443E-004, 2.1951872E-005
 2.2000776E+001, 9.1159513E+000, 0.0000000E+000,-5.4334155E-001,-8.5843521E+000,-1.3691944E-003, 2.2082649E-003, 0.0000000E+000,-1.7169079E-002,-8.1073602E-002,-2.8072360E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4257482E-001, 1.7893443E-004, 2.1951872E-005
 2.3000557E+001, 9.1292081E+000, 0.0000000E+000,-5.1032555E-001,-8.6692540E+000,-1.2544948E-003, 2.1263448E-003, 0.0000000E+000,-1.6764846E-002,-1.0236504E-001,-6.6264507E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5121413E-001, 1.7893443E-004, 2.1951872E-005
 2.4001884E+001, 9.0808255E+000, 0.0000000E+000,-4.7135252E-001,-8.4774467E+000,-1.1565586E-003, 2.0747674E-003, 0.0000000E+000,-1.6667235E-002, 8.0576660E-002, 1.1627735E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5986167E-001, 1.7893443E-004, 2.1951872E-005
 2.5001139E+001, 9.1449546E+000, 0.0000000E+000,-4.5707360E-001,-8.5625681E+000,-4.6225075E-004, 1.9791704E-003, 0.0000000E+000,-1.6309252E-002, 5.9389765E-002, 1.1052060E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6850392E-001, 1.7893443E-004, 2.1951872E-005
 2.6000109E+001, 9.0930038E+000, 0.0000000E+000,-4.3049516E-001,-8.7368881E+000,-1.3000299E-003, 1.9095425E-003, 0.0000000E+000,-1.6204122E-002,-1.4347446E-001,-8.9974015E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7713484E-001, 1.7893443E-004, 2.1951872E-005
 2.7001547E+001, 9.0355957E+000, 0.0000000E+000,-3.8248808E-001,-8.2271776E+000,-7.4633166E-004, 1.8352961E-003, 0.0000000E+000,-1.5892428E-002, 4.0992479E-001, 4.1112652E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8577706E-001, 1.7893443E-004, 2.1951872E-005
