s,mol/mol
Time,XO2
 0.0000000E+000, 2.0755882E-001
 1.0010903E+000, 2.0755882E-001
 2.0005754E+000, 2.0755882E-001
 3.0020124E+000, 2.0755882E-001
 4.0013451E+000, 2.0755882E-001
 5.0014731E+000, 2.0755882E-001
 6.0019084E+000, 2.0745336E-001
 7.0021223E+000, 2.0244123E-001
 8.0018424E+000, 1.9700598E-001
 9.0007639E+000, 1.9186044E-001
 1.0001521E+001, 1.8697519E-001
 1.1002224E+001, 1.8232565E-001
 1.2001647E+001, 1.7789790E-001
 1.3000506E+001, 1.7378075E-001
 1.4000447E+001, 1.6972551E-001
 1.5000441E+001, 1.6593864E-001
 1.6001135E+001, 1.6224238E-001
 1.7002217E+001, 1.5879872E-001
 1.8001239E+001, 1.5538418E-001
 1.9001335E+001, 1.5223028E-001
 2.0002202E+001, 1.4914521E-001
 2.1001532E+001, 1.4621826E-001
 2.2000422E+001, 1.4336369E-001
 2.3001169E+001, 1.4063350E-001
 2.4000498E+001, 1.3802848E-001
 2.5001642E+001, 1.3548580E-001
 2.6000101E+001, 1.3306798E-001
 2.7000225E+001, 1.3072794E-001
 2.8002275E+001, 1.2844135E-001
 2.9000538E+001, 1.2630670E-001
 3.0001976E+001, 1.2417390E-001
 3.1000494E+001, 1.2213570E-001
 3.2001317E+001, 1.2015557E-001
 3.3001742E+001, 1.1824055E-001
 3.4001466E+001, 1.1639618E-001
 3.5001167E+001, 1.1460217E-001
 3.6001356E+001, 1.1286985E-001
 3.7002095E+001, 1.1118120E-001
 3.8001999E+001, 1.0954345E-001
 3.9000158E+001, 1.0797131E-001
 4.0002255E+001, 1.0642756E-001
 4.1001011E+001, 1.0492316E-001
 4.2004234E+001, 1.0347156E-001
 4.3005077E+001, 1.0205561E-001
 4.4001128E+001, 1.0069733E-001
 4.5007401E+001, 9.9359566E-002
 4.6013674E+001, 9.8017420E-002
 4.7004466E+001, 9.6767323E-002
 4.8010739E+001, 9.5536420E-002
 4.9001532E+001, 9.4332989E-002
 5.0007805E+001, 9.3159611E-002
 5.1014078E+001, 9.2119811E-002
 5.2004717E+001, 9.0878813E-002
 5.3008030E+001, 8.9785128E-002
 5.4011342E+001, 8.8701113E-002
 5.5000911E+001, 8.7673981E-002
 5.6004224E+001, 8.6648129E-002
 5.7007537E+001, 8.5653568E-002
 5.8010849E+001, 8.4687435E-002
 5.9000418E+001, 8.3752013E-002
 6.0003731E+001, 8.2841819E-002
 6.1010162E+001, 8.1907543E-002
 6.2010370E+001, 8.1020747E-002
 6.3010577E+001, 8.0150142E-002
 6.4010784E+001, 7.9305719E-002
 6.5000000E+001, 7.8480398E-002
