s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935936E-003, 1.1589909E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001372E+000, 3.1548189E+000, 0.0000000E+000,-3.8396281E-001,-1.4178231E-001,-1.2148154E-001, 8.2367744E-004, 0.0000000E+000,-6.0673113E-002, 2.6137183E+000, 2.4477428E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0583808E-005, 9.5385541E-006
 2.0002356E+000, 7.6597001E+000, 0.0000000E+000,-1.2870879E+000,-4.9552634E+000,-8.2614372E-002, 1.9421691E-003, 0.0000000E+000,-1.3395092E-001, 1.1967751E+000, 1.2027256E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4478199E-004, 1.9565548E-005
 3.0000229E+000, 8.8914472E+000, 0.0000000E+000,-1.4934954E+000,-7.0743502E+000,-7.5156058E-002, 2.4944168E-003, 0.0000000E+000,-1.3897359E-001, 1.1445576E-001, 1.1196635E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5989599E-004, 2.1608023E-005
 4.0000753E+000, 9.1863243E+000, 0.0000000E+000,-1.4921280E+000,-6.7905768E+000,-7.7440570E-002, 3.0400673E-003, 0.0000000E+000,-1.3805304E-001, 6.8738015E-001, 6.9116593E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6209289E-004, 2.1904908E-005
 5.0002079E+000, 9.1237805E+000, 0.0000000E+000,-1.3214460E+000,-6.7884833E+000,-7.5570315E-002, 3.4873677E-003, 0.0000000E+000,-1.4003345E-001, 8.1627393E-001, 8.0173483E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4064226E-008, 1.6239333E-004, 2.1945509E-005
 6.0001736E+000, 9.1138294E+000, 0.0000000E+000,-1.3591664E+000,-7.8869909E+000,-7.2940918E-002, 3.8742652E-003, 0.0000000E+000,-1.3941121E-001,-3.2988397E-001,-3.4080572E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3229495E-003, 1.6243404E-004, 2.1951010E-005
 7.0002055E+000, 9.1123662E+000, 0.0000000E+000,-1.3443696E+000,-7.1636148E+000,-7.4387334E-002, 4.2480082E-003, 0.0000000E+000,-1.3849142E-001, 4.0695155E-001, 3.9575102E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2962900E-002, 1.6243955E-004, 2.1951755E-005
 8.0001860E+000, 9.0914550E+000, 0.0000000E+000,-1.3456089E+000,-8.1736413E+000,-7.1721294E-002, 4.4921975E-003, 0.0000000E+000,-1.3662589E-001,-6.1726839E-001,-6.3165027E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1603010E-002, 1.6244030E-004, 2.1951856E-005
 9.0000782E+000, 9.1379544E+000, 0.0000000E+000,-1.3281688E+000,-7.3457180E+000,-6.5067089E-002, 4.7451820E-003, 0.0000000E+000,-1.3444086E-001, 2.7935560E-001, 2.6930485E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0242658E-002, 1.6244040E-004, 2.1951869E-005
 1.0000336E+001, 9.0749029E+000, 0.0000000E+000,-1.2292783E+000,-7.1983146E+000,-6.0887093E-002, 4.8876327E-003, 0.0000000E+000,-1.3098658E-001, 4.7089593E-001, 4.6032396E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8882916E-002, 1.6244041E-004, 2.1951871E-005
 1.1000083E+001, 9.0931894E+000, 0.0000000E+000,-1.1859953E+000,-8.4666260E+000,-5.7251969E-002, 4.9660955E-003, 0.0000000E+000,-1.2808290E-001,-7.2946325E-001,-7.3980071E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7523196E-002, 1.6244041E-004, 2.1951871E-005
 1.2000108E+001, 9.1177106E+000, 0.0000000E+000,-1.1179640E+000,-6.9583576E+000,-4.8856067E-002, 4.9945588E-003, 0.0000000E+000,-1.2408831E-001, 8.8587369E-001, 8.7343924E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6162184E-002, 1.6244041E-004, 2.1951872E-005
 1.3000278E+001, 9.0533685E+000, 0.0000000E+000,-1.0933357E+000,-8.3831202E+000,-4.4514281E-002, 4.9811864E-003, 0.0000000E+000,-1.1989551E-001,-5.7277528E-001,-5.8251605E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4803126E-002, 1.6244041E-004, 2.1951872E-005
 1.4000023E+001, 9.0726674E+000, 0.0000000E+000,-1.0303597E+000,-7.5972124E+000,-3.7835312E-002, 4.8878588E-003, 0.0000000E+000,-1.1672697E-001, 3.0157068E-001, 2.9542092E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3442800E-002, 1.6244041E-004, 2.1951872E-005
 1.5000079E+001, 8.9603667E+000, 0.0000000E+000,-9.7861100E-001,-8.1730902E+000,-3.2543989E-002, 4.7848688E-003, 0.0000000E+000,-1.1252176E-001,-3.3137258E-001,-3.3161532E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2081745E-002, 1.6244041E-004, 2.1951872E-005
 1.6000296E+001, 9.0380810E+000, 0.0000000E+000,-9.2899297E-001,-7.7408729E+000,-2.8851002E-002, 4.6761929E-003, 0.0000000E+000,-1.0954055E-001, 2.3676623E-001, 2.3449977E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0723058E-002, 1.6244041E-004, 2.1951872E-005
 1.7000168E+001, 8.9882254E+000, 0.0000000E+000,-8.9982852E-001,-8.2511658E+000,-2.4434490E-002, 4.5116285E-003, 0.0000000E+000,-1.0645643E-001,-2.8615067E-001,-2.8914824E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9363413E-002, 1.6244041E-004, 2.1951872E-005
 1.8000071E+001, 9.0917755E+000, 0.0000000E+000,-8.6496022E-001,-8.3136705E+000,-2.3041818E-002, 4.4005300E-003, 0.0000000E+000,-1.0363541E-001,-2.1135444E-001,-2.0913183E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0800250E-001, 1.6244041E-004, 2.1951872E-005
 1.9000011E+001, 8.9392643E+000, 0.0000000E+000,-7.9015365E-001,-7.9034591E+000,-2.0249301E-002, 4.2099662E-003, 0.0000000E+000,-1.0085109E-001, 1.2759494E-001, 1.2876116E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1664182E-001, 1.6244041E-004, 2.1951872E-005
 2.0000074E+001, 9.0116903E+000, 0.0000000E+000,-7.5944672E-001,-8.1332179E+000,-1.6745528E-002, 3.9870820E-003, 0.0000000E+000,-9.7838410E-002, 9.9911788E-003, 8.4288250E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2528186E-001, 1.6244041E-004, 2.1951872E-005
 2.1000132E+001, 8.9961464E+000, 0.0000000E+000,-7.0009709E-001,-7.9640352E+000,-1.5768196E-002, 3.7929351E-003, 0.0000000E+000,-9.4812751E-002, 2.2507178E-001, 2.2522611E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3392247E-001, 1.6244041E-004, 2.1951872E-005
 2.2000067E+001, 9.0494946E+000, 0.0000000E+000,-6.7014762E-001,-8.3261491E+000,-1.4955096E-002, 3.6462676E-003, 0.0000000E+000,-9.1588516E-002,-5.3936831E-002,-4.9699404E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4256241E-001, 1.6244041E-004, 2.1951872E-005
 2.3000084E+001, 8.9875044E+000, 0.0000000E+000,-6.2855702E-001,-8.7697769E+000,-1.3849052E-002, 3.4869530E-003, 0.0000000E+000,-8.7561252E-002,-5.1506208E-001,-5.0875288E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5120232E-001, 1.6244041E-004, 2.1951872E-005
 2.4000116E+001, 9.0342648E+000, 0.0000000E+000,-5.8004779E-001,-8.2747236E+000,-1.1391289E-002, 3.3390465E-003, 0.0000000E+000,-8.3178817E-002, 7.7295234E-002, 8.8262397E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5984265E-001, 1.6244041E-004, 2.1951872E-005
 2.5000046E+001, 9.0435478E+000, 0.0000000E+000,-5.4731872E-001,-8.3296177E+000,-1.0041467E-002, 3.2084852E-003, 0.0000000E+000,-7.6119285E-002, 6.7977217E-002, 8.3659047E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6848251E-001, 1.6244041E-004, 2.1951872E-005
 2.6000225E+001, 8.8999182E+000, 0.0000000E+000,-4.7481469E-001,-8.1229437E+000,-7.1152752E-003, 3.0698803E-003, 0.0000000E+000,-7.0871832E-002, 2.1134522E-001, 2.2724257E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7712270E-001, 1.6244041E-004, 2.1951872E-005
 2.7000195E+001, 8.6468124E+000, 0.0000000E+000,-4.0822257E-001,-7.7105061E+000,-5.1971583E-003, 2.7683282E-003, 0.0000000E+000,-6.3658439E-002, 4.4230866E-001, 4.6199641E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8576371E-001, 1.6244041E-004, 2.1951872E-005
 2.8000095E+001, 8.5209217E+000, 0.0000000E+000,-3.4580014E-001,-8.1136285E+000,-5.3923845E-003, 2.6263081E-003, 0.0000000E+000,-5.4733207E-002,-1.6822054E-002, 3.9938245E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9440300E-001, 1.6244041E-004, 2.1951872E-005
