s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2179989E-003,-1.2790160E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2179989E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0004042E+000, 2.6249373E+000, 0.0000000E+000,-4.6423853E-001,-1.6576506E-001,-9.1476980E-002, 1.6127091E-004, 0.0000000E+000,-6.2185696E-002, 2.0226030E+000, 1.8414323E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7774786E-005, 9.5414958E-006
 2.0002618E+000, 6.7435294E+000, 0.0000000E+000,-1.4553807E+000,-3.6202677E+000,-5.6299945E-002, 4.8996557E-004, 0.0000000E+000,-1.2943602E-001, 1.4646074E+000, 1.4826349E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5949060E-004, 1.9566482E-005
 3.0001493E+000, 8.6396505E+000, 0.0000000E+000,-1.7951878E+000,-5.7158291E+000,-4.8999651E-002, 6.8913185E-004, 0.0000000E+000,-1.3590966E-001, 9.3825650E-001, 9.4441345E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7613203E-004, 2.1608070E-005
 4.0000453E+000, 9.2633205E+000, 0.0000000E+000,-1.8274386E+000,-7.0261610E+000,-5.0472841E-002, 9.0153137E-004, 0.0000000E+000,-1.3642949E-001, 2.3006056E-001, 2.2372001E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7855169E-004, 2.1904917E-005
 5.0001578E+000, 9.0504101E+000, 0.0000000E+000,-1.7501033E+000,-6.7393605E+000,-5.3028523E-002, 1.0397844E-003, 0.0000000E+000,-1.3735158E-001, 3.8217702E-001, 3.7160604E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7103725E-008, 1.7888257E-004, 2.1945509E-005
 6.0001726E+000, 9.1104827E+000, 0.0000000E+000,-1.7669385E+000,-6.6265180E+000,-5.3299182E-002, 1.1932459E-003, 0.0000000E+000,-1.3763144E-001, 5.3393631E-001, 5.2728889E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3231298E-003, 1.7892741E-004, 2.1951010E-005
 7.0001531E+000, 9.2063837E+000, 0.0000000E+000,-1.8066026E+000,-7.4166478E+000,-5.1174035E-002, 1.3190171E-003, 0.0000000E+000,-1.3738816E-001,-2.0050139E-001,-2.0410998E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2963241E-002, 1.7893348E-004, 2.1951755E-005
 8.0000486E+000, 9.0385089E+000, 0.0000000E+000,-1.7558587E+000,-7.4335906E+000,-5.3676959E-002, 1.4295440E-003, 0.0000000E+000,-1.3611795E-001,-3.3897402E-001,-3.3930575E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1602580E-002, 1.7893430E-004, 2.1951856E-005
 9.0001183E+000, 8.9757208E+000, 0.0000000E+000,-1.6771729E+000,-6.9142550E+000,-4.8906480E-002, 1.4869394E-003, 0.0000000E+000,-1.3231727E-001, 2.0601673E-001, 2.0455606E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0242310E-002, 1.7893441E-004, 2.1951869E-005
 1.0000062E+001, 9.0191437E+000, 0.0000000E+000,-1.6398656E+000,-7.3657078E+000,-4.6795334E-002, 1.5753749E-003, 0.0000000E+000,-1.3009964E-001,-1.6299143E-001,-1.6174934E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8882655E-002, 1.7893443E-004, 2.1951871E-005
 1.1000276E+001, 8.9724742E+000, 0.0000000E+000,-1.5484679E+000,-7.3780904E+000,-4.2441258E-002, 1.5888474E-003, 0.0000000E+000,-1.2656171E-001,-1.2355056E-001,-1.2149828E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7523200E-002, 1.7893443E-004, 2.1951871E-005
 1.2000163E+001, 9.0961189E+000, 0.0000000E+000,-1.5101762E+000,-6.9817555E+000,-4.1660437E-002, 1.6416932E-003, 0.0000000E+000,-1.2483569E-001, 4.3612650E-001, 4.3933273E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6163564E-002, 1.7893443E-004, 2.1951872E-005
 1.3000154E+001, 8.9390158E+000, 0.0000000E+000,-1.4337500E+000,-7.4426950E+000,-3.7301164E-002, 1.6969549E-003, 0.0000000E+000,-1.2207897E-001,-9.7401391E-002,-9.5112358E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4803111E-002, 1.7893443E-004, 2.1951872E-005
