r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.13,     0.70,     0.04,     0.24,   535.79,   321.07
-4.0,     1.33,     0.78,     0.04,     0.22,   612.35,   341.36
-3.0,     1.71,     0.84,     0.05,     0.21,   758.95,   335.76
-2.0,     2.18,     0.82,     0.04,     0.19,   965.58,   279.93
-1.0,     2.52,     0.74,     0.02,     0.18,  1113.05,   202.90
 0.0,     2.61,     0.70,    -0.00,     0.17,  1147.85,   176.03
 1.0,     2.49,     0.75,    -0.02,     0.18,  1103.30,   211.43
 2.0,     2.14,     0.83,    -0.05,     0.19,   948.49,   286.54
 3.0,     1.68,     0.85,    -0.06,     0.21,   746.02,   335.32
 4.0,     1.33,     0.79,    -0.05,     0.22,   607.45,   338.70
 5.0,     1.13,     0.71,    -0.04,     0.24,   534.97,   321.77
 6.0,     1.01,     0.64,    -0.05,     0.26,   498.30,   297.12
 7.0,     0.90,     0.58,    -0.05,     0.28,   478.14,   273.38
 8.0,     0.80,     0.55,    -0.06,     0.29,   464.62,   253.80
 9.0,     0.70,     0.51,    -0.07,     0.30,   453.25,   238.22
10.0,     0.60,     0.47,    -0.08,     0.31,   445.13,   229.53
11.0,     0.53,     0.44,    -0.09,     0.31,   441.06,   227.38
12.0,     0.49,     0.44,    -0.08,     0.32,   437.90,   227.13
13.0,     0.45,     0.44,    -0.08,     0.33,   432.44,   224.96
14.0,     0.40,     0.42,    -0.08,     0.33,   422.90,   218.70
15.0,     0.33,     0.39,    -0.09,     0.32,   408.28,   207.56
16.0,     0.26,     0.35,    -0.10,     0.30,   389.05,   189.95
17.0,     0.19,     0.30,    -0.11,     0.28,   367.65,   165.53
18.0,     0.13,     0.25,    -0.12,     0.25,   347.37,   136.72
19.0,     0.08,     0.19,    -0.13,     0.21,   329.69,   103.33
20.0,     0.05,     0.14,    -0.14,     0.18,   316.33,    69.33
