r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.93,     0.67,     0.08,     0.21,   555.25,   320.04
-4.0,     1.08,     0.76,     0.09,     0.18,   625.90,   331.14
-3.0,     1.35,     0.81,     0.09,     0.17,   759.88,   327.84
-2.0,     1.71,     0.75,     0.07,     0.16,   957.01,   281.42
-1.0,     1.99,     0.62,     0.03,     0.15,  1102.09,   205.80
 0.0,     2.07,     0.57,    -0.00,     0.15,  1141.56,   171.69
 1.0,     1.98,     0.63,    -0.04,     0.15,  1099.31,   207.23
 2.0,     1.70,     0.76,    -0.07,     0.16,   948.36,   281.90
 3.0,     1.35,     0.82,    -0.09,     0.17,   754.71,   325.44
 4.0,     1.08,     0.77,    -0.08,     0.18,   620.74,   327.56
 5.0,     0.91,     0.69,    -0.08,     0.21,   548.39,   317.44
 6.0,     0.81,     0.61,    -0.09,     0.24,   512.03,   308.49
 7.0,     0.74,     0.56,    -0.09,     0.28,   499.03,   307.58
 8.0,     0.69,     0.52,    -0.09,     0.31,   497.60,   310.20
 9.0,     0.64,     0.49,    -0.09,     0.34,   502.52,   315.80
10.0,     0.62,     0.47,    -0.09,     0.36,   512.09,   325.87
11.0,     0.59,     0.45,    -0.09,     0.37,   522.52,   339.20
12.0,     0.55,     0.44,    -0.09,     0.38,   530.58,   352.32
13.0,     0.50,     0.43,    -0.10,     0.38,   528.67,   357.47
14.0,     0.41,     0.40,    -0.11,     0.37,   507.73,   345.04
15.0,     0.31,     0.34,    -0.13,     0.34,   467.12,   309.33
16.0,     0.20,     0.28,    -0.15,     0.30,   416.23,   253.41
17.0,     0.12,     0.21,    -0.16,     0.26,   369.16,   186.15
18.0,     0.06,     0.16,    -0.17,     0.22,   334.30,   117.34
19.0,     0.03,     0.13,    -0.17,     0.19,   313.14,    59.12
20.0,     0.01,     0.12,    -0.16,     0.16,   304.36,    21.90
