r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.36,     0.35,     0.28,     0.18,   766.77,   300.53
-4.0,     0.39,     0.36,     0.27,     0.17,   832.15,   288.95
-3.0,     0.45,     0.32,     0.24,     0.15,   930.64,   249.38
-2.0,     0.54,     0.23,     0.16,     0.13,  1024.61,   182.14
-1.0,     0.58,     0.16,     0.08,     0.12,  1061.07,   135.49
 0.0,     0.58,     0.15,    -0.01,     0.11,  1059.49,   128.75
 1.0,     0.58,     0.17,    -0.09,     0.11,  1057.55,   143.87
 2.0,     0.54,     0.24,    -0.17,     0.13,  1022.40,   191.42
 3.0,     0.46,     0.32,    -0.24,     0.15,   932.89,   252.07
 4.0,     0.40,     0.35,    -0.27,     0.16,   841.05,   288.80
 4.1,     0.40,     0.35,    -0.27,     0.16,   835.59,   289.97
 5.0,     0.37,     0.35,    -0.28,     0.17,   775.46,   302.57
 6.0,     0.36,     0.34,    -0.29,     0.18,   728.24,   310.64
 7.0,     0.35,     0.32,    -0.28,     0.19,   688.60,   315.11
 7.9,     0.34,     0.30,    -0.28,     0.19,   654.20,   316.89
 8.0,     0.34,     0.30,    -0.28,     0.19,   651.08,   317.05
 9.0,     0.33,     0.28,    -0.28,     0.19,   618.57,   318.19
10.0,     0.33,     0.27,    -0.29,     0.18,   587.83,   317.73
11.0,     0.30,     0.26,    -0.29,     0.18,   548.75,   308.27
12.0,     0.26,     0.24,    -0.29,     0.18,   494.86,   277.32
13.0,     0.19,     0.19,    -0.27,     0.18,   429.37,   219.02
14.0,     0.10,     0.14,    -0.25,     0.17,   362.11,   137.42
15.0,     0.05,     0.10,    -0.23,     0.15,   317.56,    57.17
16.0,     0.02,     0.08,    -0.21,     0.13,   303.09,    13.59
17.0,     0.02,     0.06,    -0.19,     0.11,   300.79,     1.58
18.0,     0.02,     0.05,    -0.18,     0.09,   300.56,     0.10
19.0,     0.02,     0.05,    -0.17,     0.09,   300.53,     0.01
20.0,     0.02,     0.05,    -0.16,     0.08,   300.52,     0.01
