r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.83,     0.63,     0.10,     0.18,   563.73,   317.54
-4.0,     0.99,     0.69,     0.11,     0.16,   647.69,   323.46
-3.0,     1.27,     0.70,     0.12,     0.15,   800.65,   303.00
-2.9,     1.29,     0.70,     0.12,     0.15,   811.08,   299.63
-2.0,     1.59,     0.61,     0.09,     0.14,   982.75,   237.39
-1.0,     1.79,     0.49,     0.04,     0.14,  1090.62,   161.20
-0.2,     1.83,     0.46,     0.01,     0.13,  1107.63,   142.09
 0.0,     1.84,     0.45,     0.00,     0.13,  1112.25,   136.43
 1.0,     1.78,     0.49,    -0.05,     0.14,  1085.77,   164.65
 2.0,     1.56,     0.63,    -0.09,     0.15,   969.34,   243.45
 3.0,     1.25,     0.71,    -0.12,     0.16,   788.22,   305.30
 4.0,     0.99,     0.70,    -0.11,     0.17,   645.78,   324.50
 4.2,     0.96,     0.69,    -0.11,     0.17,   629.21,   323.98
 5.0,     0.84,     0.64,    -0.10,     0.19,   568.27,   322.05
 6.0,     0.76,     0.57,    -0.10,     0.21,   529.98,   308.80
 7.0,     0.70,     0.51,    -0.10,     0.24,   509.53,   293.83
 7.8,     0.65,     0.48,    -0.11,     0.27,   499.37,   286.42
 8.0,     0.64,     0.47,    -0.11,     0.28,   496.61,   284.37
 9.0,     0.57,     0.44,    -0.11,     0.30,   486.69,   282.32
10.0,     0.51,     0.43,    -0.11,     0.32,   481.49,   287.63
11.0,     0.47,     0.42,    -0.11,     0.34,   485.12,   298.25
12.0,     0.44,     0.41,    -0.10,     0.35,   488.25,   306.01
13.0,     0.37,     0.39,    -0.11,     0.33,   473.26,   298.75
14.0,     0.27,     0.34,    -0.13,     0.30,   436.79,   267.60
15.0,     0.17,     0.26,    -0.15,     0.27,   391.50,   214.30
16.0,     0.09,     0.19,    -0.16,     0.23,   350.76,   149.74
17.0,     0.04,     0.14,    -0.17,     0.20,   322.37,    87.69
18.0,     0.01,     0.12,    -0.17,     0.17,   307.56,    40.90
19.0,     0.01,     0.11,    -0.16,     0.14,   302.06,    12.97
20.0,     0.01,     0.10,    -0.15,     0.13,   300.81,     2.72
