r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.32,     0.72,     0.07,     0.21,   653.12,   281.06
-3.0,     1.78,     0.71,     0.05,     0.20,   824.91,   261.51
-1.0,     2.11,     0.62,     0.02,     0.19,   954.54,   207.83
 1.0,     2.09,     0.63,    -0.03,     0.19,   948.44,   209.37
 3.0,     1.75,     0.72,    -0.06,     0.20,   814.58,   263.83
 5.0,     1.29,     0.72,    -0.06,     0.21,   643.69,   276.51
 7.0,     0.90,     0.63,    -0.08,     0.22,   512.89,   239.02
 9.0,     0.62,     0.52,    -0.10,     0.22,   440.05,   192.04
11.0,     0.39,     0.44,    -0.11,     0.23,   397.14,   154.29
13.0,     0.23,     0.34,    -0.11,     0.22,   364.04,   122.10
15.0,     0.11,     0.24,    -0.11,     0.19,   334.83,    86.81
17.0,     0.03,     0.14,    -0.11,     0.15,   313.08,    47.25
19.0,     0.00,     0.10,    -0.11,     0.12,   303.03,    16.70
21.0,    -0.00,     0.08,    -0.10,     0.09,   300.51,     2.96
