r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.06,     0.71,     0.06,     0.24,   535.67,   319.55
-4.0,     1.24,     0.80,     0.06,     0.21,   603.72,   334.35
-3.0,     1.55,     0.87,     0.06,     0.19,   733.87,   334.01
-2.0,     1.97,     0.86,     0.05,     0.18,   936.04,   295.44
-1.0,     2.31,     0.77,     0.02,     0.17,  1097.73,   229.78
 0.0,     2.43,     0.71,    -0.00,     0.17,  1147.11,   195.93
 1.0,     2.31,     0.77,    -0.03,     0.17,  1094.20,   229.71
 2.0,     1.96,     0.87,    -0.05,     0.18,   925.89,   298.01
 3.0,     1.54,     0.89,    -0.05,     0.19,   727.73,   332.25
 4.0,     1.23,     0.81,    -0.05,     0.21,   596.94,   327.46
 5.0,     1.04,     0.72,    -0.06,     0.24,   528.73,   312.49
 6.0,     0.92,     0.64,    -0.07,     0.27,   495.25,   299.37
 7.0,     0.84,     0.59,    -0.07,     0.30,   483.15,   294.18
 8.0,     0.77,     0.55,    -0.08,     0.32,   482.29,   293.12
 9.0,     0.72,     0.53,    -0.08,     0.34,   487.70,   296.35
10.0,     0.68,     0.50,    -0.09,     0.35,   495.63,   302.48
11.0,     0.64,     0.47,    -0.09,     0.36,   500.42,   306.99
12.0,     0.60,     0.46,    -0.09,     0.38,   502.51,   311.22
13.0,     0.55,     0.45,    -0.09,     0.39,   501.91,   315.52
14.0,     0.48,     0.44,    -0.09,     0.39,   493.52,   314.70
15.0,     0.41,     0.42,    -0.10,     0.38,   473.74,   302.66
16.0,     0.32,     0.37,    -0.11,     0.35,   443.75,   276.73
17.0,     0.23,     0.32,    -0.13,     0.32,   409.09,   238.80
18.0,     0.15,     0.25,    -0.14,     0.28,   374.07,   190.16
19.0,     0.09,     0.19,    -0.15,     0.24,   341.16,   129.41
20.0,     0.04,     0.15,    -0.15,     0.20,   318.99,    73.38
