r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.13,     0.71,     0.04,     0.23,   533.38,   311.36
-4.0,     1.35,     0.79,     0.04,     0.21,   615.25,   335.19
-3.0,     1.72,     0.85,     0.05,     0.20,   765.46,   335.07
-2.0,     2.20,     0.82,     0.05,     0.19,   974.59,   281.55
-1.0,     2.54,     0.72,     0.02,     0.18,  1122.76,   200.96
 0.0,     2.63,     0.69,    -0.00,     0.17,  1154.54,   174.19
 1.0,     2.50,     0.76,    -0.02,     0.17,  1105.21,   215.57
 2.0,     2.14,     0.85,    -0.05,     0.19,   951.39,   290.40
 3.0,     1.68,     0.85,    -0.06,     0.20,   748.43,   334.79
 4.0,     1.32,     0.78,    -0.05,     0.21,   604.27,   334.31
 5.0,     1.11,     0.71,    -0.04,     0.23,   527.42,   313.45
 6.0,     0.98,     0.64,    -0.05,     0.25,   488.31,   286.29
 7.0,     0.88,     0.59,    -0.05,     0.26,   468.61,   263.12
 8.0,     0.78,     0.55,    -0.06,     0.28,   456.76,   244.08
 9.0,     0.68,     0.51,    -0.07,     0.29,   447.81,   228.48
10.0,     0.60,     0.47,    -0.08,     0.30,   440.79,   218.09
11.0,     0.53,     0.44,    -0.09,     0.31,   435.47,   213.86
12.0,     0.48,     0.43,    -0.09,     0.32,   431.87,   215.28
13.0,     0.45,     0.43,    -0.08,     0.32,   429.45,   218.94
14.0,     0.40,     0.42,    -0.08,     0.33,   423.16,   218.14
15.0,     0.35,     0.40,    -0.09,     0.32,   410.16,   209.51
16.0,     0.28,     0.37,    -0.09,     0.31,   392.60,   193.90
17.0,     0.21,     0.32,    -0.11,     0.28,   372.58,   170.95
18.0,     0.14,     0.25,    -0.12,     0.25,   351.69,   140.94
19.0,     0.09,     0.19,    -0.13,     0.22,   332.26,   105.50
20.0,     0.05,     0.15,    -0.13,     0.19,   317.89,    71.02
