r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.44,     0.72,     0.03,     0.28,   517.38,   304.62
-4.2,     1.61,     0.79,     0.02,     0.27,   561.81,   319.39
-4.0,     1.64,     0.80,     0.02,     0.27,   570.04,   322.05
-3.0,     1.97,     0.92,     0.02,     0.26,   676.72,   331.58
-2.0,     2.48,     1.03,     0.01,     0.25,   860.35,   320.09
-1.0,     2.94,     1.07,    -0.00,     0.24,  1029.35,   284.30
 0.0,     3.09,     1.05,    -0.01,     0.23,  1085.05,   261.44
 1.0,     2.91,     1.04,    -0.01,     0.23,  1015.48,   280.70
 2.0,     2.45,     1.02,    -0.02,     0.24,   844.82,   316.36
 3.0,     1.95,     0.92,    -0.02,     0.25,   668.81,   325.09
 4.0,     1.61,     0.79,    -0.03,     0.27,   559.48,   307.82
 5.0,     1.40,     0.72,    -0.04,     0.28,   502.85,   287.52
 6.0,     1.24,     0.67,    -0.05,     0.28,   472.01,   268.31
 7.0,     1.12,     0.64,    -0.06,     0.29,   456.42,   252.28
 8.0,     1.02,     0.61,    -0.06,     0.29,   450.73,   241.30
 9.0,     0.94,     0.58,    -0.07,     0.30,   450.08,   236.35
10.0,     0.86,     0.56,    -0.08,     0.31,   450.15,   233.21
11.0,     0.79,     0.54,    -0.09,     0.33,   450.21,   231.07
12.0,     0.72,     0.52,    -0.09,     0.34,   448.02,   226.98
13.0,     0.64,     0.49,    -0.09,     0.34,   441.00,   217.16
14.0,     0.57,     0.46,    -0.10,     0.34,   431.91,   206.46
15.0,     0.51,     0.44,    -0.10,     0.33,   421.91,   196.60
16.0,     0.45,     0.42,    -0.10,     0.33,   409.70,   184.98
17.0,     0.39,     0.40,    -0.10,     0.32,   395.68,   169.86
18.0,     0.33,     0.37,    -0.10,     0.31,   381.04,   152.37
19.0,     0.27,     0.35,    -0.10,     0.29,   366.28,   135.34
20.0,     0.21,     0.31,    -0.11,     0.27,   350.26,   113.93
