r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.22,     0.69,     0.09,     0.20,   657.93,   276.27
-3.0,     1.66,     0.66,     0.07,     0.18,   828.94,   251.73
-1.0,     1.96,     0.57,     0.02,     0.18,   956.19,   196.49
 1.0,     1.94,     0.58,    -0.04,     0.18,   950.92,   197.93
 3.0,     1.63,     0.67,    -0.07,     0.19,   819.23,   253.81
 5.0,     1.20,     0.69,    -0.08,     0.20,   647.53,   272.02
 7.0,     0.83,     0.61,    -0.10,     0.21,   516.13,   241.38
 9.0,     0.58,     0.51,    -0.12,     0.22,   444.37,   199.51
11.0,     0.38,     0.43,    -0.13,     0.22,   401.55,   164.10
13.0,     0.21,     0.34,    -0.12,     0.22,   367.15,   130.20
15.0,     0.10,     0.23,    -0.12,     0.19,   335.24,    88.84
17.0,     0.02,     0.13,    -0.12,     0.15,   311.69,    43.34
19.0,    -0.00,     0.09,    -0.11,     0.11,   302.27,    12.58
21.0,    -0.00,     0.07,    -0.11,     0.09,   300.39,     1.80
