r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.67,     0.54,     0.18,     0.15,   635.67,   322.43
-4.0,     0.75,     0.58,     0.19,     0.14,   708.15,   320.39
-3.0,     0.91,     0.58,     0.18,     0.14,   835.60,   303.78
-2.0,     1.11,     0.48,     0.13,     0.13,   990.77,   243.58
-2.0,     1.12,     0.48,     0.13,     0.13,   994.49,   241.95
-1.0,     1.26,     0.35,     0.06,     0.13,  1091.38,   164.08
 0.0,     1.30,     0.31,    -0.01,     0.12,  1111.88,   141.01
 1.0,     1.26,     0.36,    -0.07,     0.12,  1089.39,   169.51
 2.0,     1.11,     0.49,    -0.13,     0.13,   986.63,   245.21
 3.0,     0.91,     0.58,    -0.18,     0.13,   831.38,   305.45
 4.0,     0.76,     0.59,    -0.19,     0.14,   709.31,   324.73
 5.0,     0.67,     0.55,    -0.18,     0.15,   633.67,   327.13
 6.0,     0.60,     0.50,    -0.18,     0.17,   586.71,   325.09
 7.0,     0.56,     0.46,    -0.17,     0.20,   559.55,   325.95
 8.0,     0.53,     0.43,    -0.17,     0.23,   547.33,   331.79
 9.0,     0.51,     0.41,    -0.17,     0.27,   545.11,   341.33
10.0,     0.49,     0.39,    -0.17,     0.29,   543.32,   351.08
11.0,     0.46,     0.37,    -0.18,     0.30,   535.39,   354.83
12.0,     0.40,     0.34,    -0.18,     0.30,   518.85,   345.30
12.0,     0.39,     0.34,    -0.18,     0.30,   518.13,   344.67
13.0,     0.31,     0.30,    -0.18,     0.30,   488.20,   317.29
14.0,     0.20,     0.23,    -0.19,     0.27,   435.61,   263.44
15.0,     0.10,     0.16,    -0.20,     0.23,   373.03,   182.05
15.0,     0.10,     0.16,    -0.20,     0.23,   371.04,   179.17
16.0,     0.04,     0.12,    -0.21,     0.20,   327.67,    97.01
17.0,     0.02,     0.11,    -0.20,     0.17,   307.35,    38.32
17.9,     0.01,     0.10,    -0.19,     0.14,   302.15,    14.15
18.0,     0.01,     0.10,    -0.19,     0.14,   301.65,     8.85
19.0,     0.01,     0.09,    -0.18,     0.12,   300.67,     1.06
20.0,     0.01,     0.07,    -0.17,     0.11,   300.55,     0.15
