r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.85,     0.64,     0.11,     0.19,   572.41,   320.78
-4.0,     0.99,     0.72,     0.11,     0.17,   644.11,   328.96
-3.0,     1.23,     0.76,     0.12,     0.16,   778.26,   323.41
-2.9,     1.24,     0.75,     0.11,     0.16,   789.10,   320.71
-2.0,     1.54,     0.68,     0.09,     0.15,   967.48,   272.51
-1.0,     1.78,     0.54,     0.04,     0.14,  1100.25,   193.26
-0.2,     1.83,     0.50,     0.01,     0.14,  1127.32,   167.72
 0.0,     1.85,     0.49,    -0.00,     0.14,  1134.68,   160.08
 1.0,     1.78,     0.55,    -0.05,     0.14,  1098.47,   194.53
 2.0,     1.54,     0.69,    -0.09,     0.14,   959.38,   271.06
 3.0,     1.23,     0.76,    -0.11,     0.15,   773.03,   320.41
 4.0,     0.99,     0.73,    -0.11,     0.16,   640.65,   328.19
 4.2,     0.96,     0.72,    -0.11,     0.17,   624.84,   326.77
 5.0,     0.84,     0.66,    -0.10,     0.18,   566.73,   321.49
 6.0,     0.75,     0.59,    -0.10,     0.22,   527.64,   314.43
 7.0,     0.69,     0.53,    -0.10,     0.26,   511.98,   314.88
 7.8,     0.65,     0.50,    -0.11,     0.29,   509.71,   318.13
 8.0,     0.64,     0.50,    -0.11,     0.30,   509.09,   319.01
 9.0,     0.61,     0.47,    -0.11,     0.33,   514.63,   326.90
10.0,     0.59,     0.45,    -0.10,     0.35,   524.86,   340.13
11.0,     0.56,     0.43,    -0.10,     0.37,   535.15,   355.92
12.0,     0.52,     0.42,    -0.11,     0.37,   540.03,   367.19
13.0,     0.45,     0.40,    -0.12,     0.37,   530.25,   363.64
14.0,     0.35,     0.35,    -0.13,     0.35,   496.55,   336.66
15.0,     0.24,     0.29,    -0.15,     0.31,   443.14,   284.22
16.0,     0.14,     0.21,    -0.17,     0.27,   387.07,   212.73
17.0,     0.07,     0.16,    -0.18,     0.23,   343.38,   137.08
18.0,     0.03,     0.13,    -0.18,     0.20,   317.07,    72.60
19.0,     0.01,     0.12,    -0.17,     0.17,   305.14,    28.51
20.0,     0.01,     0.11,    -0.17,     0.14,   301.63,     7.94
