r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.40,     0.75,     0.05,     0.22,   649.34,   284.90
-3.0,     1.89,     0.75,     0.04,     0.21,   821.74,   270.43
-1.0,     2.24,     0.67,     0.02,     0.20,   953.38,   218.85
 1.0,     2.22,     0.68,    -0.02,     0.21,   946.30,   220.39
 3.0,     1.86,     0.76,    -0.04,     0.21,   810.49,   272.73
 5.0,     1.38,     0.74,    -0.05,     0.22,   640.81,   280.31
 7.0,     0.96,     0.64,    -0.07,     0.22,   511.09,   237.51
 9.0,     0.66,     0.53,    -0.09,     0.23,   437.28,   186.72
11.0,     0.42,     0.44,    -0.11,     0.23,   393.90,   146.85
13.0,     0.24,     0.35,    -0.10,     0.22,   361.53,   115.42
15.0,     0.12,     0.25,    -0.11,     0.19,   334.29,    84.31
17.0,     0.04,     0.15,    -0.11,     0.15,   314.05,    49.34
19.0,     0.01,     0.10,    -0.10,     0.12,   303.73,    19.92
21.0,     0.00,     0.08,    -0.10,     0.10,   300.68,     4.54
