r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.83,     0.64,     0.11,     0.18,   565.11,   317.53
-4.0,     1.00,     0.70,     0.12,     0.16,   649.26,   320.16
-3.0,     1.28,     0.70,     0.12,     0.15,   804.13,   298.52
-2.9,     1.30,     0.69,     0.12,     0.15,   814.81,   295.10
-2.0,     1.60,     0.60,     0.09,     0.14,   990.58,   231.78
-1.0,     1.81,     0.47,     0.04,     0.13,  1098.94,   152.78
-0.2,     1.84,     0.45,     0.01,     0.13,  1112.94,   136.15
 0.0,     1.85,     0.44,    -0.01,     0.13,  1116.75,   131.27
 1.0,     1.79,     0.50,    -0.05,     0.13,  1087.49,   166.76
 2.0,     1.57,     0.64,    -0.10,     0.14,   972.71,   247.76
 3.0,     1.25,     0.71,    -0.12,     0.16,   792.02,   308.33
 4.0,     0.99,     0.70,    -0.12,     0.16,   643.74,   324.04
 4.2,     0.95,     0.69,    -0.12,     0.17,   626.07,   322.93
 5.0,     0.82,     0.64,    -0.11,     0.18,   561.09,   318.82
 6.0,     0.74,     0.57,    -0.10,     0.21,   521.56,   304.27
 7.0,     0.69,     0.51,    -0.10,     0.24,   500.83,   285.88
 7.8,     0.63,     0.48,    -0.10,     0.26,   488.99,   274.30
 8.0,     0.62,     0.47,    -0.11,     0.27,   485.78,   271.06
 9.0,     0.55,     0.44,    -0.11,     0.30,   474.20,   265.14
10.0,     0.49,     0.42,    -0.10,     0.32,   471.92,   272.59
11.0,     0.47,     0.42,    -0.10,     0.34,   480.48,   291.20
12.0,     0.44,     0.42,    -0.09,     0.35,   486.33,   305.63
13.0,     0.38,     0.40,    -0.11,     0.33,   474.03,   301.21
14.0,     0.27,     0.34,    -0.13,     0.31,   440.14,   271.01
15.0,     0.17,     0.25,    -0.15,     0.27,   394.45,   217.56
16.0,     0.09,     0.18,    -0.17,     0.23,   351.67,   151.32
17.0,     0.04,     0.14,    -0.17,     0.20,   321.93,    86.39
18.0,     0.02,     0.12,    -0.17,     0.17,   307.11,    37.97
19.0,     0.01,     0.11,    -0.16,     0.15,   302.08,    12.67
20.0,     0.01,     0.10,    -0.16,     0.13,   300.87,     3.00
