r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.74,     0.50,     0.21,     0.16,   721.11,   258.07
-3.0,     0.99,     0.41,     0.16,     0.15,   885.25,   212.55
-1.0,     1.15,     0.30,     0.06,     0.15,   992.32,   151.62
 1.0,     1.14,     0.31,    -0.07,     0.15,   988.41,   154.57
 3.0,     0.97,     0.42,    -0.17,     0.15,   876.66,   215.69
 5.0,     0.71,     0.50,    -0.21,     0.15,   709.39,   257.77
 7.0,     0.50,     0.49,    -0.23,     0.17,   573.85,   259.28
 9.0,     0.38,     0.44,    -0.23,     0.18,   495.05,   242.83
11.0,     0.28,     0.38,    -0.22,     0.19,   438.61,   213.66
13.0,     0.17,     0.29,    -0.20,     0.18,   384.39,   160.74
15.0,     0.06,     0.18,    -0.17,     0.15,   332.42,    86.18
17.0,    -0.00,     0.09,    -0.15,     0.12,   304.46,    17.62
19.0,    -0.00,     0.07,    -0.14,     0.09,   300.42,     1.53
21.0,    -0.00,     0.06,    -0.12,     0.07,   300.20,     0.08
