r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.17,     0.68,     0.03,     0.29,   612.31,   351.91
-4.5,     1.29,     0.73,     0.03,     0.28,   658.43,   369.72
-4.0,     1.43,     0.77,     0.03,     0.26,   720.68,   386.49
-3.5,     1.58,     0.82,     0.04,     0.25,   800.64,   397.85
-3.0,     1.76,     0.86,     0.06,     0.24,   899.15,   396.90
-3.0,     1.77,     0.86,     0.06,     0.24,   907.63,   395.26
-2.5,     1.95,     0.87,     0.07,     0.23,  1010.07,   374.83
-2.0,     2.13,     0.83,     0.08,     0.22,  1114.32,   327.20
-1.5,     2.26,     0.75,     0.07,     0.21,  1187.15,   263.61
-1.0,     2.33,     0.66,     0.05,     0.20,  1216.25,   211.97
-0.5,     2.34,     0.61,     0.03,     0.19,  1214.13,   191.29
-0.1,     2.34,     0.60,     0.02,     0.19,  1209.12,   188.41
 0.0,     2.34,     0.59,     0.01,     0.18,  1207.33,   187.37
 0.5,     2.34,     0.61,    -0.00,     0.19,  1209.51,   188.66
 1.0,     2.33,     0.65,    -0.03,     0.20,  1214.16,   206.81
 1.5,     2.28,     0.72,    -0.05,     0.22,  1197.17,   254.44
 2.0,     2.17,     0.79,    -0.06,     0.23,  1136.04,   318.24
 2.5,     2.00,     0.83,    -0.05,     0.24,  1037.81,   371.33
 3.0,     1.81,     0.83,    -0.04,     0.25,   929.42,   400.24
 3.5,     1.63,     0.80,    -0.03,     0.26,   831.83,   407.84
 4.0,     1.48,     0.77,    -0.03,     0.27,   751.27,   400.87
 4.5,     1.34,     0.73,    -0.03,     0.29,   687.26,   386.82
 5.0,     1.22,     0.68,    -0.04,     0.30,   638.52,   371.37
 5.5,     1.12,     0.64,    -0.04,     0.32,   602.44,   356.31
 6.0,     1.04,     0.59,    -0.05,     0.33,   577.20,   344.29
 6.5,     0.97,     0.55,    -0.06,     0.34,   561.44,   337.28
 7.0,     0.92,     0.53,    -0.06,     0.35,   552.84,   334.68
 7.5,     0.88,     0.50,    -0.07,     0.36,   549.37,   335.42
 8.0,     0.84,     0.48,    -0.07,     0.37,   549.38,   338.38
 8.5,     0.80,     0.46,    -0.07,     0.38,   551.40,   342.23
 9.0,     0.77,     0.45,    -0.07,     0.38,   553.73,   345.43
 9.5,     0.73,     0.44,    -0.07,     0.39,   554.96,   347.37
10.0,     0.70,     0.44,    -0.07,     0.40,   553.72,   347.89
10.5,     0.66,     0.43,    -0.07,     0.40,   549.51,   347.03
11.0,     0.62,     0.43,    -0.07,     0.40,   543.11,   344.70
11.5,     0.58,     0.42,    -0.07,     0.40,   534.52,   339.88
12.0,     0.54,     0.41,    -0.07,     0.40,   524.10,   332.90
12.5,     0.50,     0.40,    -0.08,     0.40,   512.44,   325.23
13.0,     0.46,     0.39,    -0.08,     0.39,   499.52,   317.13
13.5,     0.42,     0.38,    -0.09,     0.38,   485.50,   308.51
14.0,     0.38,     0.37,    -0.09,     0.37,   470.67,   298.83
14.5,     0.34,     0.35,    -0.10,     0.35,   454.91,   287.24
15.0,     0.29,     0.34,    -0.11,     0.34,   438.20,   273.04
15.5,     0.25,     0.32,    -0.12,     0.32,   420.53,   255.45
16.0,     0.21,     0.29,    -0.13,     0.31,   402.30,   235.20
16.5,     0.18,     0.27,    -0.13,     0.29,   383.99,   211.62
17.0,     0.15,     0.25,    -0.14,     0.26,   366.44,   183.02
18.0,     0.09,     0.18,    -0.14,     0.22,   339.14,   127.71
19.0,     0.05,     0.14,    -0.15,     0.18,   320.22,    81.38
20.0,     0.03,     0.11,    -0.15,     0.15,   308.86,    42.86
