r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.06,     0.70,     0.05,     0.22,   536.56,   311.66
-4.0,     1.27,     0.78,     0.05,     0.20,   619.60,   332.06
-3.0,     1.63,     0.83,     0.06,     0.19,   773.00,   327.44
-2.0,     2.08,     0.77,     0.05,     0.18,   981.49,   269.14
-1.0,     2.39,     0.66,     0.02,     0.17,  1121.92,   187.55
 0.0,     2.47,     0.64,    -0.00,     0.16,  1149.20,   162.86
 1.0,     2.35,     0.71,    -0.03,     0.16,  1104.57,   203.28
 2.0,     2.03,     0.81,    -0.06,     0.18,   957.52,   280.85
 3.0,     1.59,     0.83,    -0.07,     0.19,   755.75,   329.50
 4.0,     1.24,     0.78,    -0.06,     0.20,   608.97,   332.20
 5.0,     1.04,     0.70,    -0.05,     0.22,   530.58,   314.08
 6.0,     0.92,     0.63,    -0.06,     0.24,   491.99,   289.10
 7.0,     0.84,     0.58,    -0.06,     0.27,   473.46,   266.97
 8.0,     0.74,     0.53,    -0.07,     0.28,   461.47,   248.76
 9.0,     0.65,     0.49,    -0.08,     0.30,   451.80,   234.85
10.0,     0.57,     0.46,    -0.08,     0.31,   445.36,   228.46
11.0,     0.51,     0.44,    -0.09,     0.32,   442.87,   230.19
12.0,     0.48,     0.43,    -0.08,     0.33,   442.25,   235.84
13.0,     0.44,     0.43,    -0.08,     0.34,   439.85,   239.85
14.0,     0.39,     0.42,    -0.08,     0.34,   431.31,   237.35
15.0,     0.32,     0.39,    -0.09,     0.33,   414.67,   225.43
16.0,     0.24,     0.34,    -0.10,     0.31,   392.46,   203.40
17.0,     0.17,     0.27,    -0.12,     0.27,   367.92,   171.64
18.0,     0.10,     0.21,    -0.13,     0.24,   343.68,   131.73
19.0,     0.06,     0.16,    -0.14,     0.20,   323.48,    88.15
20.0,     0.03,     0.13,    -0.14,     0.18,   311.23,    52.49
