r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.77,     0.60,     0.14,     0.17,   597.75,   322.44
-4.0,     0.89,     0.66,     0.14,     0.15,   670.74,   325.85
-3.0,     1.08,     0.68,     0.14,     0.15,   802.81,   316.15
-2.0,     1.35,     0.59,     0.11,     0.14,   979.53,   259.87
-1.0,     1.54,     0.45,     0.05,     0.13,  1096.51,   179.03
 0.0,     1.59,     0.40,    -0.00,     0.13,  1124.64,   149.50
 1.0,     1.54,     0.46,    -0.06,     0.13,  1095.02,   181.70
 2.0,     1.34,     0.60,    -0.11,     0.13,   971.32,   258.98
 3.0,     1.08,     0.68,    -0.14,     0.14,   797.30,   314.46
 4.0,     0.89,     0.67,    -0.14,     0.15,   668.69,   328.22
 5.0,     0.76,     0.62,    -0.14,     0.16,   593.39,   325.51
 6.0,     0.68,     0.55,    -0.14,     0.19,   550.67,   320.07
 7.0,     0.63,     0.50,    -0.13,     0.23,   530.53,   320.98
 8.0,     0.59,     0.47,    -0.13,     0.27,   525.47,   328.00
 9.0,     0.57,     0.44,    -0.13,     0.31,   530.09,   338.64
10.0,     0.55,     0.42,    -0.13,     0.33,   537.23,   351.29
11.0,     0.52,     0.41,    -0.13,     0.35,   541.16,   363.19
12.0,     0.46,     0.39,    -0.14,     0.35,   536.71,   365.70
13.0,     0.38,     0.35,    -0.15,     0.34,   516.58,   349.64
14.0,     0.28,     0.29,    -0.16,     0.31,   471.41,   307.71
15.0,     0.16,     0.22,    -0.18,     0.27,   409.08,   238.42
16.0,     0.08,     0.16,    -0.19,     0.23,   354.63,   156.93
17.0,     0.03,     0.13,    -0.19,     0.20,   321.31,    85.15
18.0,     0.01,     0.12,    -0.19,     0.17,   306.24,    34.41
18.3,     0.01,     0.11,    -0.18,     0.16,   304.80,    28.99
19.0,     0.00,     0.10,    -0.18,     0.14,   301.59,     8.43
20.0,     0.00,     0.09,    -0.17,     0.13,   300.74,     1.61
