r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.84,     0.56,     0.19,     0.20,   746.56,   389.81
-4.5,     0.91,     0.58,     0.20,     0.19,   806.82,   396.54
-4.0,     0.98,     0.59,     0.22,     0.18,   880.70,   395.33
-3.5,     1.06,     0.59,     0.23,     0.18,   963.91,   381.28
-3.0,     1.14,     0.57,     0.23,     0.17,  1048.79,   348.83
-2.5,     1.21,     0.52,     0.22,     0.16,  1123.05,   295.47
-2.0,     1.26,     0.45,     0.20,     0.15,  1159.77,   242.03
-2.0,     1.26,     0.44,     0.19,     0.15,  1163.73,   235.56
-1.5,     1.27,     0.37,     0.15,     0.14,  1158.56,   196.13
-1.0,     1.25,     0.34,     0.10,     0.13,  1122.74,   185.35
-0.5,     1.22,     0.33,     0.05,     0.12,  1083.61,   185.01
 0.0,     1.20,     0.33,     0.01,     0.12,  1063.21,   182.63
 0.5,     1.21,     0.33,    -0.03,     0.12,  1071.18,   180.35
 1.0,     1.24,     0.33,    -0.08,     0.13,  1106.69,   180.07
 1.5,     1.27,     0.36,    -0.13,     0.14,  1152.11,   189.44
 2.0,     1.28,     0.42,    -0.18,     0.15,  1174.29,   224.68
 2.5,     1.25,     0.49,    -0.21,     0.16,  1148.46,   282.07
 3.0,     1.18,     0.55,    -0.22,     0.17,  1081.21,   336.25
 3.5,     1.10,     0.57,    -0.22,     0.18,   999.04,   372.71
 4.0,     1.02,     0.58,    -0.21,     0.19,   918.55,   391.45
 4.5,     0.95,     0.57,    -0.20,     0.19,   843.02,   397.36
 5.0,     0.88,     0.56,    -0.18,     0.20,   776.11,   396.21
 5.5,     0.81,     0.53,    -0.18,     0.21,   721.70,   390.54
 6.0,     0.76,     0.50,    -0.17,     0.22,   679.40,   382.88
 6.5,     0.72,     0.48,    -0.17,     0.24,   649.00,   376.60
 7.0,     0.69,     0.45,    -0.16,     0.26,   628.11,   373.43
 7.5,     0.66,     0.43,    -0.16,     0.27,   612.96,   373.03
 8.0,     0.64,     0.42,    -0.15,     0.28,   601.50,   374.32
 8.5,     0.61,     0.41,    -0.15,     0.29,   591.42,   375.54
 9.0,     0.58,     0.40,    -0.15,     0.30,   581.44,   375.51
 9.5,     0.54,     0.38,    -0.15,     0.30,   571.98,   375.12
10.0,     0.50,     0.37,    -0.15,     0.30,   563.23,   374.98
10.5,     0.46,     0.36,    -0.15,     0.30,   554.10,   374.62
11.0,     0.41,     0.34,    -0.16,     0.30,   542.40,   372.14
11.5,     0.36,     0.32,    -0.16,     0.29,   526.52,   366.33
12.0,     0.31,     0.31,    -0.17,     0.28,   505.65,   355.46
12.0,     0.30,     0.30,    -0.17,     0.28,   503.06,   353.62
12.5,     0.26,     0.28,    -0.17,     0.27,   478.98,   336.07
13.0,     0.21,     0.26,    -0.18,     0.26,   448.04,   307.82
13.5,     0.16,     0.23,    -0.18,     0.24,   416.22,   273.20
14.0,     0.12,     0.20,    -0.19,     0.22,   386.31,   233.99
14.5,     0.09,     0.17,    -0.19,     0.20,   359.80,   190.96
15.0,     0.06,     0.14,    -0.19,     0.18,   338.04,   146.22
15.0,     0.06,     0.14,    -0.19,     0.18,   337.93,   145.98
15.5,     0.04,     0.12,    -0.19,     0.17,   322.44,   105.61
16.0,     0.03,     0.10,    -0.19,     0.15,   312.67,    73.33
16.5,     0.03,     0.09,    -0.18,     0.13,   306.73,    46.76
17.0,     0.02,     0.08,    -0.18,     0.12,   303.44,    26.19
17.9,     0.01,     0.07,    -0.17,     0.10,   301.24,     8.77
18.0,     0.01,     0.07,    -0.17,     0.10,   301.09,     6.03
19.0,     0.01,     0.06,    -0.16,     0.09,   300.60,     0.87
20.0,     0.01,     0.05,    -0.15,     0.08,   300.52,     0.10
