Time,HRR,MLR
s,kW,kg
1.0000,0.0264,0.000001
2.0000,0.0213,0.000001
3.0000,0.0721,0.000003
4.0000,2.2252,0.000105
5.0000,2.7182,0.000129
6.0000,2.9083,0.000138
7.0000,3.1475,0.000149
8.0000,3.3406,0.000158
9.0000,3.5091,0.000166
10.0000,3.7557,0.000178
11.0000,3.8823,0.000184
12.0000,4.0997,0.000194
13.0000,4.3796,0.000208
14.0000,4.5716,0.000217
15.0000,4.6940,0.000222
16.0000,4.9752,0.000236
17.0000,5.0711,0.000240
18.0000,5.2365,0.000248
19.0000,5.6718,0.000269
20.0000,5.8761,0.000278
21.0000,6.0779,0.000288
22.0000,6.2423,0.000296
23.0000,6.6604,0.000316
24.0000,6.8549,0.000325
25.0000,6.9387,0.000329
26.0000,7.2023,0.000341
27.0000,7.6589,0.000363
28.0000,7.9392,0.000376
29.0000,8.0469,0.000381
30.0000,8.4524,0.000401
31.0000,8.4014,0.000398
32.0000,8.8194,0.000418
33.0000,9.1106,0.000432
34.0000,8.9648,0.000425
35.0000,9.2442,0.000438
36.0000,9.8119,0.000465
37.0000,9.9937,0.000474
38.0000,10.1859,0.000483
39.0000,10.3951,0.000493
40.0000,10.8614,0.000515
41.0000,10.6796,0.000506
42.0000,11.5277,0.000546
43.0000,11.5490,0.000547
44.0000,11.3563,0.000538
45.0000,11.7454,0.000557
46.0000,12.0819,0.000573
47.0000,12.5887,0.000597
48.0000,12.8213,0.000608
49.0000,12.8539,0.000609
50.0000,13.1350,0.000623
51.0000,13.6699,0.000648
52.0000,13.6408,0.000646
53.0000,13.6406,0.000646
54.0000,14.0807,0.000667
55.0000,14.1621,0.000671
56.0000,14.5612,0.000690
57.0000,14.6611,0.000695
58.0000,14.6305,0.000693
59.0000,15.3339,0.000727
60.0000,15.1969,0.000720
61.0000,14.9251,0.000707
62.0000,14.9251,0.000707
63.0000,15.1001,0.000716
64.0000,15.5701,0.000738
65.0000,15.7480,0.000746
66.0000,16.3312,0.000774
67.0000,16.3396,0.000774
68.0000,15.8531,0.000751
69.0000,15.8441,0.000751
70.0000,16.1080,0.000763
71.0000,16.4117,0.000778
72.0000,16.4386,0.000779
73.0000,16.2403,0.000770
74.0000,16.5751,0.000786
75.0000,16.7395,0.000793
76.0000,16.0810,0.000762
77.0000,16.8387,0.000798
78.0000,16.5962,0.000787
79.0000,16.4848,0.000781
80.0000,17.2106,0.000816
81.0000,17.3194,0.000821
82.0000,16.9714,0.000804
83.0000,16.9794,0.000805
84.0000,17.1419,0.000812
85.0000,17.1347,0.000812
86.0000,16.8158,0.000797
87.0000,16.5179,0.000783
88.0000,16.8807,0.000800
89.0000,17.3058,0.000820
90.0000,17.6096,0.000835
91.0000,17.2654,0.000818
92.0000,17.3290,0.000821
93.0000,17.8197,0.000845
94.0000,17.3217,0.000821
95.0000,16.7380,0.000793
96.0000,17.7078,0.000839
97.0000,18.0981,0.000858
98.0000,17.9438,0.000850
99.0000,18.0259,0.000854
100.0000,17.8619,0.000847
101.0000,17.8925,0.000848
102.0000,17.8850,0.000848
103.0000,18.5263,0.000878
104.0000,16.6290,0.000788
105.0000,17.2081,0.000816
106.0000,18.4981,0.000877
107.0000,18.4677,0.000875
108.0000,17.8143,0.000844
109.0000,17.0285,0.000807
110.0000,18.3659,0.000870
111.0000,17.9779,0.000852
112.0000,18.6165,0.000882
113.0000,18.4421,0.000874
114.0000,18.0226,0.000854
115.0000,17.2872,0.000819
116.0000,17.8556,0.000846
117.0000,18.4178,0.000873
118.0000,18.5674,0.000880
119.0000,19.1548,0.000908
120.0000,17.7242,0.000840
121.0000,17.1952,0.000815
122.0000,19.0636,0.000903
123.0000,18.6759,0.000885
124.0000,18.4794,0.000876
125.0000,17.9851,0.000852
126.0000,18.7832,0.000890
127.0000,18.7335,0.000888
128.0000,19.0273,0.000902
129.0000,18.7600,0.000889
130.0000,18.4017,0.000872
131.0000,17.9676,0.000852
132.0000,18.6998,0.000886
133.0000,18.2719,0.000866
134.0000,18.8160,0.000892
135.0000,18.3856,0.000871
136.0000,18.7120,0.000887
137.0000,18.2352,0.000864
138.0000,17.7532,0.000841
139.0000,17.2807,0.000819
140.0000,18.5823,0.000881
141.0000,19.2275,0.000911
142.0000,17.3915,0.000824
143.0000,17.6337,0.000836
144.0000,19.1496,0.000908
145.0000,18.7310,0.000888
146.0000,18.6554,0.000884
147.0000,17.7605,0.000842
148.0000,18.3683,0.000871
149.0000,19.2437,0.000912
150.0000,18.1752,0.000861
151.0000,16.9544,0.000804
152.0000,17.8154,0.000844
153.0000,20.3617,0.000965
154.0000,19.5018,0.000924
155.0000,18.5519,0.000879
156.0000,17.6961,0.000839
157.0000,19.2141,0.000911
158.0000,19.7384,0.000935
159.0000,18.1317,0.000859
160.0000,18.9607,0.000899
161.0000,18.5710,0.000880
162.0000,19.0439,0.000903
163.0000,19.6079,0.000929
164.0000,18.8488,0.000893
165.0000,18.4490,0.000874
166.0000,19.0713,0.000904
167.0000,18.0335,0.000855
168.0000,19.1002,0.000905
169.0000,18.9314,0.000897
170.0000,18.1162,0.000859
171.0000,17.5262,0.000831
172.0000,18.9325,0.000897
173.0000,19.5218,0.000925
174.0000,17.2877,0.000819
175.0000,19.1424,0.000907
176.0000,19.8382,0.000940
177.0000,19.3882,0.000919
178.0000,19.1440,0.000907
179.0000,19.1316,0.000907
180.0000,19.3587,0.000917
181.0000,18.1204,0.000859
182.0000,18.8649,0.000894
183.0000,20.1172,0.000953
184.0000,19.1781,0.000909
185.0000,18.6656,0.000885
186.0000,17.6918,0.000838
187.0000,19.0701,0.000904
188.0000,20.3810,0.000966
189.0000,19.1623,0.000908
190.0000,18.8788,0.000895
191.0000,18.5171,0.000878
192.0000,19.7055,0.000934
193.0000,20.0841,0.000952
194.0000,18.9087,0.000896
195.0000,18.1812,0.000862
196.0000,18.5916,0.000881
197.0000,18.9848,0.000900
198.0000,20.2948,0.000962
199.0000,18.1827,0.000862
200.0000,18.0623,0.000856
201.0000,19.7322,0.000935
202.0000,19.4631,0.000922
