r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.50,     0.44,     0.25,     0.15,   666.22,   307.86
-4.0,     0.58,     0.46,     0.25,     0.15,   751.59,   296.91
-3.0,     0.70,     0.42,     0.23,     0.14,   873.34,   262.20
-2.0,     0.84,     0.32,     0.16,     0.13,   992.42,   194.51
-1.0,     0.92,     0.22,     0.08,     0.12,  1054.55,   126.30
 0.0,     0.93,     0.18,    -0.00,     0.11,  1064.17,   106.75
 1.0,     0.91,     0.22,    -0.08,     0.12,  1048.24,   131.11
 2.0,     0.83,     0.33,    -0.16,     0.13,   982.32,   199.65
 3.0,     0.69,     0.42,    -0.23,     0.14,   864.30,   266.10
 4.0,     0.58,     0.46,    -0.25,     0.15,   750.76,   299.63
 5.0,     0.51,     0.45,    -0.25,     0.16,   670.77,   311.19
 6.0,     0.47,     0.42,    -0.24,     0.16,   621.11,   314.24
 7.0,     0.46,     0.38,    -0.23,     0.17,   593.09,   313.71
 8.0,     0.44,     0.36,    -0.23,     0.19,   571.79,   313.24
 9.0,     0.42,     0.35,    -0.22,     0.21,   547.74,   314.10
10.0,     0.38,     0.34,    -0.22,     0.22,   521.06,   311.27
11.0,     0.34,     0.33,    -0.21,     0.24,   499.84,   304.03
12.0,     0.30,     0.30,    -0.21,     0.24,   476.47,   286.39
13.0,     0.21,     0.25,    -0.21,     0.23,   430.82,   239.32
14.0,     0.10,     0.17,    -0.21,     0.21,   371.45,   164.55
15.0,     0.03,     0.11,    -0.20,     0.18,   326.62,    87.25
16.0,     0.01,     0.10,    -0.20,     0.15,   306.43,    30.52
17.0,     0.01,     0.08,    -0.18,     0.13,   301.29,     6.09
18.0,     0.01,     0.07,    -0.17,     0.11,   300.58,     0.78
19.0,     0.01,     0.06,    -0.16,     0.10,   300.51,     0.07
20.0,     0.01,     0.05,    -0.15,     0.09,   300.49,     0.02
