r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.63,     0.53,     0.19,     0.15,   617.91,   314.30
-4.0,     0.75,     0.56,     0.20,     0.14,   705.46,   306.91
-3.0,     0.93,     0.53,     0.19,     0.13,   847.92,   277.61
-2.0,     1.14,     0.43,     0.14,     0.12,   995.71,   212.39
-2.0,     1.14,     0.43,     0.14,     0.12,   999.26,   210.58
-1.0,     1.26,     0.31,     0.07,     0.12,  1076.99,   135.84
 0.0,     1.29,     0.27,     0.00,     0.12,  1087.46,   111.32
 1.0,     1.25,     0.31,    -0.07,     0.12,  1068.33,   139.26
 2.0,     1.13,     0.43,    -0.14,     0.13,   988.42,   217.72
 3.0,     0.93,     0.53,    -0.19,     0.14,   846.98,   283.65
 4.0,     0.76,     0.55,    -0.19,     0.14,   712.09,   310.00
 5.0,     0.65,     0.52,    -0.19,     0.15,   625.35,   316.37
 6.0,     0.59,     0.48,    -0.18,     0.16,   578.37,   312.74
 7.0,     0.56,     0.43,    -0.18,     0.19,   551.62,   303.88
 8.0,     0.52,     0.41,    -0.17,     0.22,   532.10,   300.34
 9.0,     0.47,     0.40,    -0.16,     0.26,   513.87,   304.41
10.0,     0.43,     0.39,    -0.16,     0.28,   502.15,   312.40
11.0,     0.41,     0.37,    -0.17,     0.29,   500.48,   319.29
12.0,     0.37,     0.35,    -0.17,     0.29,   493.86,   314.75
12.0,     0.36,     0.35,    -0.17,     0.29,   493.14,   314.10
13.0,     0.28,     0.30,    -0.17,     0.28,   463.14,   285.78
14.0,     0.17,     0.22,    -0.18,     0.25,   409.64,   226.70
15.0,     0.07,     0.15,    -0.19,     0.22,   354.79,   147.50
15.0,     0.07,     0.15,    -0.19,     0.22,   353.22,   145.03
16.0,     0.03,     0.12,    -0.19,     0.19,   319.02,    72.56
17.0,     0.01,     0.11,    -0.19,     0.16,   304.60,    25.12
17.9,     0.00,     0.10,    -0.18,     0.13,   301.39,     8.83
18.0,     0.00,     0.09,    -0.18,     0.13,   301.08,     4.99
19.0,     0.00,     0.08,    -0.17,     0.12,   300.56,     0.66
20.0,     0.00,     0.07,    -0.16,     0.10,   300.50,     0.09
