r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.51,     0.44,     0.25,     0.16,   673.71,   307.20
-4.0,     0.59,     0.45,     0.25,     0.15,   761.48,   293.09
-3.0,     0.71,     0.41,     0.23,     0.14,   886.09,   255.74
-2.0,     0.85,     0.31,     0.17,     0.12,  1005.48,   187.80
-1.0,     0.93,     0.21,     0.08,     0.11,  1061.09,   122.38
 0.0,     0.94,     0.18,     0.00,     0.11,  1066.60,   101.73
 1.0,     0.92,     0.21,    -0.08,     0.11,  1054.40,   123.82
 2.0,     0.84,     0.32,    -0.16,     0.13,   994.50,   194.58
 3.0,     0.71,     0.41,    -0.23,     0.14,   881.05,   262.05
 4.0,     0.59,     0.45,    -0.25,     0.15,   764.85,   295.68
 5.0,     0.52,     0.44,    -0.25,     0.16,   678.62,   307.42
 6.0,     0.48,     0.41,    -0.24,     0.16,   624.21,   309.17
 7.0,     0.46,     0.38,    -0.23,     0.17,   592.10,   306.09
 8.0,     0.44,     0.36,    -0.22,     0.19,   569.93,   306.51
 9.0,     0.42,     0.35,    -0.22,     0.21,   545.67,   311.92
10.0,     0.38,     0.34,    -0.21,     0.23,   519.05,   313.63
11.0,     0.35,     0.33,    -0.21,     0.24,   500.87,   309.55
12.0,     0.31,     0.30,    -0.21,     0.25,   481.49,   293.63
13.0,     0.23,     0.25,    -0.21,     0.24,   439.13,   249.96
14.0,     0.12,     0.17,    -0.21,     0.22,   380.13,   177.33
15.0,     0.04,     0.11,    -0.21,     0.19,   330.97,    95.56
16.0,     0.01,     0.10,    -0.20,     0.16,   307.36,    32.90
17.0,     0.01,     0.09,    -0.19,     0.13,   301.42,     6.53
18.0,     0.01,     0.07,    -0.18,     0.11,   300.59,     0.76
19.0,     0.01,     0.06,    -0.17,     0.10,   300.51,     0.06
20.0,     0.01,     0.06,    -0.16,     0.09,   300.49,     0.01
