z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.01,     0.00,     0.00,     0.00,   300.00,     0.00
 1.0,     0.05,     0.09,    -0.01,     0.10,   789.67,   149.87
 2.0,     0.21,     0.11,    -0.01,     0.11,   960.42,   122.76
 3.0,     0.40,     0.13,    -0.01,     0.11,  1025.88,   126.61
 4.0,     0.58,     0.15,    -0.01,     0.11,  1059.49,   128.75
 5.0,     0.78,     0.18,    -0.01,     0.12,  1079.87,   131.68
 6.0,     0.96,     0.22,    -0.01,     0.12,  1093.41,   134.86
 7.0,     1.14,     0.26,    -0.01,     0.12,  1103.59,   137.94
 8.0,     1.30,     0.31,    -0.01,     0.12,  1111.88,   141.01
 9.0,     1.45,     0.35,    -0.00,     0.13,  1118.76,   144.89
10.0,     1.59,     0.40,    -0.00,     0.13,  1124.64,   149.50
11.0,     1.73,     0.44,    -0.00,     0.13,  1130.02,   154.59
12.0,     1.85,     0.49,    -0.00,     0.14,  1134.68,   160.08
13.0,     1.96,     0.53,    -0.00,     0.14,  1138.56,   165.68
14.0,     2.07,     0.57,    -0.00,     0.15,  1141.56,   171.69
15.0,     2.17,     0.60,    -0.00,     0.15,  1143.96,   177.95
16.0,     2.26,     0.64,    -0.00,     0.16,  1145.78,   184.13
17.0,     2.35,     0.68,    -0.00,     0.16,  1146.88,   190.14
18.0,     2.43,     0.71,    -0.00,     0.17,  1147.11,   195.93
19.0,     2.50,     0.74,    -0.01,     0.18,  1146.37,   201.60
20.0,     2.57,     0.78,    -0.01,     0.18,  1144.55,   207.25
21.0,     2.64,     0.81,    -0.01,     0.19,  1141.81,   212.93
22.0,     2.70,     0.84,    -0.01,     0.19,  1138.23,   218.56
23.0,     2.76,     0.87,    -0.01,     0.20,  1133.93,   224.06
24.0,     2.82,     0.90,    -0.01,     0.20,  1128.96,   229.40
25.0,     2.87,     0.92,    -0.01,     0.21,  1123.35,   234.54
26.0,     2.92,     0.95,    -0.01,     0.21,  1117.03,   239.64
27.0,     2.97,     0.97,    -0.01,     0.22,  1109.99,   244.74
28.0,     3.01,     1.00,    -0.01,     0.22,  1102.24,   250.07
29.0,     3.06,     1.03,    -0.01,     0.23,  1093.89,   255.64
30.0,     3.09,     1.05,    -0.01,     0.23,  1085.05,   261.44
31.0,     3.13,     1.08,    -0.01,     0.24,  1075.81,   267.35
32.0,     3.16,     1.10,    -0.01,     0.24,  1066.32,   273.13
33.0,     3.19,     1.13,    -0.01,     0.24,  1056.76,   278.59
34.0,     3.22,     1.15,    -0.01,     0.25,  1047.14,   283.75
35.0,     3.25,     1.17,    -0.01,     0.25,  1037.45,   288.74
36.0,     3.27,     1.19,    -0.01,     0.25,  1027.72,   293.49
37.0,     3.29,     1.21,    -0.01,     0.26,  1017.94,   298.00
38.0,     3.32,     1.22,    -0.01,     0.26,  1008.10,   302.31
39.0,     3.34,     1.24,    -0.01,     0.26,   998.14,   306.48
40.0,     3.36,     1.25,    -0.01,     0.27,   988.06,   310.52
41.0,     3.37,     1.27,    -0.01,     0.27,   977.86,   314.45
42.0,     3.39,     1.28,    -0.01,     0.28,   967.53,   318.24
43.0,     3.40,     1.29,    -0.01,     0.28,   957.07,   321.88
44.0,     3.41,     1.30,    -0.01,     0.28,   946.49,   325.35
45.0,     3.42,     1.31,    -0.01,     0.29,   935.76,   328.63
46.0,     3.43,     1.32,    -0.01,     0.29,   925.02,   331.68
47.0,     3.43,     1.33,    -0.01,     0.29,   914.27,   334.44
48.0,     3.44,     1.34,    -0.01,     0.30,   903.53,   336.86
49.0,     3.44,     1.35,    -0.01,     0.30,   892.80,   338.95
50.0,     3.44,     1.35,    -0.01,     0.30,   882.04,   340.62
51.0,     3.44,     1.36,    -0.01,     0.31,   871.27,   341.83
52.0,     3.44,     1.36,    -0.01,     0.31,   860.40,   342.60
53.0,     3.44,     1.37,    -0.01,     0.32,   849.42,   342.98
54.0,     3.43,     1.37,    -0.01,     0.32,   838.31,   342.95
55.0,     3.43,     1.37,    -0.01,     0.32,   827.07,   342.58
56.0,     3.42,     1.37,    -0.01,     0.33,   815.75,   341.83
57.0,     3.42,     1.38,    -0.02,     0.33,   804.35,   340.66
58.0,     3.41,     1.38,    -0.02,     0.33,   792.93,   339.04
59.0,     3.40,     1.38,    -0.02,     0.33,   781.55,   337.07
60.0,     3.38,     1.38,    -0.02,     0.34,   770.18,   334.70
61.0,     3.37,     1.38,    -0.02,     0.34,   758.94,   332.06
62.0,     3.36,     1.38,    -0.02,     0.34,   747.82,   329.19
63.0,     3.34,     1.38,    -0.02,     0.34,   736.90,   326.07
64.0,     3.33,     1.38,    -0.02,     0.35,   726.20,   322.77
65.0,     3.31,     1.38,    -0.02,     0.35,   715.65,   319.18
66.0,     3.29,     1.38,    -0.02,     0.35,   705.26,   315.38
67.0,     3.28,     1.38,    -0.02,     0.36,   694.98,   311.40
68.0,     3.26,     1.37,    -0.02,     0.36,   684.85,   307.15
69.0,     3.24,     1.37,    -0.02,     0.36,   674.85,   302.75
70.0,     3.23,     1.37,    -0.02,     0.37,   665.01,   298.18
71.0,     3.21,     1.37,    -0.02,     0.37,   655.41,   293.46
72.0,     3.19,     1.36,    -0.02,     0.37,   646.11,   288.69
73.0,     3.18,     1.36,    -0.02,     0.37,   637.07,   283.85
74.0,     3.16,     1.35,    -0.02,     0.38,   628.43,   278.99
75.0,     3.15,     1.35,    -0.02,     0.38,   620.20,   274.08
76.0,     3.13,     1.34,    -0.01,     0.38,   612.34,   269.10
77.0,     3.12,     1.35,    -0.01,     0.39,   604.82,   264.16
78.0,     3.11,     1.33,    -0.01,     0.39,   597.41,   258.76
79.0,     3.09,     1.35,    -0.01,     0.40,   591.74,   257.62
80.0,     3.08,     1.34,    -0.01,     0.41,   579.17,   245.79
82.0,     2.97,     1.13,    -0.01,     0.38,   552.29,   210.40
84.0,     2.94,     1.13,    -0.01,     0.39,   541.17,   199.82
86.0,     2.92,     1.12,    -0.01,     0.39,   530.78,   190.09
88.0,     2.90,     1.11,    -0.01,     0.39,   521.17,   181.20
90.0,     2.89,     1.10,    -0.01,     0.39,   512.19,   172.95
92.0,     2.87,     1.10,    -0.01,     0.40,   503.87,   165.25
94.0,     2.85,     1.09,    -0.01,     0.40,   496.08,   158.09
96.0,     2.84,     1.08,    -0.01,     0.40,   488.75,   151.38
98.0,     2.82,     1.07,    -0.01,     0.40,   481.82,   145.16
100.0,     2.80,     1.06,    -0.01,     0.40,   475.28,   139.29
102.0,     2.78,     1.05,    -0.01,     0.41,   469.09,   133.78
104.0,     2.77,     1.05,    -0.01,     0.41,   463.22,   128.62
106.0,     2.75,     1.04,    -0.01,     0.41,   457.59,   123.69
108.0,     2.73,     1.03,    -0.01,     0.42,   452.17,   118.98
110.0,     2.71,     1.02,    -0.01,     0.42,   446.94,   114.34
112.0,     2.68,     1.02,    -0.01,     0.42,   441.90,   109.83
114.0,     2.66,     1.01,    -0.01,     0.42,   437.10,   105.58
116.0,     2.64,     1.00,    -0.01,     0.42,   432.54,   101.42
118.0,     2.61,     0.99,    -0.01,     0.42,   428.25,    97.46
120.0,     2.59,     0.98,    -0.01,     0.42,   424.17,    93.70
