r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.57,     0.42,     0.25,     0.15,   769.85,   259.37
-3.0,     0.77,     0.33,     0.19,     0.15,   924.88,   203.39
-1.0,     0.87,     0.23,     0.07,     0.16,  1016.40,   138.04
 1.0,     0.87,     0.24,    -0.08,     0.16,  1012.89,   141.20
 3.0,     0.75,     0.34,    -0.20,     0.15,   916.72,   207.86
 5.0,     0.55,     0.42,    -0.26,     0.15,   759.71,   260.73
 7.0,     0.40,     0.43,    -0.28,     0.16,   621.95,   268.96
 9.0,     0.31,     0.39,    -0.27,     0.17,   534.06,   253.86
11.0,     0.23,     0.33,    -0.26,     0.17,   465.83,   222.79
13.0,     0.15,     0.26,    -0.23,     0.16,   397.48,   165.15
15.0,     0.07,     0.17,    -0.19,     0.13,   333.24,    85.69
17.0,     0.01,     0.09,    -0.15,     0.11,   302.26,     9.19
19.0,     0.00,     0.07,    -0.13,     0.08,   300.26,     0.53
21.0,     0.01,     0.05,    -0.12,     0.06,   300.19,     0.02
