r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.03,     0.64,     0.08,     0.25,   649.29,   362.15
-4.5,     1.13,     0.68,     0.08,     0.24,   701.48,   378.08
-4.0,     1.24,     0.72,     0.09,     0.22,   770.57,   391.14
-3.5,     1.37,     0.75,     0.11,     0.21,   857.33,   394.58
-3.0,     1.52,     0.76,     0.13,     0.21,   959.23,   382.61
-3.0,     1.52,     0.75,     0.13,     0.21,   959.60,   382.49
-2.5,     1.66,     0.73,     0.13,     0.20,  1065.80,   347.39
-2.0,     1.79,     0.66,     0.13,     0.19,  1153.98,   287.07
-1.5,     1.86,     0.57,     0.10,     0.17,  1197.31,   223.86
-1.0,     1.88,     0.50,     0.07,     0.16,  1192.37,   189.64
-0.5,     1.87,     0.47,     0.04,     0.15,  1166.77,   182.57
-0.0,     1.85,     0.46,     0.01,     0.15,  1150.47,   181.77
 0.0,     1.85,     0.46,     0.01,     0.15,  1150.36,   181.76
 0.5,     1.86,     0.47,    -0.01,     0.15,  1156.19,   180.73
 1.0,     1.87,     0.50,    -0.05,     0.17,  1179.77,   185.15
 1.5,     1.87,     0.56,    -0.08,     0.18,  1194.83,   215.86
 2.0,     1.82,     0.64,    -0.11,     0.19,  1169.47,   276.60
 2.5,     1.71,     0.70,    -0.12,     0.20,  1095.52,   338.13
 3.0,     1.57,     0.73,    -0.11,     0.21,   994.09,   378.29
 3.5,     1.42,     0.73,    -0.10,     0.22,   892.16,   396.02
 4.0,     1.29,     0.71,    -0.09,     0.23,   803.87,   398.54
 4.0,     1.29,     0.71,    -0.09,     0.23,   803.37,   398.49
 4.5,     1.18,     0.68,    -0.08,     0.25,   732.43,   391.26
 5.0,     1.07,     0.64,    -0.08,     0.26,   676.92,   378.63
 5.5,     0.99,     0.60,    -0.08,     0.28,   635.10,   365.01
 6.0,     0.91,     0.56,    -0.09,     0.29,   604.02,   354.03
 6.5,     0.86,     0.52,    -0.09,     0.31,   583.12,   347.88
 7.0,     0.81,     0.49,    -0.09,     0.33,   571.45,   346.57
 7.5,     0.77,     0.47,    -0.09,     0.34,   565.97,   348.92
 8.0,     0.74,     0.45,    -0.09,     0.36,   564.45,   353.55
 8.1,     0.74,     0.45,    -0.09,     0.36,   564.45,   354.07
 8.5,     0.71,     0.44,    -0.09,     0.37,   564.44,   358.48
 9.0,     0.69,     0.43,    -0.09,     0.38,   564.63,   363.25
 9.5,     0.66,     0.42,    -0.09,     0.39,   564.22,   367.33
10.0,     0.63,     0.41,    -0.09,     0.39,   562.04,   369.11
10.5,     0.59,     0.41,    -0.09,     0.39,   557.91,   369.06
11.0,     0.54,     0.39,    -0.10,     0.38,   551.14,   367.75
11.5,     0.50,     0.38,    -0.10,     0.38,   541.57,   364.72
12.0,     0.45,     0.37,    -0.11,     0.37,   529.02,   358.62
12.5,     0.40,     0.35,    -0.12,     0.36,   512.92,   348.96
13.0,     0.35,     0.34,    -0.12,     0.35,   493.46,   336.48
13.5,     0.30,     0.32,    -0.13,     0.33,   471.72,   321.10
14.0,     0.25,     0.30,    -0.14,     0.32,   448.76,   301.89
14.5,     0.21,     0.27,    -0.15,     0.30,   425.08,   277.84
15.0,     0.17,     0.25,    -0.15,     0.28,   401.52,   249.39
15.5,     0.14,     0.22,    -0.16,     0.26,   379.48,   218.03
16.0,     0.11,     0.19,    -0.16,     0.24,   359.88,   184.71
16.5,     0.08,     0.17,    -0.17,     0.21,   342.80,   149.56
17.0,     0.06,     0.14,    -0.17,     0.19,   328.79,   114.53
18.0,     0.03,     0.11,    -0.17,     0.15,   310.91,    55.61
19.0,     0.02,     0.09,    -0.16,     0.13,   303.33,    20.21
20.0,     0.01,     0.08,    -0.15,     0.11,   301.20,     5.28
