r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.91,     0.66,     0.08,     0.20,   551.61,   318.11
-4.0,     1.09,     0.73,     0.09,     0.18,   634.09,   328.99
-3.0,     1.40,     0.75,     0.10,     0.17,   787.50,   311.76
-2.0,     1.77,     0.68,     0.07,     0.16,   980.24,   247.88
-1.0,     2.01,     0.57,     0.03,     0.15,  1099.94,   171.80
 0.0,     2.07,     0.52,     0.00,     0.14,  1124.96,   146.49
 1.0,     2.00,     0.57,    -0.04,     0.15,  1095.19,   175.22
 2.0,     1.74,     0.70,    -0.08,     0.16,   966.45,   254.27
 3.0,     1.38,     0.77,    -0.10,     0.17,   774.96,   313.89
 4.0,     1.09,     0.74,    -0.09,     0.18,   631.42,   329.26
 5.0,     0.92,     0.67,    -0.08,     0.21,   555.20,   322.98
 6.0,     0.83,     0.59,    -0.08,     0.23,   517.90,   305.47
 7.0,     0.75,     0.53,    -0.08,     0.26,   497.96,   287.05
 8.0,     0.68,     0.49,    -0.09,     0.29,   485.49,   274.94
 9.0,     0.60,     0.46,    -0.09,     0.31,   476.31,   269.94
10.0,     0.53,     0.44,    -0.10,     0.33,   470.96,   272.04
11.0,     0.49,     0.43,    -0.09,     0.34,   471.51,   278.94
12.0,     0.45,     0.43,    -0.09,     0.35,   473.31,   285.57
13.0,     0.40,     0.41,    -0.09,     0.35,   465.47,   285.04
14.0,     0.32,     0.38,    -0.11,     0.33,   441.68,   269.03
15.0,     0.22,     0.32,    -0.13,     0.30,   406.09,   233.42
16.0,     0.13,     0.24,    -0.15,     0.26,   368.80,   182.88
17.0,     0.07,     0.17,    -0.16,     0.22,   337.94,   126.41
18.0,     0.03,     0.13,    -0.16,     0.19,   316.75,    73.16
19.0,     0.01,     0.12,    -0.16,     0.16,   305.60,    32.17
20.0,     0.01,     0.11,    -0.15,     0.14,   301.86,    10.39
