r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.95,     0.61,     0.12,     0.23,   686.18,   374.71
-4.5,     1.03,     0.64,     0.13,     0.21,   741.51,   387.09
-4.0,     1.13,     0.67,     0.15,     0.20,   813.66,   394.62
-3.5,     1.23,     0.68,     0.16,     0.19,   901.34,   390.84
-3.0,     1.35,     0.68,     0.18,     0.19,   999.28,   369.91
-2.5,     1.46,     0.64,     0.18,     0.18,  1095.24,   325.63
-2.0,     1.55,     0.56,     0.16,     0.17,  1164.92,   262.19
-1.5,     1.60,     0.48,     0.12,     0.15,  1185.98,   207.51
-1.0,     1.59,     0.42,     0.08,     0.14,  1164.03,   185.77
-0.5,     1.57,     0.40,     0.05,     0.13,  1129.78,   183.48
 0.0,     1.55,     0.40,     0.01,     0.13,  1110.66,   182.49
 0.5,     1.56,     0.40,    -0.02,     0.14,  1118.28,   180.71
 1.0,     1.58,     0.41,    -0.06,     0.15,  1149.31,   180.89
 1.5,     1.60,     0.46,    -0.11,     0.16,  1181.00,   199.76
 2.0,     1.58,     0.53,    -0.14,     0.17,  1178.31,   251.74
 2.5,     1.51,     0.61,    -0.16,     0.18,  1124.35,   314.45
 3.0,     1.40,     0.65,    -0.16,     0.19,  1035.01,   361.96
 3.5,     1.28,     0.66,    -0.15,     0.20,   938.28,   388.05
 4.0,     1.17,     0.65,    -0.14,     0.21,   850.46,   397.19
 4.5,     1.08,     0.63,    -0.13,     0.22,   775.64,   395.21
 5.0,     0.99,     0.61,    -0.12,     0.23,   715.16,   387.00
 5.5,     0.91,     0.57,    -0.12,     0.25,   668.75,   376.63
 6.0,     0.85,     0.54,    -0.12,     0.26,   634.06,   367.46
 6.5,     0.80,     0.50,    -0.12,     0.28,   609.47,   361.14
 7.0,     0.76,     0.48,    -0.12,     0.30,   594.05,   359.03
 7.5,     0.72,     0.45,    -0.11,     0.32,   585.20,   361.23
 8.0,     0.70,     0.44,    -0.11,     0.33,   579.91,   364.54
 8.5,     0.67,     0.43,    -0.11,     0.34,   576.10,   367.44
 9.0,     0.64,     0.42,    -0.11,     0.35,   571.89,   370.38
 9.5,     0.61,     0.41,    -0.11,     0.35,   567.33,   372.30
10.0,     0.57,     0.39,    -0.11,     0.35,   562.78,   372.64
10.5,     0.53,     0.38,    -0.12,     0.35,   557.32,   373.12
11.0,     0.48,     0.37,    -0.12,     0.35,   549.49,   372.78
11.5,     0.43,     0.35,    -0.13,     0.34,   537.45,   368.41
12.0,     0.38,     0.34,    -0.13,     0.33,   520.91,   359.72
12.5,     0.33,     0.32,    -0.14,     0.32,   500.30,   346.95
13.0,     0.28,     0.30,    -0.15,     0.31,   476.21,   329.41
13.5,     0.23,     0.28,    -0.16,     0.29,   449.78,   306.54
14.0,     0.18,     0.25,    -0.16,     0.27,   422.30,   277.99
14.5,     0.15,     0.22,    -0.17,     0.25,   395.42,   244.08
15.0,     0.11,     0.19,    -0.17,     0.23,   370.67,   206.02
15.5,     0.08,     0.16,    -0.18,     0.21,   349.60,   167.22
16.0,     0.06,     0.14,    -0.18,     0.19,   332.93,   130.57
16.5,     0.05,     0.12,    -0.18,     0.17,   320.41,    96.72
17.0,     0.03,     0.11,    -0.18,     0.15,   312.09,    67.84
18.0,     0.02,     0.09,    -0.17,     0.13,   303.77,    26.18
18.1,     0.02,     0.09,    -0.17,     0.12,   303.47,    24.72
19.0,     0.01,     0.08,    -0.16,     0.11,   301.12,     5.90
20.0,     0.01,     0.06,    -0.15,     0.09,   300.62,     0.96
