r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.51,     0.44,     0.25,     0.16,   674.47,   307.44
-4.0,     0.59,     0.46,     0.25,     0.15,   758.49,   293.10
-3.0,     0.71,     0.42,     0.23,     0.13,   877.78,   256.63
-2.0,     0.84,     0.31,     0.16,     0.12,   995.20,   187.95
-1.0,     0.92,     0.21,     0.08,     0.12,  1054.85,   120.44
 0.0,     0.94,     0.18,    -0.00,     0.11,  1064.69,   102.03
 1.0,     0.92,     0.21,    -0.09,     0.11,  1053.52,   127.18
 2.0,     0.83,     0.32,    -0.16,     0.12,   991.00,   197.67
 3.0,     0.70,     0.42,    -0.23,     0.14,   873.25,   265.89
 4.0,     0.58,     0.46,    -0.25,     0.15,   757.07,   299.00
 5.0,     0.51,     0.44,    -0.25,     0.16,   673.05,   309.36
 6.0,     0.47,     0.41,    -0.24,     0.16,   617.53,   311.34
 7.0,     0.44,     0.38,    -0.23,     0.17,   584.42,   308.53
 8.0,     0.43,     0.36,    -0.22,     0.19,   563.56,   306.09
 9.0,     0.41,     0.35,    -0.22,     0.21,   542.65,   307.14
10.0,     0.38,     0.34,    -0.21,     0.23,   521.45,   310.14
11.0,     0.35,     0.34,    -0.21,     0.24,   504.25,   308.55
12.0,     0.30,     0.31,    -0.21,     0.24,   481.02,   290.89
13.0,     0.21,     0.25,    -0.21,     0.24,   434.85,   241.91
14.0,     0.11,     0.17,    -0.21,     0.21,   372.95,   162.72
15.0,     0.03,     0.11,    -0.20,     0.18,   325.56,    80.97
16.0,     0.01,     0.10,    -0.20,     0.15,   305.50,    24.97
17.0,     0.01,     0.09,    -0.19,     0.13,   301.07,     3.70
18.0,     0.01,     0.07,    -0.18,     0.11,   300.56,     0.38
19.0,     0.01,     0.06,    -0.16,     0.10,   300.50,     0.03
20.0,     0.01,     0.06,    -0.16,     0.09,   300.49,     0.01
