r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.63,     0.53,     0.19,     0.15,   616.12,   315.29
-4.0,     0.74,     0.56,     0.20,     0.14,   703.35,   309.98
-3.0,     0.93,     0.53,     0.19,     0.14,   842.93,   280.90
-2.0,     1.12,     0.43,     0.14,     0.13,   985.80,   214.54
-2.0,     1.13,     0.43,     0.14,     0.13,   989.23,   212.69
-1.0,     1.25,     0.31,     0.07,     0.12,  1068.89,   138.44
 0.0,     1.28,     0.27,    -0.00,     0.12,  1082.88,   117.06
 1.0,     1.24,     0.32,    -0.07,     0.12,  1062.47,   143.99
 2.0,     1.11,     0.44,    -0.14,     0.13,   976.56,   218.43
 3.0,     0.91,     0.54,    -0.19,     0.14,   830.67,   284.43
 4.0,     0.74,     0.56,    -0.20,     0.14,   700.32,   312.36
 5.0,     0.64,     0.53,    -0.19,     0.15,   619.22,   319.01
 6.0,     0.59,     0.49,    -0.18,     0.17,   576.14,   317.36
 7.0,     0.56,     0.44,    -0.18,     0.19,   553.59,   312.61
 8.0,     0.53,     0.42,    -0.17,     0.22,   536.19,   308.33
 9.0,     0.48,     0.40,    -0.16,     0.25,   519.02,   308.20
10.0,     0.44,     0.39,    -0.16,     0.28,   505.77,   311.81
11.0,     0.40,     0.37,    -0.17,     0.29,   500.81,   315.81
12.0,     0.35,     0.35,    -0.17,     0.29,   490.57,   309.65
12.0,     0.35,     0.35,    -0.17,     0.29,   489.71,   308.88
13.0,     0.26,     0.30,    -0.17,     0.27,   453.78,   274.81
14.0,     0.15,     0.22,    -0.18,     0.25,   397.26,   210.59
15.0,     0.06,     0.15,    -0.19,     0.21,   346.89,   135.32
15.0,     0.06,     0.15,    -0.19,     0.21,   345.55,   133.07
16.0,     0.02,     0.12,    -0.19,     0.18,   316.26,    67.30
17.0,     0.01,     0.10,    -0.18,     0.15,   303.80,    21.38
17.9,     0.00,     0.09,    -0.18,     0.13,   301.18,     7.33
18.0,     0.00,     0.09,    -0.17,     0.13,   300.93,     3.87
19.0,     0.00,     0.08,    -0.16,     0.11,   300.55,     0.47
20.0,     0.01,     0.07,    -0.16,     0.10,   300.50,     0.05
