z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.03,     0.08,     0.00,     0.10,   779.48,   106.96
 2.0,     0.18,     0.11,     0.00,     0.12,   942.33,    94.06
 3.0,     0.37,     0.12,    -0.00,     0.12,  1003.54,    96.39
 4.0,     0.55,     0.12,    -0.00,     0.11,  1033.29,    98.05
 5.0,     0.75,     0.15,    -0.00,     0.11,  1051.46,   101.91
 6.0,     0.93,     0.18,    -0.00,     0.11,  1064.17,   106.75
 7.0,     1.11,     0.23,    -0.00,     0.12,  1074.24,   111.91
 8.0,     1.28,     0.27,    -0.00,     0.12,  1082.88,   117.06
 9.0,     1.43,     0.32,     0.00,     0.12,  1090.84,   122.07
10.0,     1.58,     0.36,     0.00,     0.12,  1098.28,   126.91
11.0,     1.72,     0.41,     0.00,     0.13,  1105.40,   131.60
12.0,     1.84,     0.45,     0.00,     0.13,  1112.25,   136.43
13.0,     1.96,     0.48,     0.00,     0.14,  1118.77,   141.46
14.0,     2.07,     0.52,     0.00,     0.14,  1124.96,   146.49
15.0,     2.17,     0.55,    -0.00,     0.15,  1130.73,   151.41
16.0,     2.27,     0.59,    -0.00,     0.15,  1135.89,   156.22
17.0,     2.36,     0.62,    -0.00,     0.16,  1140.28,   160.98
18.0,     2.45,     0.65,    -0.00,     0.16,  1143.77,   165.75
19.0,     2.53,     0.68,    -0.00,     0.17,  1146.32,   170.72
20.0,     2.61,     0.70,    -0.00,     0.17,  1147.85,   176.03
21.0,     2.68,     0.73,    -0.00,     0.18,  1148.42,   181.64
22.0,     2.75,     0.76,    -0.01,     0.18,  1148.04,   187.53
23.0,     2.81,     0.78,    -0.01,     0.19,  1146.77,   193.61
24.0,     2.87,     0.81,    -0.01,     0.20,  1144.76,   199.53
25.0,     2.93,     0.83,    -0.01,     0.20,  1142.07,   205.21
26.0,     2.99,     0.86,    -0.01,     0.21,  1138.69,   210.72
27.0,     3.04,     0.88,    -0.01,     0.22,  1134.66,   216.19
28.0,     3.09,     0.90,    -0.01,     0.22,  1129.94,   221.71
29.0,     3.14,     0.93,    -0.01,     0.23,  1124.58,   227.26
30.0,     3.18,     0.95,    -0.01,     0.23,  1118.66,   232.89
31.0,     3.23,     0.97,    -0.01,     0.24,  1112.25,   238.55
32.0,     3.27,     1.00,    -0.01,     0.24,  1105.41,   244.23
