r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.47,     0.37,     0.37,     0.20,   960.04,   369.62
-4.5,     0.48,     0.36,     0.37,     0.19,  1004.51,   347.21
-4.0,     0.49,     0.34,     0.37,     0.18,  1044.62,   316.75
-3.5,     0.50,     0.32,     0.36,     0.16,  1074.91,   280.34
-3.0,     0.51,     0.28,     0.33,     0.14,  1087.04,   243.08
-2.5,     0.50,     0.24,     0.28,     0.13,  1075.69,   214.90
-2.1,     0.48,     0.21,     0.23,     0.13,  1052.18,   204.67
-2.0,     0.48,     0.20,     0.22,     0.13,  1045.19,   201.53
-1.5,     0.45,     0.18,     0.16,     0.12,  1006.08,   196.61
-1.0,     0.42,     0.17,     0.11,     0.11,   969.25,   191.73
-0.5,     0.40,     0.17,     0.07,     0.10,   941.85,   183.47
 0.0,     0.39,     0.17,     0.02,     0.10,   926.64,   175.33
 0.5,     0.39,     0.16,    -0.04,     0.10,   928.42,   173.11
 1.0,     0.42,     0.16,    -0.09,     0.11,   952.43,   178.24
 1.5,     0.45,     0.16,    -0.14,     0.12,   996.30,   186.82
 2.0,     0.49,     0.18,    -0.21,     0.13,  1047.05,   193.58
 2.5,     0.51,     0.21,    -0.27,     0.14,  1086.90,   203.33
 3.0,     0.52,     0.26,    -0.32,     0.15,  1102.65,   226.73
 3.5,     0.52,     0.30,    -0.35,     0.16,  1092.41,   261.34
 4.0,     0.51,     0.33,    -0.37,     0.18,  1062.93,   297.70
 4.5,     0.50,     0.35,    -0.37,     0.19,  1021.29,   331.17
 5.0,     0.48,     0.36,    -0.37,     0.20,   972.76,   358.04
 5.5,     0.46,     0.36,    -0.36,     0.20,   921.44,   375.66
 6.0,     0.45,     0.36,    -0.35,     0.20,   870.62,   384.95
 6.5,     0.44,     0.36,    -0.34,     0.20,   823.82,   388.47
 7.0,     0.43,     0.35,    -0.34,     0.19,   783.68,   388.73
 7.5,     0.42,     0.34,    -0.33,     0.19,   749.40,   387.94
 8.0,     0.42,     0.33,    -0.33,     0.18,   719.89,   387.82
 8.5,     0.41,     0.32,    -0.32,     0.17,   694.29,   388.70
 9.0,     0.40,     0.32,    -0.31,     0.17,   670.63,   390.37
 9.5,     0.38,     0.31,    -0.31,     0.17,   646.72,   391.74
10.0,     0.35,     0.30,    -0.30,     0.16,   621.09,   391.92
10.5,     0.32,     0.30,    -0.29,     0.16,   593.02,   388.51
11.0,     0.28,     0.28,    -0.28,     0.16,   560.51,   378.31
11.5,     0.24,     0.27,    -0.27,     0.16,   522.56,   359.38
12.0,     0.19,     0.25,    -0.26,     0.16,   480.50,   330.35
12.5,     0.15,     0.22,    -0.25,     0.15,   436.14,   290.42
13.0,     0.10,     0.19,    -0.24,     0.15,   392.90,   239.72
13.5,     0.07,     0.15,    -0.23,     0.14,   355.35,   181.76
14.0,     0.05,     0.11,    -0.22,     0.13,   328.00,   124.06
14.5,     0.03,     0.08,    -0.21,     0.12,   312.07,    73.40
15.0,     0.03,     0.07,    -0.20,     0.11,   304.42,    34.13
15.5,     0.03,     0.06,    -0.19,     0.10,   301.55,    11.58
16.0,     0.03,     0.05,    -0.18,     0.09,   300.78,     2.72
16.5,     0.03,     0.05,    -0.17,     0.08,   300.62,     0.43
17.0,     0.03,     0.04,    -0.16,     0.08,   300.59,     0.08
18.0,     0.02,     0.03,    -0.15,     0.07,   300.56,     0.04
19.0,     0.02,     0.03,    -0.14,     0.06,   300.53,     0.03
20.0,     0.02,     0.02,    -0.14,     0.06,   300.50,     0.03
