r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.60,     0.72,     0.00,     0.34,   564.58,   325.18
-4.5,     1.73,     0.78,    -0.01,     0.33,   597.24,   343.20
-4.1,     1.86,     0.84,    -0.01,     0.33,   635.59,   360.37
-4.0,     1.89,     0.85,    -0.02,     0.33,   642.88,   363.55
-3.5,     2.07,     0.92,    -0.02,     0.33,   705.27,   383.83
-3.0,     2.29,     1.00,    -0.02,     0.33,   784.92,   399.16
-2.5,     2.52,     1.06,    -0.02,     0.33,   878.63,   404.40
-2.0,     2.76,     1.11,    -0.02,     0.33,   975.47,   395.93
-1.5,     2.96,     1.12,    -0.01,     0.33,  1058.52,   375.02
-1.0,     3.11,     1.10,    -0.01,     0.33,  1116.48,   349.74
-0.5,     3.18,     1.08,    -0.01,     0.33,  1146.47,   331.32
 0.0,     3.19,     1.07,    -0.00,     0.33,  1152.42,   325.78
 0.5,     3.16,     1.07,     0.00,     0.33,  1138.97,   333.35
 1.0,     3.08,     1.08,     0.01,     0.34,  1104.97,   353.04
 1.5,     2.93,     1.08,     0.02,     0.35,  1046.61,   378.35
 2.0,     2.74,     1.06,     0.02,     0.35,   967.65,   398.13
 2.5,     2.53,     1.01,     0.03,     0.36,   881.49,   407.38
 3.0,     2.31,     0.96,     0.03,     0.36,   800.97,   407.27
 3.5,     2.12,     0.91,     0.02,     0.36,   732.22,   399.70
 4.0,     1.94,     0.85,     0.02,     0.36,   675.28,   386.72
 4.5,     1.79,     0.79,     0.01,     0.36,   630.37,   371.34
 5.0,     1.67,     0.74,    -0.00,     0.36,   597.64,   356.52
 5.5,     1.57,     0.69,    -0.01,     0.36,   574.28,   343.31
 6.0,     1.47,     0.65,    -0.02,     0.36,   556.92,   331.87
 6.5,     1.39,     0.62,    -0.03,     0.36,   543.55,   321.45
 7.0,     1.32,     0.59,    -0.04,     0.36,   533.35,   311.80
 7.5,     1.25,     0.58,    -0.04,     0.36,   526.32,   303.53
 8.0,     1.18,     0.57,    -0.05,     0.36,   521.72,   296.69
 8.5,     1.12,     0.56,    -0.06,     0.36,   517.41,   289.96
 9.0,     1.06,     0.55,    -0.06,     0.36,   511.74,   282.22
 9.5,     1.00,     0.54,    -0.07,     0.36,   504.82,   273.78
10.0,     0.94,     0.53,    -0.07,     0.36,   497.14,   264.59
10.5,     0.89,     0.52,    -0.07,     0.36,   488.66,   254.75
11.0,     0.83,     0.51,    -0.07,     0.36,   479.64,   244.92
11.5,     0.78,     0.50,    -0.08,     0.36,   470.67,   236.13
12.0,     0.73,     0.49,    -0.08,     0.35,   462.38,   228.84
12.5,     0.69,     0.48,    -0.08,     0.35,   454.46,   221.88
13.0,     0.64,     0.46,    -0.09,     0.34,   445.87,   214.03
13.5,     0.60,     0.45,    -0.09,     0.34,   436.79,   205.95
14.0,     0.56,     0.44,    -0.09,     0.33,   428.19,   198.99
14.5,     0.52,     0.43,    -0.09,     0.32,   420.51,   193.23
15.0,     0.49,     0.42,    -0.09,     0.32,   412.89,   187.54
15.5,     0.45,     0.41,    -0.10,     0.31,   404.49,   180.92
16.0,     0.42,     0.40,    -0.10,     0.31,   395.95,   173.63
16.5,     0.39,     0.40,    -0.10,     0.30,   387.71,   165.29
17.0,     0.36,     0.39,    -0.10,     0.29,   379.51,   154.56
18.0,     0.30,     0.37,    -0.10,     0.28,   364.31,   133.79
19.0,     0.24,     0.34,    -0.10,     0.26,   350.79,   115.92
20.0,     0.19,     0.30,    -0.10,     0.23,   338.57,    95.96
