r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.10,     0.66,     0.05,     0.27,   626.45,   355.36
-4.5,     1.21,     0.71,     0.05,     0.26,   675.43,   372.68
-4.0,     1.34,     0.75,     0.06,     0.25,   738.21,   387.87
-4.0,     1.34,     0.75,     0.06,     0.25,   741.01,   388.54
-3.5,     1.49,     0.79,     0.07,     0.23,   824.58,   396.77
-3.0,     1.65,     0.82,     0.09,     0.22,   926.06,   391.07
-2.5,     1.82,     0.80,     0.10,     0.22,  1037.05,   363.05
-2.0,     1.98,     0.75,     0.10,     0.20,  1135.77,   308.55
-1.5,     2.08,     0.66,     0.08,     0.19,  1196.42,   242.60
-1.0,     2.12,     0.58,     0.06,     0.18,  1209.63,   197.38
-0.5,     2.12,     0.53,     0.03,     0.17,  1195.24,   184.22
 0.0,     2.11,     0.52,     0.01,     0.16,  1182.85,   182.88
 0.5,     2.11,     0.54,    -0.01,     0.17,  1186.61,   182.78
 1.0,     2.12,     0.57,    -0.04,     0.19,  1200.80,   193.89
 1.5,     2.09,     0.64,    -0.07,     0.20,  1199.16,   235.01
 2.0,     2.01,     0.72,    -0.08,     0.21,  1154.34,   298.71
 2.5,     1.87,     0.77,    -0.08,     0.22,  1065.78,   356.42
 3.0,     1.70,     0.79,    -0.07,     0.23,   958.64,   390.69
 3.5,     1.54,     0.77,    -0.06,     0.24,   857.70,   402.53
 4.0,     1.39,     0.74,    -0.05,     0.25,   772.63,   399.57
 4.0,     1.39,     0.74,    -0.05,     0.26,   769.75,   399.10
 4.5,     1.26,     0.71,    -0.05,     0.27,   705.02,   388.58
 5.0,     1.15,     0.67,    -0.05,     0.28,   653.03,   374.20
 5.5,     1.05,     0.62,    -0.06,     0.30,   613.47,   358.58
 6.0,     0.97,     0.58,    -0.07,     0.31,   585.36,   346.33
 6.5,     0.91,     0.54,    -0.07,     0.33,   567.91,   340.37
 7.0,     0.86,     0.51,    -0.07,     0.34,   558.56,   339.28
 7.5,     0.82,     0.49,    -0.08,     0.35,   554.86,   341.31
 7.9,     0.79,     0.47,    -0.08,     0.36,   554.40,   344.22
 8.0,     0.79,     0.46,    -0.08,     0.36,   554.32,   344.71
 8.5,     0.76,     0.45,    -0.08,     0.37,   555.95,   349.13
 9.0,     0.73,     0.44,    -0.08,     0.39,   558.44,   354.06
 9.5,     0.70,     0.43,    -0.08,     0.39,   559.24,   357.54
10.0,     0.66,     0.43,    -0.08,     0.40,   557.67,   359.12
10.5,     0.63,     0.42,    -0.08,     0.40,   553.62,   359.18
11.0,     0.59,     0.41,    -0.08,     0.40,   547.30,   357.19
11.5,     0.55,     0.40,    -0.08,     0.40,   539.16,   353.22
12.0,     0.50,     0.39,    -0.09,     0.40,   528.60,   347.61
12.5,     0.46,     0.38,    -0.09,     0.39,   515.64,   340.58
13.0,     0.41,     0.37,    -0.10,     0.38,   500.53,   331.66
13.5,     0.37,     0.36,    -0.11,     0.36,   483.30,   320.54
14.0,     0.32,     0.34,    -0.12,     0.35,   464.58,   307.15
14.5,     0.27,     0.32,    -0.13,     0.33,   444.83,   290.63
15.0,     0.23,     0.30,    -0.13,     0.31,   424.26,   270.50
15.5,     0.19,     0.27,    -0.14,     0.30,   403.75,   247.47
16.0,     0.16,     0.25,    -0.15,     0.28,   384.34,   221.95
16.1,     0.15,     0.24,    -0.15,     0.27,   381.66,   217.87
16.5,     0.13,     0.22,    -0.15,     0.25,   366.03,   192.36
17.0,     0.10,     0.19,    -0.15,     0.23,   349.31,   158.55
18.0,     0.06,     0.14,    -0.16,     0.18,   324.26,    94.79
19.0,     0.03,     0.11,    -0.16,     0.15,   309.69,    47.52
19.9,     0.02,     0.09,    -0.15,     0.13,   303.97,    21.83
20.0,     0.02,     0.09,    -0.15,     0.13,   303.52,    18.34
