r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.12,     0.72,     0.05,     0.25,   529.43,   317.32
-4.0,     1.31,     0.81,     0.05,     0.23,   596.58,   333.87
-3.0,     1.63,     0.89,     0.05,     0.21,   724.26,   335.74
-2.0,     2.08,     0.90,     0.04,     0.19,   925.75,   301.05
-1.0,     2.45,     0.83,     0.01,     0.18,  1092.24,   239.81
 0.0,     2.57,     0.78,    -0.01,     0.18,  1144.55,   207.25
 1.0,     2.44,     0.83,    -0.02,     0.18,  1086.85,   240.04
 2.0,     2.06,     0.91,    -0.04,     0.19,   914.02,   303.83
 3.0,     1.62,     0.90,    -0.05,     0.21,   717.04,   333.68
 4.0,     1.30,     0.82,    -0.04,     0.22,   588.92,   326.86
 5.0,     1.10,     0.73,    -0.05,     0.25,   522.35,   310.19
 6.0,     0.97,     0.66,    -0.06,     0.28,   489.49,   294.48
 7.0,     0.89,     0.60,    -0.06,     0.30,   477.32,   286.37
 8.0,     0.81,     0.56,    -0.07,     0.32,   475.19,   282.03
 9.0,     0.76,     0.54,    -0.08,     0.34,   479.33,   282.44
10.0,     0.71,     0.52,    -0.08,     0.35,   486.20,   287.96
11.0,     0.66,     0.49,    -0.09,     0.36,   489.05,   290.83
12.0,     0.61,     0.47,    -0.09,     0.37,   489.20,   291.54
13.0,     0.56,     0.46,    -0.09,     0.38,   487.63,   293.37
14.0,     0.50,     0.45,    -0.09,     0.38,   480.18,   292.14
15.0,     0.44,     0.43,    -0.09,     0.37,   464.90,   283.68
16.0,     0.36,     0.40,    -0.10,     0.36,   442.81,   265.58
17.0,     0.28,     0.36,    -0.11,     0.34,   415.79,   237.43
18.0,     0.20,     0.30,    -0.12,     0.30,   385.72,   199.87
19.0,     0.13,     0.24,    -0.14,     0.26,   354.50,   150.68
20.0,     0.07,     0.18,    -0.15,     0.22,   329.50,   100.03
