r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.99,     0.70,     0.07,     0.23,   543.52,   320.11
-4.0,     1.17,     0.79,     0.07,     0.20,   613.03,   333.26
-3.0,     1.45,     0.85,     0.07,     0.18,   742.98,   331.35
-3.0,     1.45,     0.85,     0.07,     0.18,   745.51,   331.32
-2.0,     1.85,     0.81,     0.06,     0.17,   946.54,   288.89
-1.0,     2.16,     0.70,     0.03,     0.16,  1101.14,   218.35
 0.0,     2.26,     0.64,    -0.00,     0.16,  1145.78,   184.13
 1.0,     2.16,     0.70,    -0.03,     0.16,  1097.99,   218.79
 2.0,     1.84,     0.82,    -0.06,     0.17,   937.21,   290.59
 3.0,     1.45,     0.86,    -0.07,     0.18,   739.96,   329.32
 4.0,     1.16,     0.80,    -0.06,     0.19,   606.77,   327.41
 5.0,     0.98,     0.71,    -0.06,     0.22,   536.46,   314.49
 6.0,     0.86,     0.63,    -0.07,     0.26,   501.88,   303.44
 7.0,     0.79,     0.57,    -0.08,     0.29,   489.56,   300.46
 8.0,     0.73,     0.54,    -0.08,     0.32,   488.81,   301.47
 8.0,     0.73,     0.54,    -0.08,     0.32,   489.02,   301.65
 9.0,     0.68,     0.51,    -0.09,     0.34,   494.42,   306.26
10.0,     0.65,     0.49,    -0.09,     0.36,   503.79,   314.33
11.0,     0.62,     0.46,    -0.09,     0.37,   511.44,   322.99
12.0,     0.58,     0.45,    -0.09,     0.38,   516.36,   331.44
12.0,     0.58,     0.45,    -0.09,     0.38,   516.56,   331.77
13.0,     0.53,     0.45,    -0.09,     0.39,   517.28,   338.50
14.0,     0.46,     0.43,    -0.10,     0.38,   505.19,   335.11
14.0,     0.45,     0.43,    -0.10,     0.38,   504.09,   334.33
15.0,     0.37,     0.39,    -0.11,     0.37,   476.46,   313.91
16.0,     0.27,     0.33,    -0.13,     0.33,   436.09,   275.12
17.0,     0.18,     0.27,    -0.15,     0.29,   393.31,   223.25
18.0,     0.11,     0.20,    -0.16,     0.25,   356.55,   164.17
18.0,     0.10,     0.20,    -0.16,     0.25,   355.09,   161.38
19.0,     0.05,     0.15,    -0.16,     0.21,   325.80,    95.97
20.0,     0.02,     0.13,    -0.16,     0.18,   310.21,    45.94
