r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.74,     0.59,     0.14,     0.16,   582.36,   313.74
-4.0,     0.88,     0.64,     0.15,     0.15,   666.76,   313.15
-3.0,     1.11,     0.63,     0.15,     0.14,   817.95,   291.50
-2.0,     1.39,     0.53,     0.12,     0.13,   992.52,   227.04
-1.0,     1.55,     0.40,     0.06,     0.12,  1088.90,   147.86
 0.0,     1.59,     0.36,     0.00,     0.12,  1104.07,   121.43
 1.0,     1.54,     0.41,    -0.06,     0.13,  1079.86,   152.77
 2.0,     1.37,     0.53,    -0.12,     0.13,   982.63,   233.62
 3.0,     1.11,     0.63,    -0.15,     0.14,   819.46,   297.40
 4.0,     0.89,     0.63,    -0.15,     0.15,   675.58,   318.75
 5.0,     0.75,     0.59,    -0.14,     0.16,   591.92,   319.74
 6.0,     0.68,     0.53,    -0.14,     0.18,   548.79,   310.06
 7.0,     0.63,     0.47,    -0.13,     0.22,   524.40,   295.89
 8.0,     0.58,     0.44,    -0.13,     0.25,   507.01,   287.71
 9.0,     0.51,     0.42,    -0.13,     0.29,   492.57,   288.43
10.0,     0.47,     0.41,    -0.13,     0.32,   488.35,   300.04
11.0,     0.45,     0.40,    -0.13,     0.33,   494.85,   315.98
12.0,     0.41,     0.39,    -0.13,     0.33,   496.48,   321.38
13.0,     0.34,     0.35,    -0.14,     0.32,   477.08,   305.35
14.0,     0.23,     0.28,    -0.15,     0.29,   434.38,   262.34
15.0,     0.13,     0.20,    -0.17,     0.25,   382.05,   196.23
16.0,     0.06,     0.14,    -0.18,     0.21,   338.36,   121.50
17.0,     0.02,     0.12,    -0.18,     0.18,   313.09,    57.90
18.0,     0.01,     0.11,    -0.18,     0.15,   303.34,    19.83
18.3,     0.01,     0.11,    -0.17,     0.15,   302.60,    16.63
19.0,     0.00,     0.10,    -0.17,     0.13,   300.94,     3.86
20.0,     0.00,     0.09,    -0.16,     0.12,   300.57,     0.59
