r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.30,     0.70,     0.01,     0.31,   592.99,   347.76
-4.5,     1.42,     0.75,     0.01,     0.30,   632.82,   365.08
-4.0,     1.57,     0.80,     0.01,     0.29,   689.26,   382.95
-3.5,     1.74,     0.86,     0.01,     0.28,   764.33,   397.26
-3.0,     1.94,     0.91,     0.02,     0.27,   859.29,   401.82
-2.5,     2.16,     0.95,     0.03,     0.26,   968.66,   389.68
-2.1,     2.33,     0.94,     0.04,     0.25,  1054.79,   362.08
-2.0,     2.37,     0.94,     0.04,     0.25,  1075.58,   355.10
-1.5,     2.54,     0.89,     0.03,     0.25,  1160.65,   301.79
-1.0,     2.64,     0.82,     0.02,     0.24,  1211.21,   248.72
-0.5,     2.69,     0.76,     0.01,     0.23,  1229.42,   217.16
 0.0,     2.70,     0.74,     0.01,     0.23,  1231.36,   208.79
 0.5,     2.69,     0.75,    -0.00,     0.23,  1228.19,   216.16
 1.0,     2.66,     0.80,    -0.01,     0.24,  1215.97,   244.76
 1.5,     2.56,     0.85,    -0.02,     0.26,  1175.29,   295.42
 2.0,     2.40,     0.89,    -0.02,     0.27,  1093.29,   350.34
 2.5,     2.20,     0.90,    -0.01,     0.28,   987.30,   390.72
 3.0,     1.99,     0.88,    -0.01,     0.29,   883.51,   409.97
 3.5,     1.80,     0.84,     0.00,     0.30,   794.63,   411.37
 4.0,     1.63,     0.79,     0.00,     0.31,   721.90,   401.59
 4.5,     1.48,     0.75,    -0.00,     0.32,   664.65,   386.60
 5.0,     1.36,     0.69,    -0.01,     0.33,   622.01,   369.99
 5.5,     1.25,     0.65,    -0.03,     0.34,   591.19,   354.84
 6.0,     1.17,     0.60,    -0.04,     0.34,   570.57,   343.75
 6.5,     1.10,     0.57,    -0.04,     0.35,   558.41,   337.09
 7.0,     1.04,     0.55,    -0.05,     0.36,   550.85,   332.70
 7.5,     0.98,     0.53,    -0.06,     0.36,   545.31,   328.41
 8.0,     0.93,     0.51,    -0.06,     0.37,   542.24,   325.27
 8.5,     0.89,     0.49,    -0.07,     0.37,   541.83,   324.25
 9.0,     0.85,     0.48,    -0.07,     0.38,   541.77,   323.91
 9.5,     0.80,     0.47,    -0.07,     0.38,   540.67,   323.04
10.0,     0.76,     0.46,    -0.07,     0.39,   538.87,   321.59
10.5,     0.72,     0.45,    -0.07,     0.39,   535.97,   319.16
11.0,     0.68,     0.44,    -0.07,     0.39,   530.99,   315.08
11.5,     0.64,     0.43,    -0.07,     0.39,   523.69,   309.76
12.0,     0.60,     0.43,    -0.08,     0.39,   515.37,   304.06
12.5,     0.57,     0.42,    -0.08,     0.39,   506.19,   297.69
13.0,     0.53,     0.41,    -0.08,     0.39,   494.88,   288.98
13.5,     0.49,     0.40,    -0.08,     0.38,   481.17,   278.11
14.0,     0.46,     0.40,    -0.09,     0.37,   466.96,   267.76
14.1,     0.45,     0.40,    -0.09,     0.37,   464.38,   265.94
14.5,     0.42,     0.39,    -0.09,     0.36,   453.65,   258.29
15.0,     0.38,     0.38,    -0.09,     0.35,   440.49,   248.43
15.5,     0.35,     0.37,    -0.10,     0.34,   427.31,   237.64
16.0,     0.31,     0.36,    -0.10,     0.33,   414.14,   224.84
16.5,     0.27,     0.34,    -0.11,     0.31,   400.02,   208.57
17.0,     0.24,     0.32,    -0.11,     0.30,   384.82,   188.27
18.0,     0.17,     0.27,    -0.12,     0.26,   359.38,   150.85
18.0,     0.17,     0.27,    -0.12,     0.26,   358.27,   149.01
19.0,     0.11,     0.22,    -0.13,     0.22,   337.99,   115.44
20.0,     0.07,     0.16,    -0.13,     0.19,   322.57,    81.92
