r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.12,     0.66,     0.11,     0.19,   664.94,   270.70
-3.0,     1.52,     0.61,     0.08,     0.17,   835.17,   241.41
-1.0,     1.79,     0.51,     0.03,     0.17,   959.48,   185.10
 1.0,     1.78,     0.52,    -0.04,     0.17,   954.75,   186.56
 3.0,     1.50,     0.62,    -0.09,     0.18,   825.65,   243.30
 5.0,     1.09,     0.66,    -0.11,     0.19,   653.44,   267.03
 7.0,     0.76,     0.60,    -0.12,     0.20,   521.66,   244.57
 9.0,     0.53,     0.51,    -0.13,     0.21,   450.74,   209.49
11.0,     0.36,     0.42,    -0.14,     0.22,   407.46,   176.43
13.0,     0.20,     0.33,    -0.14,     0.21,   370.95,   139.27
15.0,     0.08,     0.21,    -0.13,     0.18,   335.50,    90.07
17.0,     0.01,     0.12,    -0.13,     0.14,   310.13,    38.07
19.0,    -0.00,     0.09,    -0.12,     0.11,   301.57,     8.44
21.0,    -0.00,     0.07,    -0.11,     0.08,   300.30,     0.93
