r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.06,     0.69,     0.05,     0.23,   539.51,   320.94
-4.0,     1.26,     0.77,     0.05,     0.21,   618.27,   339.05
-3.0,     1.62,     0.82,     0.06,     0.20,   768.02,   329.31
-2.0,     2.06,     0.78,     0.05,     0.18,   972.39,   269.69
-1.0,     2.37,     0.69,     0.02,     0.17,  1112.02,   192.13
 0.0,     2.45,     0.65,    -0.00,     0.16,  1143.77,   165.75
 1.0,     2.35,     0.69,    -0.03,     0.17,  1104.49,   198.84
 2.0,     2.02,     0.79,    -0.06,     0.18,   956.42,   276.30
 3.0,     1.59,     0.83,    -0.07,     0.20,   755.08,   329.53
 4.0,     1.25,     0.78,    -0.05,     0.21,   614.03,   337.06
 5.0,     1.06,     0.70,    -0.05,     0.23,   540.06,   323.52
 6.0,     0.95,     0.63,    -0.05,     0.26,   503.35,   300.77
 7.0,     0.86,     0.57,    -0.06,     0.28,   483.74,   278.38
 8.0,     0.76,     0.53,    -0.07,     0.29,   470.85,   260.79
 9.0,     0.66,     0.49,    -0.08,     0.30,   459.97,   247.48
10.0,     0.58,     0.46,    -0.08,     0.31,   452.93,   241.79
11.0,     0.52,     0.44,    -0.08,     0.33,   450.67,   242.98
12.0,     0.48,     0.44,    -0.08,     0.34,   448.41,   244.55
13.0,     0.44,     0.43,    -0.08,     0.34,   442.65,   243.41
14.0,     0.38,     0.42,    -0.09,     0.33,   430.73,   236.81
15.0,     0.31,     0.38,    -0.10,     0.32,   411.54,   222.17
16.0,     0.23,     0.33,    -0.11,     0.30,   387.76,   198.30
17.0,     0.15,     0.27,    -0.12,     0.27,   362.77,   165.79
18.0,     0.10,     0.20,    -0.14,     0.23,   340.12,   127.79
19.0,     0.05,     0.15,    -0.14,     0.20,   321.69,    86.09
20.0,     0.03,     0.13,    -0.14,     0.17,   310.14,    49.88
