Temperature (K),10,9,8,7,6,5,4,3,2,1,0
682.663,1.90E-04,3.40E-04,4.20E-04,7.40E-04,8.40E-04,9.70E-04,0.00103,8.40E-04,6.60E-04,5.80E-04,4.00E-04
692.965,2.20E-04,2.40E-04,4.00E-04,7.80E-04,8.50E-04,9.20E-04,0.00103,8.60E-04,6.60E-04,5.50E-04,4.20E-04
703.266,2.20E-04,1.90E-04,3.80E-04,6.80E-04,8.00E-04,8.50E-04,1.00E-03,8.80E-04,6.80E-04,5.90E-04,4.10E-04
713.568,2.00E-04,1.80E-04,3.30E-04,6.00E-04,8.00E-04,9.00E-04,9.50E-04,8.50E-04,7.00E-04,6.00E-04,4.10E-04
723.869,2.30E-04,2.00E-04,3.20E-04,5.30E-04,7.60E-04,8.90E-04,9.20E-04,8.00E-04,6.90E-04,6.20E-04,4.40E-04
734.171,2.10E-04,2.40E-04,3.00E-04,5.40E-04,7.30E-04,9.30E-04,8.80E-04,8.10E-04,6.70E-04,6.10E-04,4.60E-04
744.472,1.20E-04,1.90E-04,3.00E-04,5.00E-04,6.30E-04,8.40E-04,9.70E-04,8.00E-04,7.30E-04,6.20E-04,4.70E-04
754.774,1.00E-04,2.20E-04,3.10E-04,4.90E-04,5.80E-04,8.10E-04,9.10E-04,8.30E-04,7.00E-04,6.50E-04,4.60E-04
765.075,1.10E-04,2.00E-04,2.90E-04,5.00E-04,5.30E-04,7.30E-04,9.00E-04,8.20E-04,7.60E-04,6.50E-04,4.70E-04
775.377,1.00E-04,1.90E-04,3.00E-04,5.30E-04,5.90E-04,6.70E-04,8.60E-04,8.20E-04,7.60E-04,6.30E-04,5.00E-04
785.678,1.00E-04,2.20E-04,3.00E-04,5.00E-04,5.80E-04,7.00E-04,8.40E-04,7.70E-04,7.80E-04,6.70E-04,5.30E-04
795.98,1.40E-04,1.70E-04,2.80E-04,4.50E-04,6.10E-04,7.30E-04,8.40E-04,7.80E-04,7.60E-04,7.00E-04,5.50E-04
806.281,1.00E-04,1.60E-04,2.30E-04,5.10E-04,5.60E-04,7.70E-04,8.20E-04,7.80E-04,7.70E-04,7.10E-04,5.20E-04
816.583,8.00E-05,1.40E-04,2.40E-04,4.60E-04,4.90E-04,7.00E-04,7.80E-04,8.00E-04,7.60E-04,6.70E-04,5.60E-04
826.884,7.00E-05,1.60E-04,2.60E-04,3.90E-04,5.20E-04,7.30E-04,6.80E-04,9.00E-04,7.50E-04,6.50E-04,5.60E-04
837.186,8.00E-05,1.10E-04,2.50E-04,3.60E-04,4.70E-04,6.80E-04,6.90E-04,9.00E-04,7.90E-04,6.70E-04,5.60E-04
847.487,9.00E-05,1.10E-04,2.50E-04,3.50E-04,5.50E-04,6.90E-04,6.70E-04,8.80E-04,7.70E-04,6.70E-04,5.50E-04
857.789,1.30E-04,1.20E-04,2.70E-04,3.80E-04,5.10E-04,6.00E-04,7.00E-04,8.20E-04,7.50E-04,7.70E-04,5.50E-04
868.09,9.00E-05,1.20E-04,2.30E-04,4.40E-04,5.30E-04,6.00E-04,7.40E-04,8.30E-04,7.70E-04,7.50E-04,5.50E-04
878.392,1.00E-04,1.50E-04,2.50E-04,3.90E-04,5.30E-04,5.80E-04,7.40E-04,8.80E-04,7.30E-04,7.00E-04,5.80E-04
888.693,1.20E-04,1.50E-04,2.10E-04,4.20E-04,4.50E-04,5.80E-04,7.50E-04,8.10E-04,7.10E-04,7.00E-04,6.20E-04
898.995,7.00E-05,1.30E-04,2.10E-04,3.80E-04,4.30E-04,5.60E-04,7.20E-04,8.20E-04,7.10E-04,6.70E-04,6.50E-04
909.296,8.00E-05,1.50E-04,2.10E-04,3.40E-04,4.50E-04,5.90E-04,7.70E-04,7.80E-04,7.10E-04,7.00E-04,6.10E-04
919.598,5.00E-05,1.20E-04,1.70E-04,3.30E-04,3.50E-04,5.70E-04,7.30E-04,8.50E-04,7.80E-04,6.60E-04,5.60E-04
929.899,8.00E-05,9.00E-05,1.70E-04,3.30E-04,3.50E-04,5.20E-04,6.90E-04,8.30E-04,7.90E-04,6.90E-04,5.80E-04
940.201,5.00E-05,5.00E-05,1.70E-04,3.20E-04,3.40E-04,4.60E-04,6.70E-04,8.10E-04,8.10E-04,7.10E-04,6.10E-04
950.503,8.00E-05,6.00E-05,1.80E-04,2.80E-04,3.60E-04,4.50E-04,6.30E-04,7.60E-04,8.10E-04,6.80E-04,6.90E-04
