r_15.2_0.5D (cm),T_Mean_15.2_0.5D (K),T_Std_15.2_0.5D(K),r_15.2_1.0D (cm),T_Mean_15.2_1.0D (K),T_Std_15.2_1.0D(K),r_15.2_1.5D (cm),T_Mean_15.2_1.5D (K),T_Std_15.2_1.5D(K),r_15.2_2.0D (cm),T_Mean_15.2_2.0D (K),T_Std_15.2_2.0D(K),r_15.2_2.5D (cm),T_Mean_15.2_2.5D (K),T_Std_15.2_2.5D(K),r_15.2_3.0D (cm),T_Mean_15.2_3.0D (K),T_Std_15.2_3.0D(K),r_15.2_3.5D (cm),T_Mean_15.2_3.5D (K),T_Std_15.2_3.5D(K),r_16.8_0.5D (cm),T_Mean_16.8_0.5D (K),T_Std_16.8_0.5D(K),r_16.8_1.0D (cm),T_Mean_16.8_1.0D (K),T_Std_16.8_1.0D(K),r_16.8_1.5D (cm),T_Mean_16.8_1.5D (K),T_Std_16.8_1.5D(K),r_16.8_2.0D (cm),T_Mean_16.8_2.0D (K),T_Std_16.8_2.0D(K),r_16.8_2.5D (cm),T_Mean_16.8_2.5D (K),T_Std_16.8_2.5D(K),r_16.8_3.0D (cm),T_Mean_16.8_3.0D (K),T_Std_16.8_3.0D(K),r_16.8_3.5D (cm),T_Mean_16.8_3.5D (K),T_Std_16.8_3.5D(K),r_20.9_0.5D (cm),T_Mean_20.9_0.5D (K),T_Std_20.9_0.5D(K),r_20.9_1.0D (cm),T_Mean_20.9_1.0D (K),T_Std_20.9_1.0D(K),r_20.9_1.5D (cm),T_Mean_20.9_1.5D (K),T_Std_20.9_1.5D(K),r_20.9_2.0D (cm),T_Mean_20.9_2.0D (K),T_Std_20.9_2.0D(K),r_20.9_2.5D (cm),T_Mean_20.9_2.5D (K),T_Std_20.9_2.5D(K),r_20.9_3.0D (cm),T_Mean_20.9_3.0D (K),T_Std_20.9_3.0D(K),r_20.9_3.5D (cm),T_Mean_20.9_3.5D (K),T_Std_20.9_3.5D(K)
0,799.4,76,0.5,1110.4,54.7,0.5,1182.1,10.1,0.5,1191,14.9,0,1183.4,14.2,0.5,1095.2,21.6,0,924.2,35.8,0,842.5,168.5,0.5,1135.1,59.5,0.5,1221,15.9,0.5,1216.3,20.6,0.5,1106.4,25.8,0.5,1020.2,22.1,0,896.4,31.3,0,1027.5,,0.5,1262.6,39.1,0.5,1271.6,35.2,0.5,1261.2,,0,1184.4,,0.5,974.7,13,0,832.8,3.6
1,1048.6,140.1,1.5,1094.8,43.7,1.5,1127.4,12.3,1.5,1156.1,15.8,1,1129,35.1,1.5,1041.3,29.8,1,908.6,31.3,1,1086.1,144.4,1.5,1119.8,47.6,1.5,1126.2,35.7,1.5,1150.3,32.9,1.5,1084,59,1.5,987,59.7,1,888.2,24.5,1,1119.5,159,1.5,1221.4,16.7,1.5,1202.3,24,1.5,1189.8,2.6,1,1141.4,13.6,1.5,944.1,29.4,1,821.6,22.5
2,1151.3,30.2,2.5,966.9,37.4,2.5,1007.2,41.1,2.5,1073.2,18.5,2,1065.5,43.2,2.5,985.7,37.9,2,887.3,58.7,2,1227.6,25.7,2.5,988.3,51.7,2.5,1031.5,31.1,2.5,1049.4,38.4,2.5,988.6,57,2.5,930.9,33.9,2,863.4,14,2,1312.3,21.6,2.5,1026.8,83.3,2.5,1086.8,18.7,2.5,1106.2,25.4,2,1046.4,9.8,2.5,885.5,19.6,2,797.6,19.2
3,929.6,122.1,3.5,813.3,36.8,3.5,884,53.7,3.5,939.5,21.6,3,986.9,36.6,3.5,898.6,48.1,3,847.3,25.7,3,938.1,96.9,3.5,799.9,74.8,3.5,883.4,36.6,3.5,923.2,46.7,3.5,885.8,75.2,3.5,857.7,40,3,815.5,15,3,1053.6,90.4,3.5,880.3,2.4,3.5,924.8,48.3,3.5,930.1,6.8,3,960.6,7.7,3.5,808.9,54.5,3,753,23.9
4,621,46.8,4.5,696.4,71.7,4.5,770.5,39.3,4.5,809.6,26.3,4,886.4,51.7,4.5,809.5,41.3,4,784.5,42.9,4,620.2,72.2,4.5,669.3,86.6,4.5,745.8,53.2,4.5,797.2,56.3,4.5,804.4,63,4.5,773.9,33.7,4,741.3,26,4,642.6,37.2,4.5,734.8,34.4,4.5,793.8,44.3,4.5,793.7,12.2,4,866.3,7.5,4.5,736.5,31.7,4,683.7,3.1
5,412,30.3,5.5,549.3,28.9,5.5,654.1,29.4,5.5,696.5,41.9,5,754.6,48.8,5.5,724.9,51.7,5,709.5,38.3,5,423.7,48.1,5.5,507,76.1,5.5,643.1,68.9,5.5,691.2,47,5.5,720,49.2,5.5,698.9,33.2,5,692.2,23.7,5,457.8,23.2,5.5,591.8,38.5,5.5,676.8,31.7,5.5,680.7,40.1,5,757.6,18,5.5,651.8,33.8,5,632.3,17.8
6,322,10.5,6.5,417.6,24.4,6.5,579.7,37.6,6.5,596,26.1,6,646.5,35.5,6.5,621.5,37.8,6,638.9,20.3,6,335.6,26.6,6.5,426.3,107.5,6.5,529.4,14.2,6.5,586.4,43.3,6.5,623.2,36.4,6.5,642.3,27.9,6,632.9,43.1,6,354,2.6,6.5,488.6,102.6,6.5,574.5,33,6.5,620.2,56.4,6,638.8,7.7,6.5,604.2,23.8,6,577.6,14.7
7,301.9,8.8,7.5,346.4,23.5,7.5,494.5,28.3,7.5,518.1,23.8,7,573.7,29.3,7.5,541.2,23.7,7,586.1,8.2,7,307.6,2.8,7.5,358.3,67.6,7.5,447.1,26.1,7.5,500.9,16.5,7.5,532.4,34.6,7.5,543.7,33.3,7,566.1,48.2,7,304.3,12.8,7.5,376.6,80,7.5,500.8,46.7,7.5,506.6,,7,576.6,44,7.5,531.9,13.5,7,519.9,19.3
8,298.7,10.5,8.5,314.1,5.4,8.5,395.9,37.9,8.5,457.1,16.2,8,490,16.6,8.5,497.1,7.1,8,525.1,22.7,8,299.8,6.5,8.5,333.6,42.2,8.5,379.4,9.6,8.5,436.1,9.7,8.5,478.3,16,8.5,496,26.1,8,528.2,34.9,8,293.7,18.8,8.5,324.9,33.8,8.5,392.8,40.9,8.5,449.4,,8,493.9,2.9,8.5,495.3,19,8,480.8,21.1
9,296.9,13,9.5,301,10.2,9.5,338.6,14.3,9.5,383.8,21.5,9,424.8,15.6,9.5,434.6,41.3,9,483.1,5.8,9,298.7,8,9.5,311.4,2.9,9.5,335,2.1,9.5,391.1,1.1,9.5,422.5,5.9,9.5,452.3,17.2,9,473.8,34.1,9,292.8,18.4,9.5,310.2,18.1,9.5,357.4,34.4,9.5,388.2,,9,416.4,7.4,9.5,442,28.5,9,442.1,14.6
