m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,,,,
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,,,,,,,,,,,
-0.5,-0.070638121,-0.037100077,0.000409356,0.20436548,0.170023408,0.160072589,0.000119034,0.00029379,0.001054889,0.092642811,0.115454934,0.163319863,0.10853239,0.134029833,0.169822078,0.00205209,0.003086413,0.008982568,,,,,,,,,,,
-0.479591837,-0.073710782,-0.033294225,0.009402686,0.210914196,0.171152097,0.162391128,0.000573044,0.001068433,0.001678417,0.113866548,0.131761821,0.183663821,0.13307247,0.156919292,0.189835402,0.005242656,0.007403674,0.010519308,,,,,,,,,,,
-0.459183673,-0.069326825,-0.016586622,0.022681238,0.216521197,0.173217939,0.163781175,0.002192737,0.002553575,0.002641917,0.138513562,0.158342629,0.199511083,0.165697036,0.182125572,0.212589553,0.011098377,0.011531576,0.012826738,,,,,,,,,,,
-0.43877551,-0.040086787,0.020295972,0.042918593,0.21976899,0.17534009,0.165068836,0.007719184,0.005385197,0.004233902,0.17142332,0.198628905,0.219421406,0.207162807,0.21173902,0.239604881,0.022814154,0.01713127,0.016072971,,,,,,,,,,,
-0.418367347,0.021147594,0.073518657,0.080658316,0.225369627,0.179122795,0.163074879,0.016066844,0.008859831,0.006666139,0.215168507,0.25490548,0.246431749,0.246553991,0.241652477,0.271321224,0.034531256,0.022768004,0.019895263,,,,,,,,,,,
-0.397959184,0.103235,0.127958041,0.131390852,0.237578285,0.186322523,0.158740857,0.0254491,0.012187048,0.010155919,0.268008147,0.312587619,0.283174788,0.282345914,0.268083764,0.306592006,0.045006729,0.027371984,0.024671118,,,,,,,,,,,
-0.37755102,0.203622658,0.184172069,0.203986194,0.2637956,0.196948401,0.152428508,0.034782757,0.016005395,0.01461266,0.33620064,0.364885529,0.324533704,0.307788875,0.29220142,0.343889249,0.053512139,0.031861537,0.030187737,,,,,,,,,,,
-0.357142857,0.309902252,0.263374595,0.298474995,0.291966313,0.200986818,0.149207122,0.044369079,0.021316136,0.020245048,0.392956106,0.414539762,0.382555622,0.328828374,0.319649407,0.380148318,0.061443146,0.036990873,0.036324289,,,,,,,,,,,
-0.336734694,0.402856105,0.363151971,0.406018457,0.322950989,0.203422101,0.154230496,0.053291067,0.028168003,0.026847181,0.435183141,0.447295455,0.440516257,0.34339812,0.343228279,0.41024024,0.068749481,0.041961919,0.042894273,,,,,,,,,,,
-0.316326531,0.492582755,0.471568421,0.54323408,0.359008071,0.209366636,0.157734275,0.061722133,0.036206463,0.034491153,0.456670045,0.467383245,0.48903487,0.349754361,0.361980697,0.439847464,0.07350272,0.046358212,0.049580911,,,,,,,,,,,
-0.295918367,0.604374129,0.603402429,0.706272201,0.39690018,0.212674706,0.150172495,0.072051751,0.044704348,0.04222062,0.491920362,0.50007903,0.542151963,0.355043188,0.377590421,0.463509869,0.080786059,0.051697701,0.056079252,,,,,,,,,,,
-0.275510204,0.73265998,0.743991534,0.884112206,0.438480262,0.212981124,0.138733688,0.084547321,0.051970148,0.050032719,0.540032345,0.543696592,0.591327144,0.357673273,0.398723263,0.481736662,0.090955305,0.057872569,0.062553652,,,,,,,,,,,
-0.255102041,0.857330334,0.917383334,1.084619165,0.479150707,0.211755095,0.130698522,0.099557371,0.060377335,0.057656059,0.596737469,0.594069955,0.636556836,0.353806081,0.412985815,0.503662613,0.101960776,0.066538892,0.068143123,,,,,,,,,,,
-0.234693878,0.98832892,1.117040201,1.295972173,0.509882647,0.210054617,0.121665941,0.11954808,0.070325361,0.065101371,0.657021191,0.659137687,0.693044481,0.3568858,0.427563377,0.514234851,0.114204513,0.075757823,0.073087944,,,,,,,,,,,
-0.214285714,1.126788269,1.320765782,1.519021134,0.533458261,0.207033576,0.114177626,0.14674586,0.08174969,0.072333274,0.72587747,0.742191543,0.758581325,0.365927162,0.438357076,0.519301204,0.130201592,0.085159837,0.077655132,,,,,,,,,,,
