m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,,,,
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,,,,,,,,,,,
-0.5,-0.07192404,-0.043077302,-0.020782999,0.17272661,0.1311793,0.114516603,0.001013221,0.000715674,0.000516182,0.100973503,0.092153493,0.09855824,0.095338744,0.087181388,0.096245243,0.002997894,0.003137627,0.002294246,,,,,,,,,,,
-0.428571429,0.011685403,0.017680659,0.041898422,0.208644323,0.134995865,0.127969411,0.007857706,0.004041088,0.002950249,0.191963101,0.183490826,0.189700147,0.139135982,0.138000917,0.147958922,0.013840927,0.009002887,0.006946009,,,,,,,,,,,
-0.357142857,0.198470467,0.195785668,0.247233042,0.279697537,0.156034555,0.131299465,0.024002303,0.012371845,0.009870646,0.305554201,0.30531679,0.326203769,0.183813631,0.187562811,0.202561294,0.03020941,0.017073774,0.015061214,,,,,,,,,,,
-0.285714286,0.4982248,0.560991747,0.674885483,0.365092511,0.183246453,0.121899091,0.05773948,0.030572025,0.025753945,0.414372004,0.436076531,0.501874355,0.223999018,0.240858372,0.257282078,0.053885117,0.030754169,0.027863508,,,,,,,,,,,
-0.214285714,0.958148042,1.197939502,1.384899784,0.438616084,0.203480539,0.121394131,0.130076148,0.073717974,0.060596892,0.544872623,0.603848162,0.692254452,0.273041453,0.30719605,0.341388859,0.089713746,0.056488311,0.049046489,,,,,,,,,,,
-0.142857143,1.519172544,2.055300602,2.322748079,0.423527005,0.186006515,0.101872042,0.259939556,0.158971285,0.12394207,0.60970485,0.779569386,0.886892959,0.356438931,0.403462086,0.435889223,0.123901776,0.09156602,0.076230939,,,,,,,,,,,
-0.071428571,1.941060966,2.877544311,3.238963799,0.28868412,0.127757805,0.070083769,0.403459769,0.2691738,0.205099844,0.557025857,0.821738617,0.977821412,0.444095566,0.494344214,0.518981723,0.126937429,0.110205771,0.093338758,,,,,,,,,,,
0,2.121814675,3.332383932,3.802551085,0.002971109,0.016488241,0.020292331,0.480784027,0.342037925,0.261578088,0.490805225,0.78210533,0.957925006,0.490290364,0.545605008,0.554361755,0.110885552,0.108279479,0.096378056,,,,,,,,,,,
0.071428571,1.901406684,2.927628749,3.363267482,-0.275802144,-0.09941899,-0.038096578,0.403787778,0.280267279,0.216900108,0.534321819,0.783983656,0.920551536,0.421486092,0.472424373,0.504829842,0.116798376,0.104298753,0.089680852,,,,,,,,,,,
0.142857143,1.450977514,2.029829985,2.347400172,-0.415295999,-0.191457643,-0.106103169,0.257453492,0.162562406,0.127442966,0.599242994,0.749026008,0.834148094,0.328367684,0.358764455,0.405725741,0.115995382,0.087704923,0.071562872,,,,,,,,,,,
0.214285714,0.930918347,1.158285068,1.336636017,-0.435259192,-0.219756035,-0.13896554,0.129959354,0.072663347,0.058970145,0.566522079,0.63477163,0.685866022,0.266776123,0.276430984,0.304130965,0.090381129,0.057011028,0.04594345,,,,,,,,,,,
0.285714286,0.507272356,0.557791424,0.647547158,-0.368223947,-0.193912723,-0.139011218,0.060659884,0.03063987,0.024750085,0.431271685,0.449468405,0.489510991,0.222610916,0.222848405,0.234805511,0.056842246,0.031089428,0.024672575,,,,,,,,,,,
0.357142857,0.205679463,0.193265984,0.220177687,-0.286225882,-0.162896822,-0.131704474,0.026987128,0.012784998,0.009126201,0.30465207,0.295965288,0.305518126,0.180476558,0.173946495,0.173766873,0.033055719,0.017065384,0.012355314,,,,,,,,,,,
0.428571429,0.017322589,0.003027227,0.019705652,-0.211527182,-0.135022179,-0.123243507,0.008879027,0.003611623,0.002316327,0.191652053,0.160655473,0.158390744,0.135124608,0.123833858,0.121448419,0.014988387,0.007743739,0.005524527,,,,,,,,,,,
0.5,-0.068918501,-0.046489317,-0.030004726,-0.16977818,-0.124892231,-0.110640405,0.0010537,0.000340221,0.000269249,0.102447763,0.076689313,0.077843841,0.089985693,0.079795135,0.078683465,0.002665302,0.001348359,0.001416115,,,,,,,,,,,
