m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,,,,
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,,,,,,,,,,,
-0.5,-0.06355874,-0.033819925,-0.006548025,0.191663188,0.161871912,0.142712766,0.000538893,0.000316561,0.000930769,0.097845739,0.123785596,0.133051121,0.109296015,0.129576493,0.156739693,0.00495927,0.002893775,0.007170024,,,,,,,,,,,
-0.465517241,-0.05088618,-0.027262176,0.012261128,0.202143747,0.168065644,0.146101016,0.003124692,0.001129706,0.002482417,0.139881478,0.156891577,0.175574163,0.144827701,0.163727864,0.195607262,0.013955477,0.005662341,0.01281196,,,,,,,,,,,
-0.431034483,-0.014151197,0.000831866,0.05776442,0.220715434,0.172883189,0.148792805,0.007759501,0.003804772,0.005468597,0.182194103,0.186562494,0.234609931,0.181023888,0.205408902,0.238043746,0.021252048,0.011923919,0.019132988,,,,,,,,,,,
-0.396551724,0.053325336,0.074435437,0.141214043,0.25322291,0.176173183,0.149949568,0.016174801,0.009298542,0.010672911,0.23256589,0.249566726,0.304052585,0.216550765,0.252800287,0.283894322,0.029070433,0.02128321,0.025440235,,,,,,,,,,,
-0.362068966,0.174786235,0.202143412,0.296350594,0.286884268,0.171909164,0.147209227,0.02842011,0.017997849,0.01948138,0.312083788,0.333377214,0.385400487,0.256872056,0.299822236,0.331451212,0.039935962,0.031777151,0.034328907,,,,,,,,,,,
-0.327586207,0.353044337,0.39836089,0.526356815,0.326701314,0.174417644,0.130700234,0.044864426,0.030653942,0.030733794,0.399725547,0.420615623,0.490236869,0.288091469,0.338604825,0.377979978,0.055480509,0.044512751,0.043858804,,,,,,,,,,,
-0.293103448,0.55423115,0.641021471,0.79378395,0.376125716,0.178830502,0.119362932,0.066624197,0.044419226,0.041186343,0.489043218,0.512369208,0.591962057,0.29945858,0.370825866,0.419518363,0.077110452,0.056999612,0.05100045,,,,,,,,,,,
-0.25862069,0.786603991,0.916834408,1.06608718,0.417772496,0.180798949,0.112797914,0.093724613,0.058903324,0.051228588,0.58120311,0.598848794,0.682851482,0.309484699,0.40217738,0.444749663,0.098489366,0.069777791,0.05828041,,,,,,,,,,,
-0.224137931,1.023539002,1.203063909,1.361973536,0.465825303,0.17866243,0.108285867,0.133585288,0.075089337,0.062502815,0.663804917,0.703122269,0.762803249,0.324511495,0.42578073,0.45534938,0.121197368,0.083326109,0.067516048,,,,,,,,,,,
-0.189655172,1.225992299,1.502186985,1.696738379,0.491150736,0.18061587,0.105564118,0.175844842,0.097673795,0.077486037,0.737653765,0.816954823,0.831828377,0.350887378,0.431104285,0.460892741,0.135844393,0.09652314,0.078175877,,,,,,,,,,,
-0.155172414,1.406094043,1.873361165,2.08440907,0.486998722,0.186563705,0.103820845,0.22511032,0.132829993,0.100330163,0.785199621,0.91132993,0.938218553,0.365752019,0.429910401,0.463693606,0.143925155,0.107654133,0.090569501,,,,,,,,,,,
-0.120689655,1.54242656,2.263189773,2.526802438,0.441707737,0.175501683,0.095873211,0.282096307,0.177883293,0.13191236,0.784377261,1.016813004,1.096176353,0.375779487,0.433876524,0.471419939,0.147591935,0.118866798,0.103433247,,,,,,,,,,,
-0.086206897,1.666403284,2.601026717,2.961077421,0.372946995,0.146390344,0.077841549,0.337510092,0.226433118,0.169991264,0.749364854,1.121737128,1.265177938,0.394284222,0.427312418,0.475808017,0.144125363,0.126963184,0.113700076,,,,,,,,,,,
