m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,,,,
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,,,,,,,,,,,
-0.5,-0.008991312,0.076980853,0.165388298,0.221926921,0.181513751,0.159613159,0.016590923,0.006809253,0.00764131,0.240248636,0.306584901,0.347537901,0.172107022,0.199938905,0.222174075,0.014822252,0.010617738,0.010146809,,,,,,,,,,,
-0.388888889,0.203040594,0.380680246,0.502286634,0.275744515,0.184201713,0.144246429,0.054433317,0.026446454,0.021628868,0.32210152,0.432696513,0.505641133,0.226010565,0.262815808,0.285007052,0.033890533,0.027269307,0.021591294,,,,,,,,,,,
-0.277777778,0.457359239,0.753555483,0.915746677,0.310769951,0.176333825,0.114587314,0.10143797,0.053694143,0.041225125,0.400243077,0.547888544,0.647466481,0.274642528,0.322823156,0.351477241,0.048890256,0.040684017,0.031780905,,,,,,,,,,,
-0.166666667,0.739603955,1.193931465,1.411389969,0.227608437,0.135817868,0.082308179,0.15811599,0.092325942,0.069218311,0.445396062,0.596246508,0.703090985,0.362787366,0.414846771,0.44062901,0.059071151,0.050447458,0.040152519,,,,,,,,,,,
-0.055555556,0.914559414,1.469719253,1.71911463,0.101937413,0.067955689,0.037307831,0.193304185,0.116837627,0.087033405,0.472142001,0.630118222,0.744580873,0.40528585,0.462950326,0.48875564,0.064965774,0.055796662,0.044843288,,,,,,,,,,,
0.055555556,0.897513264,1.446998925,1.696514271,-0.108658789,-0.061725707,-0.037613162,0.191019613,0.115560264,0.086231509,0.476760326,0.631805122,0.748627444,0.401652147,0.457638912,0.481451582,0.065403237,0.055352864,0.044923019,,,,,,,,,,,
0.166666667,0.72820069,1.1817669,1.3913721,-0.241077379,-0.140136368,-0.090844812,0.156752019,0.092339346,0.0693258,0.450646857,0.60206166,0.717473277,0.356985575,0.408043524,0.431519179,0.059887752,0.049875308,0.04071911,,,,,,,,,,,
0.277777778,0.436079592,0.704400389,0.844146367,-0.309857861,-0.179072778,-0.127383635,0.098901806,0.051915616,0.039513353,0.413619545,0.560341118,0.664309541,0.265648491,0.299866988,0.319933627,0.050113351,0.039943627,0.032303395,,,,,,,,,,,
0.388888889,0.189314668,0.344869695,0.444667925,-0.277049324,-0.187227262,-0.154702581,0.054435864,0.026245052,0.020832429,0.34421212,0.45613026,0.525985077,0.218694474,0.239307442,0.255885153,0.035900474,0.028172028,0.023105413,,,,,,,,,,,
0.5,-0.01208255,0.056778041,0.112489646,-0.213017853,-0.178977164,-0.169595732,0.017126436,0.006253676,0.00625996,0.256454889,0.32798607,0.360346771,0.185196162,0.197551683,0.204371439,0.0156384,0.011458169,0.010537346,,,,,,,,,,,
