m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,,,,,,,,
-0.5,-0.030707985,-0.023327428,0.002773595,0.194008662,0.157290753,0.138745821,0.003666948,0.002017978,0.00196889,0.180268138,0.160182182,0.167127793,0.120109564,0.121657533,0.133107733,0.008082578,0.005036236,0.004739085,,,,,,,,
-0.388888889,0.147980336,0.163816007,0.225457032,0.252375324,0.17345397,0.141189702,0.022498049,0.01127495,0.010107973,0.313073212,0.329988502,0.359048967,0.16783345,0.172104502,0.183991881,0.027069898,0.015973379,0.014308329,,,,,,,,
-0.277777778,0.53335413,0.703075505,0.845434035,0.348304814,0.196706373,0.145486794,0.077290133,0.043428296,0.036889966,0.459203037,0.55591651,0.630286767,0.215689317,0.241508844,0.266276175,0.059253612,0.039411634,0.033476393,,,,,,,,
-0.166666667,1.153621615,1.647112185,1.90950977,0.346006939,0.165606997,0.10391641,0.200696301,0.126014066,0.099389168,0.54455425,0.713649248,0.813050684,0.324662911,0.367924666,0.393528111,0.09337877,0.069287937,0.056592847,,,,,,,,
-0.055555556,1.709386437,2.551393192,2.91671601,0.149768587,0.062303176,0.02699085,0.341024533,0.229156582,0.173848653,0.52339856,0.712845595,0.833136136,0.460393819,0.508076325,0.518875212,0.104259562,0.085473333,0.070209371,,,,,,,,
0.055555556,1.707592851,2.541557549,2.892588236,-0.152618308,-0.070212757,-0.038341673,0.339598003,0.227237561,0.17196818,0.518790299,0.705706302,0.838839857,0.454687893,0.503051642,0.51679579,0.103023921,0.085354953,0.070439844,,,,,,,,
0.166666667,1.155741976,1.619739104,1.852984458,-0.352364462,-0.17331606,-0.102887547,0.199165256,0.122517979,0.095395078,0.520564101,0.689218019,0.804609422,0.309803102,0.347290749,0.376003277,0.090232231,0.067838238,0.05616815,,,,,,,,
0.277777778,0.534884502,0.672992087,0.773820028,-0.349802178,-0.188994249,-0.141371689,0.075747334,0.040489872,0.03306905,0.422877812,0.531105131,0.605789956,0.196311317,0.218044247,0.23947933,0.056538938,0.037535683,0.031284009,,,,,,,,
0.388888889,0.157908465,0.18207392,0.20763821,-0.25282049,-0.148400458,-0.134427738,0.022441616,0.010635656,0.008561737,0.294202921,0.313441449,0.349471929,0.157422595,0.172820002,0.183429967,0.026930905,0.014749407,0.012415014,,,,,,,,
0.5,-0.030099667,-0.010781783,0.024788181,-0.189106236,-0.130612849,-0.119676683,0.003727005,0.002089461,0.001800201,0.175045277,0.157336776,0.162858718,0.123912794,0.125366047,0.134413314,0.007112785,0.003979401,0.004021177,,,,,,,,
