s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-1.0881551E-003,-1.2895260E-003,-2.1150044E-003,-1.5771287E-003,-1.0671420E-003,-1.2367423E-003,-1.7825428E-003,-3.3578968E-003,-2.0825473E-003,-1.4439147E-003,-8.7489876E-004,-1.2093379E-003,-1.9325494E-003,-1.5577121E-003,-1.0065695E-003,-7.2920358E-004,-9.6496639E-004,-1.6490870E-003,-1.3009969E-003,-8.4795933E-004,-2.6470094E-003,-1.7229828E-003,-1.8574517E-003,-1.7925538E-003,-7.5985302E-004, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0000000E-001, 1.2510401E-003, 1.3833228E-003, 1.3133383E-003, 1.4126926E-003, 1.4309354E-003, 1.9086878E-004, 1.4726521E-004, 1.0451020E-005, 1.8232973E-004, 1.0824981E-004,-1.0379188E-004,-1.2447273E-004,-1.4432066E-004,-1.0415376E-004,-9.7393866E-005,-1.0700877E-004,-1.4070078E-004,-1.7872711E-004,-1.3798567E-004,-1.4970999E-004,-1.7592160E-004,-1.3195050E-004,-1.0689417E-004,-7.0072505E-005,-6.3884656E-005, 1.9999780E+001, 1.9999855E+001, 1.9999866E+001, 1.9999890E+001, 1.9999918E+001
 1.0125000E+000, 3.8417817E-002, 4.6153808E-002, 4.3919360E-002, 4.6413196E-002, 3.8379593E-002, 8.0706164E-003, 9.6148979E-003, 9.5540949E-003, 9.4477662E-003, 7.9665569E-003, 1.3377434E-003, 1.4943233E-003, 1.3596008E-003, 1.3968494E-003, 1.1495673E-003, 2.9075823E-004, 2.3809685E-004, 2.4654388E-004, 2.0088387E-004, 1.8612872E-004, 1.8837711E-004,-4.2223670E-006,-3.1888523E-005,-2.8248175E-005,-2.9727095E-005, 1.9999815E+001, 1.9999819E+001, 1.9999814E+001, 1.9999845E+001, 1.9999873E+001
 1.5125000E+000, 1.3569167E-001, 1.7114116E-001, 1.7662300E-001, 1.7199693E-001, 1.3716255E-001, 2.9804232E-002, 3.6554519E-002, 3.7822735E-002, 3.7060171E-002, 3.0224115E-002, 6.9637033E-003, 8.1406178E-003, 7.9837262E-003, 8.2618890E-003, 7.1000458E-003, 2.2649320E-003, 2.3993946E-003, 3.0252403E-003, 2.4230531E-003, 2.2961125E-003, 2.2907096E-003, 7.7678541E-004, 1.7068241E-004, 7.8253403E-005, 1.1922568E-005, 2.0000938E+001, 2.0000119E+001, 1.9999855E+001, 1.9999853E+001, 1.9999846E+001
 2.0125000E+000, 2.7106623E-001, 3.0488161E-001, 3.4275634E-001, 3.3204312E-001, 2.2089215E-001, 5.3527142E-002, 6.3219691E-002, 6.8175355E-002, 6.2551532E-002, 5.4303388E-002, 1.6151777E-002, 1.7679620E-002, 1.8145420E-002, 1.7641693E-002, 1.6071319E-002, 6.9293150E-003, 7.3604043E-003, 9.5606316E-003, 7.3311846E-003, 6.8154324E-003, 7.1392873E-003, 3.2598575E-003, 1.1212957E-003, 4.8853550E-004, 1.0068320E-004, 2.0005214E+001, 2.0001921E+001, 2.0000417E+001, 2.0000085E+001, 1.9999872E+001
 2.5027319E+000, 4.1300989E-001, 6.3961810E-001, 7.6175143E-001, 6.7621406E-001, 2.8659481E-001, 8.5858514E-002, 1.0318180E-001, 1.1326461E-001, 9.6418976E-002, 7.6292465E-002, 2.7258548E-002, 2.7260518E-002, 3.0815496E-002, 2.6082517E-002, 2.7412889E-002, 1.3048951E-002, 1.1921003E-002, 1.6736256E-002, 1.2019495E-002, 1.3223661E-002, 1.0876560E-002, 5.6238496E-003, 2.5408247E-003, 1.0434131E-003, 3.0793083E-004, 2.0012149E+001, 2.0005638E+001, 2.0002037E+001, 2.0000747E+001, 2.0000026E+001
 3.0009847E+000, 4.9195673E-001, 8.2826060E-001, 1.5288868E+000, 8.1716822E-001, 3.8657389E-001, 1.3829180E-001, 1.3929636E-001, 2.7225305E-001, 1.6493996E-001, 1.3160863E-001, 3.7649085E-002, 4.6692662E-002, 3.7342708E-002, 4.6091246E-002, 3.7414359E-002, 2.1054605E-002, 2.6764153E-002, 1.8174651E-002, 2.6766532E-002, 2.0532173E-002, 9.3711387E-003, 4.6936950E-003, 2.2118421E-003, 8.5251944E-004, 2.9930606E-004, 2.0017868E+001, 2.0008634E+001, 2.0003559E+001, 2.0001298E+001, 2.0000217E+001
 3.5021260E+000, 4.3783123E-001, 7.3697511E-001, 2.3479382E+000, 7.2173709E-001, 4.1694117E-001, 1.4170561E-001, 2.1316477E-001, 5.8861505E-001, 2.8753075E-001, 2.4438941E-001, 5.6058506E-002, 1.1833438E-001, 2.1495171E-001, 1.3295926E-001, 5.1095223E-002, 2.7863322E-002, 4.3702802E-002, 4.7788275E-002, 3.7774287E-002, 2.6539282E-002, 1.0693086E-002, 4.7055327E-003, 2.0515810E-003, 8.5476858E-004, 2.9815897E-004, 2.0021768E+001, 2.0010240E+001, 2.0004272E+001, 2.0001574E+001, 2.0000310E+001
 4.0019008E+000, 5.0670146E-001, 8.5794125E-001, 2.6732682E+000, 8.6403909E-001, 4.9377981E-001, 1.6934498E-001, 2.3141404E-001, 7.7896334E-001, 2.1706906E-001, 1.8332485E-001, 6.8393102E-002, 1.1395000E-001, 3.8478705E-001, 1.4943178E-001, 7.2952130E-002, 1.2235798E-001, 1.6649071E-001, 2.3641507E-001, 1.1650130E-001, 8.9676805E-002, 1.1219721E-001, 9.6982940E-003, 2.8498971E-003, 1.2081674E-003, 4.5955958E-004, 2.0118124E+001, 2.0014070E+001, 2.0005450E+001, 2.0002073E+001, 2.0000487E+001
