s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100"
 0.0000000E+000,-3.5605090E-006,-5.2921960E-006,-7.2416689E-006,-6.6251338E-006,-5.1627825E-006,-2.7868081E-006,-4.1788012E-006,-5.7742501E-006,-5.4456818E-006,-4.3749732E-006,-2.1165210E-006,-3.2151465E-006,-4.6910698E-006,-4.4827291E-006,-3.6376202E-006,-1.2246626E-006,-1.8481751E-006,-2.8274302E-006,-2.8405851E-006,-2.4062806E-006
 5.0348784E-001, 1.0149529E-002, 1.2470755E-002, 1.4206055E-002, 1.2289555E-002, 9.4310921E-003, 1.9554749E-003, 2.4774134E-003, 2.8552959E-003, 2.4841620E-003, 1.9211220E-003, 6.9965262E-004, 8.1038151E-004, 7.9614205E-004, 8.1453523E-004, 7.1356945E-004, 3.5356955E-004, 4.1545741E-004, 6.3176558E-004, 4.2600642E-004, 3.7204128E-004
 1.0069757E+000, 8.9268380E-002, 1.1215837E-001, 1.2872737E-001, 1.1148006E-001, 8.3870508E-002, 1.7319746E-002, 2.2236998E-002, 2.5529933E-002, 2.2647674E-002, 1.7397209E-002, 6.1918802E-003, 7.1389633E-003, 7.0915655E-003, 7.3103299E-003, 6.5796515E-003, 3.1028207E-003, 3.5707686E-003, 5.6060892E-003, 3.7321903E-003, 3.3426894E-003
 1.5020788E+000, 1.8973439E-001, 2.5137242E-001, 2.9062841E-001, 2.5063573E-001, 1.8295635E-001, 3.8547355E-002, 5.0245905E-002, 5.5238148E-002, 5.0110932E-002, 3.9040583E-002, 1.4194762E-002, 1.4830800E-002, 1.5945072E-002, 1.4667559E-002, 1.4402291E-002, 7.3539161E-003, 7.6123139E-003, 1.2969985E-002, 7.7801856E-003, 7.0709743E-003
 2.0019382E+000, 2.8375890E-001, 4.2155638E-001, 4.6271314E-001, 3.9776430E-001, 3.0730767E-001, 6.3701758E-002, 7.0601819E-002, 7.9788673E-002, 6.8007912E-002, 6.4015750E-002, 2.4208567E-002, 1.9028423E-002, 2.8587870E-002, 1.8701250E-002, 2.5036466E-002, 1.0554683E-002, 1.0107346E-002, 2.5208595E-002, 9.9470734E-003, 1.1121509E-002
 2.5031337E+000, 4.2720238E-001, 6.7506827E-001, 8.5170775E-001, 5.6990360E-001, 3.8627605E-001, 8.2792225E-002, 1.0736956E-001, 1.2604927E-001, 1.0854066E-001, 8.0785338E-002, 3.3173306E-002, 2.6017756E-002, 3.9736781E-002, 2.9471802E-002, 3.3981718E-002, 1.4954356E-002, 1.5015040E-002, 2.5906516E-002, 1.4197496E-002, 1.9516876E-002
 3.0018326E+000, 6.1129381E-001, 8.3806439E-001, 1.5536390E+000, 8.6961169E-001, 4.4983497E-001, 1.2521701E-001, 1.4659892E-001, 3.2026440E-001, 1.3873147E-001, 1.2049527E-001, 3.9004290E-002, 4.4656564E-002, 4.2222814E-002, 4.4832282E-002, 4.2127167E-002, 2.2234798E-002, 2.9408773E-002, 2.8652335E-002, 2.8675032E-002, 2.2858271E-002
 3.5019570E+000, 6.9955526E-001, 9.5158938E-001, 1.5660545E+000, 1.0080713E+000, 7.2058625E-001, 2.5868225E-001, 1.6293141E-001, 4.3068276E-001, 3.4115225E-001, 1.5222578E-001, 5.2977412E-002, 1.0267557E-001, 1.8934327E-001, 2.0087362E-001, 1.5151621E-001, 2.4158887E-002, 3.1149557E-002, 4.9555764E-002, 3.0773352E-002, 2.7940456E-002
 4.0020774E+000, 9.5377151E-001, 1.3679579E+000, 1.3613503E+000, 1.3090530E+000, 1.1915547E+000, 2.6252591E-001, 3.1993136E-001, 4.4170047E-001, 2.4728106E-001, 1.9819507E-001, 7.5809569E-002, 1.6068079E-001, 3.6038983E-001, 1.4998578E-001, 1.8163044E-001, 4.1506006E-002, 1.7110389E-001, 2.4049661E-001, 1.9690532E-001, 1.9821525E-001
 4.5001517E+000, 9.0318649E-001, 1.5451112E+000, 2.0384470E+000, 1.5123396E+000, 1.0063463E+000, 3.0294721E-001, 3.1796544E-001, 4.1865799E-001, 2.8343845E-001, 2.8667717E-001, 1.4928241E-001, 2.0700797E-001, 2.5727984E-001, 1.2273611E-001, 1.0073758E-001, 5.3261080E-002, 1.4331226E-001, 2.0412573E-001, 1.1259831E-001, 1.3563717E-001
 5.0003575E+000, 9.9938638E-001, 1.6011970E+000, 2.2803770E+000, 1.6114313E+000, 9.9103306E-001, 2.9090046E-001, 3.1367406E-001, 6.5152536E-001, 3.4408986E-001, 2.7656614E-001, 1.5459452E-001, 1.9694855E-001, 3.1626481E-001, 1.9393652E-001, 1.3309892E-001, 1.1800486E-001, 1.7529232E-001, 2.9825537E-001, 9.2667104E-002, 6.4711722E-002
 5.5013732E+000, 1.1141150E+000, 1.7898976E+000, 2.8142561E+000, 1.8094907E+000, 1.1110803E+000, 3.3804382E-001, 3.6932514E-001, 8.1683751E-001, 3.8209504E-001, 3.1315516E-001, 1.2570160E-001, 2.4155109E-001, 3.9880460E-001, 2.4318899E-001, 1.5151270E-001, 1.5217993E-001, 2.1580337E-001, 1.8723578E-001, 1.9560887E-001, 1.1116043E-001
 6.0002627E+000, 1.2989482E+000, 1.9567764E+000, 3.3112720E+000, 1.9244124E+000, 1.2217181E+000, 3.6348871E-001, 4.4040107E-001, 8.3634904E-001, 4.2812500E-001, 3.5956217E-001, 1.3391503E-001, 1.9998705E-001, 3.6135769E-001, 2.4965378E-001, 1.4859110E-001, 1.5885491E-001, 1.9149751E-001, 3.2157785E-001, 2.6339625E-001, 1.1875235E-001
 6.5010493E+000, 1.4153617E+000, 2.1990261E+000, 3.6877627E+000, 2.1901452E+000, 1.3032770E+000, 4.0352367E-001, 4.6430890E-001, 9.0508645E-001, 4.7368592E-001, 3.6535852E-001, 2.0177132E-001, 3.4496550E-001, 4.8001561E-001, 2.9051030E-001, 1.4997523E-001, 1.7435608E-001, 2.2137747E-001, 3.3881267E-001, 2.5999390E-001, 1.1309815E-001
 7.0012536E+000, 1.5263444E+000, 2.4153544E+000, 4.0324889E+000, 2.4922869E+000, 1.4781395E+000, 4.5228762E-001, 5.1037024E-001, 1.0255846E+000, 5.8467082E-001, 4.4450828E-001, 1.6944489E-001, 2.9835824E-001, 5.9911519E-001, 4.5275125E-001, 2.2044046E-001, 1.5539329E-001, 2.1671223E-001, 3.5398702E-001, 3.7960392E-001, 1.6279328E-001
 7.5009784E+000, 1.6229607E+000, 2.5434323E+000, 4.7301153E+000, 2.6915834E+000, 1.6355189E+000, 4.8291868E-001, 5.8447013E-001, 1.1657467E+000, 6.1013176E-001, 5.1013822E-001, 1.9324341E-001, 2.4716749E-001, 3.9655889E-001, 3.7929731E-001, 2.7937211E-001, 1.7346053E-001, 2.9418255E-001, 2.9364771E-001, 2.8961223E-001, 1.7870156E-001
 8.0012986E+000, 1.7350483E+000, 2.7667613E+000, 5.0159381E+000, 2.9188739E+000, 1.7560986E+000, 5.3349566E-001, 7.0541806E-001, 1.3613059E+000, 6.4178739E-001, 5.5001825E-001, 1.9576967E-001, 3.3737790E-001, 6.7609692E-001, 2.8236035E-001, 2.0576582E-001, 2.0925170E-001, 3.2103501E-001, 4.9837633E-001, 2.6498221E-001, 1.7514687E-001
 8.5013161E+000, 1.8586901E+000, 2.9553601E+000, 5.5152594E+000, 3.0652216E+000, 1.8668575E+000, 6.0049643E-001, 6.9665683E-001, 1.6344939E+000, 7.1226692E-001, 5.9455867E-001, 2.5634441E-001, 3.3233912E-001, 7.4563227E-001, 5.0790291E-001, 3.0321153E-001, 1.3987616E-001, 2.0212620E-001, 4.8293963E-001, 2.9125705E-001, 1.7119837E-001
 9.0007760E+000, 2.1137903E+000, 3.2573121E+000, 8.0276015E+000, 3.3709283E+000, 2.0737910E+000, 6.5761999E-001, 7.4438835E-001, 2.1108761E+000, 7.5375251E-001, 6.3335405E-001, 3.4810491E-001, 4.3508565E-001, 8.7777912E-001, 5.7400303E-001, 2.8765775E-001, 2.5102789E-001, 3.7371665E-001, 5.6350741E-001, 4.0252469E-001, 2.1350814E-001
 9.5014183E+000, 2.3332333E+000, 3.6545869E+000, 8.1867831E+000, 3.7553330E+000, 2.2739663E+000, 6.9995738E-001, 7.9738116E-001, 1.9356683E+000, 8.4258232E-001, 7.1472527E-001, 2.8076146E-001, 4.6741238E-001, 8.8849032E-001, 4.8637620E-001, 2.6920772E-001, 2.6233039E-001, 3.8763085E-001, 6.2093344E-001, 4.4398162E-001, 2.9317444E-001
