cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 6.0534331E+002, 6.0431641E+002, 2.7925369E-002, 2.7011722E+002, 2.8191451E+002, 1.0481969E-001, 2.6181027E-003, 2.0791769E-002, 2.1627752E-002, 5.7011502E-001, 8.1932777E-002, 2.2296651E-002, 2.7987471E-001, 3.9195036E-004
 7.5000000E-001, 8.1324518E+002, 8.1833292E+002, 7.6172116E-002, 3.0584759E+002, 3.2626923E+002, 1.7080689E-001, 8.1781983E-003, 2.9102099E-002, 2.5039335E-002, 4.2465816E-001, 1.0519725E-001, 2.5813748E-002, 3.8115075E-001, 4.3501471E-004
 1.2500000E+000, 9.2256578E+002, 9.3208304E+002, 1.3357565E-001, 3.1531766E+002, 3.3966410E+002, 2.1753530E-001, 1.0911108E-002, 3.3588620E-002, 2.6320391E-002, 3.5254844E-001, 1.1672703E-001, 2.7134423E-002, 4.3186551E-001, 4.4594669E-004
 1.7500000E+000, 9.9649221E+002, 1.0093881E+003, 1.9473661E-001, 3.1699883E+002, 3.4305893E+002, 2.4927314E-001, 1.2108508E-002, 3.6690829E-002, 2.7057954E-002, 3.0735077E-001, 1.2441564E-001, 2.7894798E-002, 4.6355168E-001, 4.5034368E-004
 2.2500000E+000, 1.0493544E+003, 1.0646773E+003, 1.9473661E-001, 3.1421423E+002, 3.4139517E+002, 2.4927314E-001, 1.3232498E-002, 3.8886543E-002, 2.7473135E-002, 2.7501867E-001, 1.2966728E-001, 2.8322820E-002, 4.8645497E-001, 4.5121382E-004
 2.7500000E+000, 1.0887711E+003, 1.1059330E+003, 3.2910897E-001, 3.0834125E+002, 3.3604645E+002, 2.9559558E-001, 1.4719974E-002, 4.0505071E-002, 2.7601756E-002, 2.4966401E-001, 1.3322616E-001, 2.8455419E-002, 5.0487909E-001, 4.4869106E-004
 3.2500000E+000, 1.1202881E+003, 1.1390633E+003, 4.0213313E-001, 3.0557883E+002, 3.3397281E+002, 3.1998665E-001, 1.6316595E-002, 4.1808627E-002, 2.7547715E-002, 2.2878360E-001, 1.3581163E-001, 2.8399707E-002, 5.2038547E-001, 4.4401210E-004
 3.7500000E+000, 1.1471606E+003, 1.1674053E+003, 4.7976721E-001, 3.0588878E+002, 3.3563728E+002, 3.4546060E-001, 1.7997882E-002, 4.2996781E-002, 2.7246324E-002, 2.1098133E-001, 1.3771142E-001, 2.8088994E-002, 5.3404098E-001, 4.3612494E-004
 4.2500000E+000, 1.1685791E+003, 1.1899030E+003, 5.6142972E-001, 3.0437638E+002, 3.3530625E+002, 3.7157829E-001, 1.9948536E-002, 4.3987525E-002, 2.6769772E-002, 1.9557939E-001, 1.3889387E-001, 2.7597703E-002, 5.4630328E-001, 4.2612718E-004
 4.7500000E+000, 1.1863325E+003, 1.2084725E+003, 6.4550618E-001, 3.0323062E+002, 3.3527888E+002, 3.9929717E-001, 2.1829993E-002, 4.4790375E-002, 2.6327988E-002, 1.8217166E-001, 1.3975593E-001, 2.7142255E-002, 5.5707706E-001, 4.1697052E-004
 5.2500000E+000, 1.2015021E+003, 1.2243007E+003, 7.3071290E-001, 3.0090747E+002, 3.3373274E+002, 4.2897659E-001, 2.3609309E-002, 4.5485761E-002, 2.5883329E-002, 1.7041164E-001, 1.4039198E-001, 2.6683844E-002, 5.6664467E-001, 4.0807938E-004
 5.7500000E+000, 1.2138870E+003, 1.2372894E+003, 8.1612082E-001, 2.9988929E+002, 3.3349444E+002, 4.6264007E-001, 2.5441837E-002, 4.6110564E-002, 2.5346786E-002, 1.5998353E-001, 1.4071728E-001, 2.6130707E-002, 5.7539827E-001, 3.9808156E-004
 6.2500000E+000, 1.2235900E+003, 1.2474174E+003, 9.0105917E-001, 3.0137948E+002, 3.3608214E+002, 4.9931899E-001, 2.7391041E-002, 4.6628021E-002, 2.4753396E-002, 1.5065129E-001, 1.4072217E-001, 2.5518965E-002, 5.8348448E-001, 3.8744878E-004
 6.7500000E+000, 1.2299882E+003, 1.2539568E+003, 9.8584035E-001, 3.0362493E+002, 3.3939455E+002, 5.3743282E-001, 2.9547471E-002, 4.6971051E-002, 2.4155465E-002, 1.4221132E-001, 1.4036731E-001, 2.4902541E-002, 5.9101477E-001, 3.7696613E-004
