cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 4.7806146E+002, 3.2452677E+001,-9.5000000E+000, 1.2426215E+003, 1.6985911E+002, 1.1458200E+003, 2.0021176E+002, 8.3669089E+002, 2.2278678E+002, 6.2686974E+002, 1.6712776E+002, 5.3049081E+002, 1.1394064E+002, 5.2000000E+001, 1.0000000E-001, 3.0639693E+000, 1.2360514E+001, 9.9197093E+000, 7.7039643E+000, 0.0000000E+000, 9.5807353E-001
 1.5000000E+000, 6.3948125E+002, 1.1519094E+002,-8.5000000E+000, 1.2449071E+003, 1.5949113E+002, 1.1620521E+003, 1.9584912E+002, 8.4343269E+002, 2.1991347E+002, 6.2894596E+002, 1.6553590E+002, 5.3103212E+002, 1.1400142E+002, 5.6480000E+001, 2.9900000E-001, 3.7065640E+000, 1.1287468E+001, 9.1670056E+000, 7.1885272E+000, 4.5000000E+000, 9.0669451E-001
 2.5000000E+000, 7.2637173E+002, 1.4056858E+002,-7.5000000E+000, 1.2361217E+003, 1.5567926E+002, 1.1720704E+003, 1.9072224E+002, 8.4962925E+002, 2.1777280E+002, 6.3257326E+002, 1.6405890E+002, 5.3168270E+002, 1.1267750E+002, 6.0960000E+001, 4.9800000E-001, 3.0263266E+000, 9.5593623E+000, 7.8830837E+000, 6.2669050E+000, 9.0000000E+000, 9.4454123E-001
 3.5000000E+000, 7.9139096E+002, 1.5580963E+002,-6.5000000E+000, 1.2283873E+003, 1.5609482E+002, 1.1809291E+003, 1.8685879E+002, 8.5460458E+002, 2.1425685E+002, 6.3513341E+002, 1.6164605E+002, 5.3253721E+002, 1.1059444E+002, 6.5440000E+001, 6.9700000E-001, 2.6706256E+000, 8.8026364E+000, 7.3493642E+000, 5.8989042E+000, 1.3500000E+001, 1.0488237E+000
 4.5000000E+000, 8.4588222E+002, 1.6353585E+002,-5.5000000E+000, 1.2315315E+003, 1.5684157E+002, 1.1868859E+003, 1.8644764E+002, 8.5828048E+002, 2.1138723E+002, 6.3630024E+002, 1.5751790E+002, 5.3252031E+002, 1.0890535E+002, 6.9920000E+001, 8.9600000E-001, 2.3711757E+000, 8.1177354E+000, 6.8583033E+000, 5.5566601E+000, 1.8000000E+001, 1.1597603E+000
 5.5000000E+000, 8.9705764E+002, 1.6987275E+002,-4.5000000E+000, 1.2197250E+003, 1.5247300E+002, 1.1885469E+003, 1.8780621E+002, 8.5882545E+002, 2.0838737E+002, 6.3573311E+002, 1.5290557E+002, 5.3208468E+002, 1.0738154E+002, 7.4400000E+001, 1.0950000E+000, 2.1165785E+000, 7.4979548E+000, 6.4060922E+000, 5.2379041E+000, 2.2500000E+001, 1.2277309E+000
 6.5000000E+000, 9.4297664E+002, 1.7511863E+002,-3.5000000E+000, 1.2079719E+003, 1.4547352E+002, 1.1848354E+003, 1.9044870E+002, 8.5415822E+002, 2.0387932E+002, 6.3333342E+002, 1.4793317E+002, 5.3160970E+002, 1.0599252E+002, 7.8880000E+001, 1.2940000E+000, 1.8982386E+000, 6.9368845E+000, 5.9892340E+000, 4.9406381E+000, 2.7000000E+001, 1.2390846E+000
 7.5000000E+000, 9.8506418E+002, 1.7506231E+002,-2.5000000E+000, 1.2057368E+003, 1.4873105E+002, 1.1706151E+003, 1.9442535E+002, 8.4974702E+002, 2.0118027E+002, 6.3079012E+002, 1.4363106E+002, 5.3075523E+002, 1.0463061E+002, 8.3360000E+001, 1.4930000E+000, 1.7095576E+000, 6.4285041E+000, 5.6045617E+000, 4.6631314E+000, 3.1500000E+001, 1.2099313E+000
 8.5000000E+000, 1.0188113E+003, 1.7547714E+002,-1.5000000E+000, 1.2045248E+003, 1.5283497E+002, 1.1516680E+003, 1.9778309E+002, 8.4594546E+002, 1.9936785E+002, 6.2741222E+002, 1.3914816E+002, 5.2984734E+002, 1.0343100E+002, 8.7840000E+001, 1.6920000E+000, 1.5453951E+000, 5.9672541E+000, 5.2492291E+000, 4.4038917E+000, 3.6000000E+001, 1.1276733E+000
